,Date,US,AL,AK,AZ,AR,CA,CO,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NM,NY,ND,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WV,WI,WY
0,2020Q2,5590904,120520,284.0,61122.0,37529.0,282393.0,36588.0,53298.0,50436,5048.0,19762.0,570156,244833,519621,9763.0,111641.0,46732.0,3579.0,104198.0,789.0,37813,68293,12734.0,219891,21515.0,205963.0,62279.0,19004.0,20021.0,1389020,74548,40285,0.0,113284,32807,27943.0,231059.0,66455,64989,57813,12085.0,65979,141079,250944
1,2020Q1,7067694,153330,284.0,73222.0,41502.0,299714.0,32371.0,62530.0,78502,2589.0,39323.0,637518,471082,584578,18311.0,139285.0,41566.0,6852.0,74543.0,553.0,97904,210397,19910.0,185154,46856.0,273723.0,65325.0,13941.0,83267.0,1568916,116791,61476,0.0,113055,28160,58426.0,315748.0,88003,89853,104708,29455.0,83521,194400,368348
2,2019Q4,7312171,169511,284.0,67023.0,43146.0,373461.0,35073.0,62268.0,76759,2786.0,37156.0,631740,514424,586414,15769.0,159724.0,46576.0,4396.0,103298.0,953.0,130341,259304,19037.0,214852,86757.0,264139.0,74571.0,11681.0,89225.0,1419025,107971,60589,35315.0,105065,38555,51442.0,296864.0,115951,102219,103278,21462.0,86198,195281,404469
3,2019Q3,7005788,192059,284.0,75329.0,41363.0,246174.0,35913.0,110156.0,69093,1600.0,13617.0,636790,476478,567816,19607.0,151559.0,51761.0,4112.0,102301.0,578.0,135479,168277,584.0,226193,31377.0,240890.0,70436.0,18212.0,104092.0,1448783,105969,58232,0.0,124083,30487,58958.0,316304.0,131065,100349,107093,17245.0,81338,173782,383656
4,2019Q2,7003026,225427,284.0,76588.0,37578.0,372366.0,48012.0,111329.0,70785,9987.0,7223.0,517285,429638,589083,27146.0,180089.0,45980.0,3788.0,138358.0,1387.0,140739,203027,584.0,193607,21516.0,238764.0,66570.0,15434.0,93200.0,1384742,101208,42830,2007.0,122304,38421,52639.0,296949.0,133665,99077,115639,18689.0,87497,192509,370147
5,2019Q1,7774291,216353,284.0,63137.0,50316.0,330845.0,68366.0,132813.0,95033,12128.0,43248.0,702175,371142,582769,17384.0,197244.0,60867.0,5936.0,126939.0,685.0,146541,364834,584.0,187285,57839.0,262714.0,74177.0,14302.0,62342.0,1557311,124074,79255,14692.0,145007,53469,55124.0,319696.0,122724,79865,130506,21377.0,82000,250488,401093
6,2018Q4,8152325,228858,286.0,83652.0,41927.0,347594.0,61299.0,135954.0,82881,9522.0,35341.0,621188,442153,565213,40349.0,205163.0,57970.0,4803.0,157802.0,1077.0,119451,338299,584.0,206483,90386.0,303627.0,73653.0,20193.0,58487.0,1785455,120423,79150,32547.0,147157,58350,48597.0,304838.0,139817,98574,127879,19584.0,91271,252124,421523
7,2018Q3,7590913,231615,286.0,66147.0,44467.0,384884.0,27555.0,133657.0,68113,18690.0,20718.0,605942,501606,587985,28122.0,188052.0,62931.0,4146.0,123567.0,952.0,168090,202955,29291.0,224060,41378.0,270195.0,76416.0,20058.0,48869.0,1585584,118890,71773,0.0,142159,38696,26133.0,372152.0,129409,96915,114360,15837.0,92630,197453,369707
8,2018Q2,7691173,250668,286.0,61418.0,41495.0,361352.0,37465.0,123054.0,78700,18399.0,10818.0,750372,437183,624281,29143.0,193365.0,62876.0,3775.0,148278.0,1129.0,145706,208393,28280.0,208095,28447.0,257441.0,72893.0,19368.0,93560.0,1510357,129018,97843,601.0,135261,46747,51465.0,351208.0,128060,101185,120113,19447.0,94615,198786,360833
9,2018Q1,8145870,220870,286.0,69119.0,46831.0,344549.0,52435.0,121751.0,106312,8233.0,54860.0,582512,391594,621911,19492.0,179996.0,61175.0,8329.0,110184.0,939.0,187268,326340,28709.0,199722,75222.0,306868.0,72295.0,13670.0,79732.0,1718080,139268,106758,27467.0,151079,56077,54432.0,384166.0,132446,81379,131422,18635.0,92920,251824,430977
