,Date,US,AL,AK,AZ,AR,CA,CO,CT,DC,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
0,202101,79221.55447,2655.68396,107.23916,1131.48804,1441.10675,3147.45782,1234.16,223.0522,19.55288,163.9343,1304.84856,2592.29057,262.26302,567.45538,3453.38457,3606.09393,2075.65754,912.14327,2403.86272,3054.8787,205.41289,263.96443,526.68985,2153.18293,1641.29776,1259.48862,1062.67077,367.80513,843.73085,940.92486,148.17774,442.30312,757.4348,1371.1902,2139.40535,933.62937,4011.32078,1752.20945,1167.76687,4096.82245,52.03225,2220.29728,243.32856,1807.71016,10654.804,792.63784,123.72298,1390.70859,1683.39637,1224.36734,1825.02555,761.542
1,202012,76289.36685,2650.97645,110.83912,1140.01934,1426.90216,3474.6538,1320.757,229.88322,31.04383,167.69902,1353.19271,2477.08713,273.75849,578.80104,3183.59322,3190.37147,1953.16029,871.57895,2210.04557,2837.91939,225.82406,269.38489,484.30673,2101.16682,1601.23436,1338.08379,896.14636,331.0557,885.37858,916.33163,148.95696,586.05819,774.05014,1356.95934,1717.11937,913.49282,3690.78717,1710.52902,980.22977,4011.95101,52.36536,1806.61083,233.32482,1544.16454,10614.17187,774.3211,119.95184,1248.82441,1655.12355,1218.5765,1839.28201,761.32114
2,202011,75865.98531,2541.51155,107.89637,1100.42156,1384.6328,3568.1597,1238.0085,238.34584,18.44902,171.39423,1324.11373,2492.30255,272.45045,508.77667,3062.98244,3296.41154,2017.86929,846.14022,2146.60334,2701.02032,212.18976,259.75305,475.36301,2102.58463,1521.4749,1280.91918,927.84986,311.85038,868.72742,915.80168,150.40298,490.29071,745.01462,1378.81642,2599.82554,883.81082,3604.91582,1631.12527,963.86172,3766.67059,45.64681,2324.29057,232.10308,1517.16787,10009.47556,785.97499,111.52236,1425.71075,1546.69458,1229.0459,1770.52148,739.09291
3,202010,79078.71613,2592.43831,112.1443,1202.2018,1423.89771,4173.44614,1364.25294,249.39892,7.45457,151.93767,1357.77522,2652.22559,284.71733,637.68211,3185.61218,3520.33272,2065.2698,864.99263,2188.41438,2572.83097,223.36827,257.77071,459.79369,2245.94715,1539.42236,1336.74773,946.01575,321.39113,875.05401,1003.54531,158.01638,600.05999,809.2658,1345.75318,2276.26505,911.45213,3856.24333,1661.9549,1001.06546,4044.04465,51.87688,2172.05161,242.34826,1595.68209,10711.78719,817.43785,108.8522,1353.90439,1649.7733,1248.78412,1880.85996,765.15604
4,202009,77467.80537,2500.73943,102.03287,1147.6596,1473.08875,4351.10476,1343.23573,267.23365,7.45457,72.49886,1357.4255,2558.19246,270.57875,842.75743,3245.54421,3276.05527,1979.57969,895.17852,2212.95511,2752.55233,218.0577,262.47633,477.21563,2147.84177,1550.87594,1364.05134,987.12613,343.89089,906.72416,1066.46122,170.62472,525.76675,799.78005,1316.46765,2122.72332,856.12794,3671.17596,1664.27153,1019.87259,4077.36384,53.94469,2124.37656,244.28525,1649.30613,9801.6128,802.78609,109.21673,1154.80496,1602.88551,1100.40998,1928.66352,690.7502
5,202008,82851.76932,2702.19962,118.11753,1259.19019,1554.6432,4539.74839,1451.71736,236.48058,16.42849,187.89915,1498.86466,2687.85432,278.30374,1138.18348,3569.62533,3417.28466,2103.71453,965.94554,2234.72535,2798.72233,216.55675,299.96695,519.19083,2301.23487,1683.9571,1392.21399,1022.35285,374.02443,1211.31134,1105.22759,160.1473,583.31286,837.04406,1355.40084,2137.91162,860.38626,3902.86518,1757.22513,1163.63797,4410.1456,53.60165,2296.37843,262.91058,1681.03195,10220.15532,887.05428,116.23263,1379.78674,1862.44741,1264.41959,2022.08806,751.90073
6,202007,81278.31268,2544.70818,108.78596,1230.53946,1421.42613,4730.63004,1438.53248,271.29772,15.46583,176.44841,1396.04098,2613.37065,275.89077,1211.43304,3614.13136,3316.74934,2057.7756,930.37721,2215.44366,2727.79106,206.72558,309.85538,522.15843,2284.33411,1506.88697,1317.36466,1007.62096,398.77166,1108.77536,1107.1073,163.34748,567.51562,802.60781,1389.21678,2309.32758,790.43664,3787.57274,1736.96956,1108.60761,4330.56458,62.02655,2179.87417,249.61752,1605.82231,10003.06354,864.76369,114.78314,1530.98871,1728.83134,1168.81779,1986.31652,730.80271
7,202006,75229.8563,2427.57601,100.16942,1151.39387,1289.8125,4257.39966,1334.77762,249.33075,14.40818,154.15445,1303.07469,2437.42783,264.434,1081.72015,3276.07315,3047.95336,2004.73761,784.91007,2138.66231,2836.75505,198.73179,288.8881,464.56536,1893.12451,1369.88324,1271.94437,979.63954,394.91474,972.77916,984.30767,161.05567,536.54248,718.44086,1266.35206,1935.8875,712.37221,3558.48358,1683.3459,1005.37546,3913.91675,57.9464,2017.51746,214.06167,1488.41828,9505.02766,787.45595,107.31404,1170.5118,1774.31369,1110.86775,1851.22989,679.87013
8,202005,71219.92402,2389.94174,97.25753,1147.03844,1270.03173,3754.6728,1312.25638,204.20017,15.02638,148.82063,1331.38761,2303.53309,253.10033,886.28438,2979.92807,2857.42508,1943.23869,791.99191,2031.46723,2705.27509,187.52599,272.60133,461.25586,1618.75529,1296.85153,1246.34249,853.17251,350.30108,777.33294,890.58195,139.8127,531.71364,727.45315,1121.71498,2186.85633,749.64539,3074.44272,1578.4755,989.95185,3534.26991,48.04742,1980.99223,198.65373,1443.3231,9070.84305,773.21768,104.42111,1342.00873,1755.55008,1117.84359,1681.72256,691.36636
9,202004,69590.79033,2305.12395,98.39721,1104.42994,1272.29016,3364.82328,1247.84628,214.42101,16.30543,141.54495,1289.72611,2197.30072,236.59237,619.69619,2914.8692,2646.33117,1823.88195,780.37159,2019.73024,2892.51533,182.48533,269.47944,417.83547,1509.93384,1446.65449,1273.43546,819.15922,394.9938,786.10386,879.08436,139.24298,477.09066,713.58877,1292.36531,1726.29457,788.98078,3089.12265,1566.44149,947.16134,3554.27941,52.49604,1910.35521,205.26055,1355.54072,9244.5219,709.35664,98.97554,1196.45312,1853.79507,1124.88503,1664.59652,714.62373
