,Date,US,AL,AK,AZ,AR,CA,CO,CT,DC,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
0,2019,1002353,32603,1252,13783,17412,47808,15891,3072,180,2044,16514,32393,3635,8847,43250,45317,24239,11613,29161,37846,2790,3718,6342,29886,21748,15994,13010,5057,10619,12426,1924,6990,8980,17548,27391,9399,50249,20904,14668,50423,695,26877,2924,21105,131674,9491,1412,17598,25172,14527,23615,10339
1,2018,1000673,33717,1352,13994,18065,49588,16047,3210,193,2361,16689,32696,3593,8889,44115,45293,23953,11681,28917,37417,3036,3870,6699,30806,22447,16549,13390,4720,10974,12198,1963,7369,8187,18077,27354,8700,51236,19229,13899,49155,735,27556,2935,21599,123439,9393,1411,17737,25263,14193,24425,10359
2,2017,984298,33317,1421,13706,17146,48627,15501,3244,180,2281,16602,32251,3613,8645,42971,43737,23065,11535,28459,37161,2658,3798,6859,30591,22281,16129,13211,4515,11398,12590,1956,7343,7728,17811,27393,8762,50651,18156,13382,47889,726,27114,2938,24220,119970,9283,1424,17169,24859,13586,24205,10244
3,2016,976715,32535,1385,14976,16226,50979,15103,3370,192,2260,16759,32290,3722,8612,43632,46429,22046,11414,28234,35895,2877,3821,7507,30934,21217,16069,13513,4416,11154,13515,2000,7293,7591,17709,27337,7433,50291,18031,12692,47128,764,26687,2813,23546,113403,9187,1446,17648,25678,12875,24038,10041
4,2015,986508,33499,1352,14892,16038,52562,15259,3432,238,2430,16897,32134,3696,8740,43131,48030,21289,11227,30281,35123,3208,3883,7892,30677,21453,15739,17036,4488,10655,14059,1981,7320,7575,18079,27701,6988,50557,18029,12950,47404,799,29342,2782,22983,110182,9405,1422,17537,26772,13065,23970,10323
5,2014,997576,34635,1360,14662,16651,52898,15110,3515,242,2496,16522,31849,3690,8970,44330,49088,20436,11494,32283,34723,3357,3848,7961,32446,23076,16312,17399,4230,10668,13733,1969,7517,7527,18003,26965,7479,50829,17773,12654,48318,887,29248,2955,24182,109165,9965,1418,17701,28013,12829,23812,10381
6,2013,985352,33870,1340,12519,16565,54397,14753,3490,227,2620,16390,31443,3623,9338,44387,47808,19635,11009,36972,30833,3177,3944,16463,31322,22734,16132,17551,4229,11251,13759,1973,7566,7278,17911,26872,5309,51387,16886,12210,48043,923,28669,2724,22462,101968,10010,1446,17150,27235,12021,23370,10157
7,2012,985714,33751,1381,12448,16848,46952,15415,3566,218,2755,16426,31225,3662,9574,45277,48168,19512,11041,44196,30449,3027,4500,16927,31836,23416,16810,17594,4168,11915,13734,1953,7762,7249,13705,26896,5124,53379,16570,12006,48039,923,28164,2724,28476,94517,9694,1422,17316,27579,11856,23561,10009
8,2011,991316,33735,1331,12352,16994,49936,15242,3668,216,2591,16886,31521,3665,8912,44844,47774,19240,10807,43619,30058,3016,5007,16974,31624,23619,16263,17330,3983,10590,13420,1936,8033,6910,13420,26555,4319,53913,15809,11963,49585,916,28094,2586,28638,102129,9333,1417,17218,27933,11720,23407,10262
9,2010,971221,32350,1324,11442,16775,49301,15172,3713,230,2526,17265,31047,3672,8796,44180,46552,18865,10651,45022,28187,3059,5083,17116,30841,22798,15707,17330,4239,10210,13180,1942,8429,6660,13480,26316,3850,53109,15152,11708,45458,961,27307,2360,28930,99754,8808,1446,17141,26633,11623,23452,10069
10,2009,917416,29437,1311,11200,14710,47835,13571,3692,234,2738,16918,29348,3683,8195,41507,43055,18211,10087,43602,25613,2852,5286,16754,27391,19637,14940,15050,4773,9511,13445,1836,8250,6409,13417,25100,3641,49486,14233,11761,43552,990,25421,2260,26584,96931,8594,1383,16678,23371,10985,22390,9554
11,2008,1009516,34990,1344,12869,17038,51031,13822,4371,257,2982,18945,32529,3804,9313,45503,48411,19237,10967,46198,26932,3175,5650,9332,32505,23810,16195,17850,5831,9624,13820,2065,10537,6831,14685,27773,3697,58621,15395,12945,48131,1075,29247,2328,32804,105868,9086,1565,18438,21117,14738,24672,9560
