,Date,US,AL,AK,AZ,AR,CA,CO,CT,DC,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
0,2018,6560236,205441,7963,91267,114411,312208,109606,18651,1381,14815,93807,210932,22279,56413,327835,335745,158387,84528,211571,211672,15760,26933,42863,209593,150905,88078,98057,33705,81761,66299,13910,46264,52844,108637,179230,63225,343081,114148,77700,321278,3444,198366,19011,155264,771844,61903,1915,115828,161909,98902,171656,77011
1,2017,6581259,206204,8484,91357,110349,291402,109011,19651,1317,13557,96012,208749,23048,56181,326095,326787,160064,84489,214042,222760,13727,27839,44675,210396,144976,86727,96914,31671,82742,67870,13859,46681,53779,107280,179293,62497,350790,113370,76794,318805,3336,202562,19966,180055,795702,63144,1830,113470,158202,92312,174571,75864
2,2016,6539235,198557,8361,98066,105879,316910,105454,20158,1423,13331,98772,211962,23464,56393,326488,358848,156233,85338,215881,204389,13691,29074,48953,209302,134444,84453,100394,31508,82155,70490,13771,45611,52508,105797,181494,53839,354531,112921,73204,319201,3988,198799,19051,176058,739550,60191,1999,120275,163499,88785,169663,74128
3,2015,6668241,208789,8867,98244,106390,312894,109311,20761,1777,14831,100754,211296,22973,59814,323298,383757,152098,87416,232601,203913,16320,29616,51937,208859,138174,86814,126696,32337,78436,73802,13337,48402,52934,108806,185059,51053,357087,114512,73570,323163,4172,219628,19129,170244,717524,63008,1737,123591,176581,91853,173364,76707
4,2014,6931908,224834,8953,98997,115951,318083,108554,21622,1823,16455,99982,215046,23286,64182,334936,400840,151605,89501,252054,208751,16091,29519,53196,234979,158295,95495,132536,31664,79678,78594,13716,51241,53441,111308,183481,54861,361988,121809,78188,333512,4761,218012,21123,181729,736503,66529,4058,129934,198231,87564,178014,76405
5,2013,6884681,219145,7992,83876,114837,331190,108777,21371,1708,17843,99714,210371,22836,64346,336314,394619,147930,86633,293002,193524,12846,30559,108676,229043,152054,96498,130609,31172,84732,78050,13966,53456,51606,110643,183961,38729,368715,117388,75227,331927,5058,213018,19659,167119,696966,69666,3969,126835,192353,82672,176658,74823
6,2012,6924268,215364,9757,83091,114221,291568,113116,22424,1640,19112,99630,213464,23508,66792,347354,384836,147415,89065,350822,201506,14617,34933,109831,232184,160619,96429,130434,30387,90399,76947,12936,55076,51380,84307,194710,37598,388858,109819,74480,332209,4506,209908,19808,212133,638784,67691,3844,127359,194912,82033,176288,74162
7,2011,7095982,219486,9410,84661,120452,329246,113837,21479,1680,18992,105002,224697,23858,64044,343737,385923,149093,87361,338142,201970,13574,38688,100324,236976,161925,105632,130190,29281,80176,79238,12302,57215,49037,88653,196947,31975,408811,107058,77898,344466,4089,206986,19036,220238,708102,65462,7810,130792,204423,80260,178587,76761
8,2010,7015421,217229,9212,76186,117311,321397,113471,23836,1804,19407,110009,222816,23646,64321,338592,381537,146517,86807,353659,190798,14692,39817,104944,231137,159164,101298,130666,31706,78083,76895,13134,60642,46598,93128,197683,28561,409580,105727,72321,319575,4554,204095,17830,226296,690327,61441,8111,132902,198764,80177,182658,74361
9,2009,6654533,199181,9020,73475,102223,316458,100600,23525,1846,21945,111241,209218,23894,60562,319914,356974,143587,82290,347137,178480,13241,41249,103750,202238,136257,100751,113533,36762,72945,76578,12168,60877,44972,91900,189679,27896,378715,96786,72790,309653,4353,189608,17282,204510,683285,58819,7720,129819,171654,77780,174305,71088
10,2008,7440117,246481,9477,83357,124910,345199,102490,29318,2063,24220,128501,238228,24670,70291,353257,399772,150861,89245,367216,191021,16994,44916,60236,249210,168780,113822,136097,45221,75633,84396,13501,79724,49518,100450,212817,28874,446162,106580,81643,354347,5075,222792,18301,254918,744925,60103,8767,147546,158228,101685,196148,72132
11,2007,7592958,258760,9894,79655,131646,336246,98030,37290,2403,23936,130602,249390,25398,71783,353811,404184,151796,88012,355029,197496,16996,46909,63440,266878,168054,117651,140510,47565,72220,87945,14801,84648,52347,140658,220632,27879,452143,107456,84372,354689,6156,232181,17190,263369,756720,58916,9123,151156,153127,100548,205097,66223
12,2006,7441134,253799,9762,84351,129457,347808,98360,33923,2019,22992,137138,251167,25305,67626,352661,379305,149798,97603,362302,130144,14365,48484,66455,276809,164769,116240,146674,37961,73960,93267,14686,89788,52177,109383,223455,25355,434130,107225,89468,357969,6965,241860,15969,266078,674404,60358,9582,152406,176782,94443,202281,61865
13,2005,7597474,258066,9301,79242,132884,346332,93310,36451,2173,24734,138301,252947,25294,65980,360130,377630,146786,95984,351472,152184,15319,173621,67377,283130,165141,113863,136158,37844,72852,88375,14306,94154,49644,152361,228916,23107,467625,108292,86428,363740,7144,246613,15358,259880,626619,62101,9794,156136,169483,75923,217726,59243
14,2004,7651208,247820,9132,85126,129290,351859,92109,38575,2419,25400,140520,272241,24881,69558,380442,376039,149095,94391,353422,139232,13648,171266,70134,283689,177004,121237,115490,36904,71123,88922,15995,91089,47211,162427,237807,24043,468904,107833,76457,363780,8650,248672,15969,255381,651210,58494,10068,159254,152133,73970,230103,60794
