,Date,US,AL,AK,AZ,AR,CA,CO,CT,DC,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
0,2018,26235856,637577,326163,136890,295751,1536675,314013,59179,4200,71020,392079,559341,34010,114456,857678,959495,710167,310597,398875,2842015,92072,77183,108103,510690,490977,323339,210540,98113,305523,107061,27850,216993,178598,284399,387048,290398,888327,541547,177783,1084321,19906,330467,139009,405476,6570749,156143,16068,325613,380772,261337,440811,254106
1,2017,25274901,616228,325245,138311,286807,1533349,298130,59564,4342,70785,397280,549963,37407,111913,855012,906673,688711,304629,385430,2782594,89985,80643,110244,506215,484762,316410,204650,96427,309734,104378,32007,211725,175428,280556,383035,281447,848266,525119,184588,1037664,19695,333817,136958,420815,6000367,159547,16778,321510,379542,237420,426118,235214
2,2016,24848860,614843,321563,142913,275169,1547073,294317,58721,4393,75015,393503,560403,39637,111826,848681,914593,634855,302231,398350,2670996,91184,80970,110166,492801,485884,301277,203968,91908,302490,101769,27024,212983,171873,284341,374982,257028,848081,505875,184266,1004084,19311,329047,134380,415263,5890168,161542,15684,320963,392120,223288,416083,208116
3,2015,24754168,614912,322355,137913,271366,1536811,330985,57624,5181,74241,390998,568127,41260,114351,852466,924540,617372,296586,409158,2563992,105598,83635,111550,508514,475400,305990,232592,94591,289605,90494,28465,214387,173498,289629,370973,269431,852801,489061,182571,1052769,20365,336325,136096,407892,5768465,164418,16313,328041,387961,228672,417456,208154
4,2014,24837961,636305,321480,137535,296892,1541141,323207,64299,5437,71022,366742,566833,41272,114109,896338,928770,617420,288701,412829,2581810,117076,85424,112485,516986,513757,304227,232223,95285,284137,104344,29463,208158,176812,284616,369697,282238,875727,489648,176484,1088263,20496,336247,136039,416310,5603415,169537,16762,326968,379217,232137,431596,231600
5,2013,24704344,631288,326293,129752,297397,1553679,306305,66771,5443,72881,379732,542368,42583,113502,881732,926752,607506,284051,429891,2559098,131181,80292,141817,509527,493422,303997,224672,95977,290148,92511,28854,217619,169213,285506,384977,260288,838898,474232,174601,1014108,20503,325949,136353,415203,5686491,173987,16564,320570,381302,213458,423003,239519
6,2012,24120136,620149,329426,137030,290922,1455491,308064,60929,5374,73164,374242,512862,41605,114000,862792,910003,568623,285981,485415,2619993,132192,91632,139842,478336,485886,321037,225638,96202,291750,89673,27122,219902,174648,271908,379398,245817,830176,472469,172312,897144,18632,327021,130925,418708,5370553,167620,17890,319888,387808,205005,402911,250037
7,2011,23885863,584558,322011,140317,301368,1455333,307395,64539,5137,66090,373126,530267,43686,114513,868592,920084,592436,280834,493836,2656386,135324,100195,148983,474636,493106,304615,220863,91872,287799,85732,27926,219729,174150,276721,373594,239977,811240,454405,167450,886181,18041,331279,132377,415684,5136380,155353,18809,316854,378820,209781,414243,252134
8,2010,23628680,556869,317725,132087,293378,1418730,342010,64769,5471,31065,391503,535952,44421,117263,871327,908415,598112,284043,502686,2653127,133288,104688,143375,457749,494605,311320,236167,96596,273641,96280,26083,210677,167893,266460,374149,215669,818728,444149,161543,845090,20456,324697,132632,404882,5088041,148820,20365,317811,379746,204249,411863,234187
9,2009,21797020,512018,325409,123540,262858,1396946,313488,63632,5294,36964,355389,497941,45193,106835,778544,831855,552696,269654,476569,2559885,123406,108534,132018,407837,431284,274356,231126,110146,231653,94591,24654,202307,165956,266875,335806,186304,734399,413965,161096,748445,20547,316155,121404,375627,4478126,141807,18030,315523,353834,177233,380147,222929
