,Date,US,AL,AK,AZ,AR,CA,CO,CT,DC,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
0,2019,10268012,230154,301693,18629,108604,808070,175261,24520,0,33865,119915,155992,94,38672,268101,426717,249885,142528,126661,1363555,21024,18336,48770,179302,162437,134439,65452,27708,89765,20683,9834,65061,108157,90505,119114,75681,319648,323969,57028,496696,8819,94907,46037,147810,2290210,60055,2370,106788,78490,131731,162622,111648
1,2018,10111536,232444,296078,19172,110384,807353,165120,24562,0,30783,108324,158445,90,34818,263010,419456,256030,144818,123296,1318255,19231,16227,47524,182340,161560,137008,66744,28671,89594,20156,9916,64167,102596,91600,116776,68734,330451,317527,54293,457048,8817,96485,46997,147159,2266597,60450,2284,103271,77303,121610,164613,121349
2,2017,9525948,210763,282647,19254,104564,803207,161165,24557,0,29860,103645,150172,85,35916,259583,379468,241187,140582,118993,1241531,17698,15744,47004,176262,165901,130349,63158,26706,89600,19272,9499,54298,101295,83030,107373,59582,295426,295458,57880,414786,8551,92198,45667,134790,2089677,61752,2191,100604,80656,109491,154920,107951
3,2016,9274016,208603,268134,19768,93207,816878,160336,24271,0,31457,103923,152311,83,34811,255358,371319,189618,139570,120853,1202818,18983,15400,45721,178484,162818,118737,63630,24647,91116,18330,8454,60910,100433,81066,105504,54744,289123,286933,57799,400851,8474,88148,44595,123235,2067057,64703,2172,95329,79275,95394,144801,83832
4,2015,9098293,203930,265725,20407,91926,822801,188981,25612,0,33126,96389,157937,442,31680,266521,372999,178772,139742,122877,1109590,20972,14765,44554,178347,157401,125735,65691,25575,85694,17728,8386,55368,105204,83335,105103,54005,286016,276277,53681,386292,8624,84898,44914,115072,2023290,67542,2040,94514,76527,84010,136709,80567
5,2014,9158184,203552,261005,22499,96137,834167,182540,28371,0,31004,94751,160842,401,28046,294594,376138,172142,134699,121725,1115976,24121,14734,45581,187838,173569,119973,67115,25391,86942,16435,8456,61494,103881,84578,107904,43042,308197,271232,56564,399377,8008,83443,45004,117288,1988477,67936,1858,87938,79439,76999,141661,95120
6,2013,8908540,198771,259893,22157,94479,828649,175191,29965,0,32154,103428,157982,388,27996,293914,357196,173545,136077,116635,1106812,32308,13989,46677,179152,160732,117964,63212,23842,88334,13212,7866,61468,98933,80151,109662,41005,275301,258509,57416,340236,8161,83730,44955,110952,1933522,72170,1303,84406,80889,58891,136034,108326
7,2012,8622488,190734,258089,22669,88818,789496,178873,26932,0,28737,104224,146481,355,29781,277077,345184,168907,134005,112290,1132986,30248,17626,43928,167193,159947,116773,62516,22776,85633,11303,7007,54785,104473,74556,102151,37162,265368,255541,57550,282481,7841,81165,41298,105531,1874833,67546,2711,79894,78196,50307,124338,114173
8,2011,8316710,170664,250639,21741,92033,752982,181472,26258,0,19760,90340,144940,362,25392,283516,327006,167233,128383,109720,1097015,27734,21220,47590,158243,157776,116108,63053,22603,86415,11083,7083,49865,106387,75660,99110,36976,268815,258758,57016,247341,7462,76973,41262,106898,1781283,59905,2812,73353,76289,42167,126856,113158
9,2010,8111821,161542,255642,19264,88930,770837,205468,24117,0,7983,81034,146737,339,24195,286015,289597,167423,124047,107895,1058485,28365,23371,44239,151661,158457,127032,65554,22543,85511,10732,6022,49269,101138,76048,92321,31809,270060,248636,55853,220702,8033,73397,41317,94682,1743038,55717,2909,68364,71280,38181,121408,104622
10,2009,7442607,148158,265243,17965,82165,771892,199743,24585,0,17402,65594,140326,344,24256,235145,245186,164512,124864,98613,945579,25923,23926,39400,137031,128361,109492,63431,24757,81232,11462,4688,48465,102162,73171,82253,23187,233511,241774,57344,185675,7739,64655,36869,83550,1536577,51640,2890,63184,71271,36478,119711,99226
11,2008,7889884,160383,258151,20204,88131,787599,182550,22539,0,18216,69255,150773,431,25191,264098,272369,162478,128797,110555,973434,25628,21153,44700,148611,143837,114958,66758,32655,76654,12892,5370,53981,105026,80653,89317,29010,283674,270239,68811,197502,6775,71924,33011,91996,1652978,53487,3000,67048,75748,38483,127818,101033
12,2007,7881102,168098,288322,19375,87679,797977,172795,22794,0,16014,67778,152674,502,24119,254956,272652,140892,142555,112608,1045879,21640,20413,46334,156249,113504,110751,67868,32066,65838,13239,6337,63075,101148,77930,88401,25139,294853,242324,68836,196131,6705,76286,21274,92032,1611929,56072,2987,74879,73572,42094,121111,102415
13,2006,7668522,168046,288548,18470,89392,791763,165694,21670,0,16398,71412,159614,451,23488,245537,263915,101032,132132,112271,997780,17514,23015,43316,198803,103009,104347,65627,33111,53584,13579,5968,65632,96554,78462,87150,21310,287350,226062,70115,194937,6395,77171,10934,93666,1590583,53036,2762,74229,70758,40928,118396,72607
14,2005,7712685,166133,356102,16998,90543,822121,177867,20469,0,15257,64406,156202,439,22852,260596,264117,96007,117713,115581,920530,6500,23772,47774,222133,94989,99254,66350,27212,41184,13758,6889,74857,102146,81485,86821,19145,294830,209962,69666,189828,5892,74002,11206,94966,1628074,46500,2628,76490,66874,40273,130570,72722
15,2004,8354312,178978,328288,20738,102442,875921,163445,20529,0,16025,64883,160559,446,23907,263549,262956,93890,115860,116953,992049,16233,23360,43546,218675,97103,106456,64483,25021,39168,11742,7388,77024,105626,78903,90133,24248,302935,210670,71714,200021,5530,78421,11529,98747,2092866,45846,2784,75557,67812,46308,141084,71962
16,2003,8272679,173275,341629,15295,112284,821105,161152,23553,0,15172,74580,159406,444,24689,270332,248704,93856,125356,105086,955184,3315,21829,44128,222359,94772,94213,61545,24249,38401,10677,7882,77451,98340,83523,88445,23886,291436,208883,67562,200201,4450,78807,11734,112493,2133763,46079,2479,71198,65884,47567,137605,76419
17,2002,8640266,173607,351170,17213,119858,784853,173948,29051,0,17634,84954,143152,475,28729,290549,259110,92223,137803,107089,981801,23672,27183,85951,249503,95671,105532,66965,25229,40721,11028,8054,80483,97025,93125,98306,29028,306892,182010,70550,212439,4455,96268,11079,118321,2246150,48576,3085,76973,67717,55098,137706,72251
18,2001,8462771,168138,338623,21268,123813,719121,178487,25622,0,20059,96992,137899,532,30435,277356,250792,92589,115877,97351,946831,10929,27412,81184,233241,92452,103367,67846,23963,40174,11482,8685,86097,109749,85051,88844,26161,296579,188083,69908,203417,6127,79674,4749,118614,2315650,53599,2597,66872,75017,48324,132982,62159
19,2000,9293187,215691,341872,21256,132338,840531,117678,32162,0,25325,107151,166126,536,32464,301115,298556,100065,138627,103745,1105778,12984,40067,74864,247174,105875,120393,68496,26419,46847,11341,8537,88368,110693,97097,106547,23885,340088,231195,76322,235327,8039,97295,5326,129745,2397231,64048,3949,78083,83748,56823,151923,63442
20,1999,9158349,219551,339728,27066,139552,791970,112303,32039,0,21075,136593,153867,463,33846,305225,311722,101341,128185,101006,1055172,2550,37214,78074,248258,104187,124055,64402,24068,45779,12115,5912,197205,81925,102265,107284,26267,326964,235709,107984,235766,34521,102635,5906,144568,2146081,64668,2901,96660,124371,50771,145703,60873
