,Date,US,AL,AK,AZ,AR,CA,CO,CT,DC,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
0,2019,10638407,236587,297448,19216,110074,835569,189200,25262,0,35326,122660,160130,89,39967,276838,448706,265648,148695,132834,1392872,21800,19167,50297,189583,170595,138198,66773,29088,96021,21537,10148,67700,111550,93426,122857,83504,341004,334213,60064,516241,9079,97511,49888,154099,2349893,62894,2455,112902,85165,142983,170696,119957
1,2018,10465213,238755,288131,19932,111919,834480,176710,25303,0,32132,111353,162764,87,36237,270706,438717,271085,150395,129579,1346057,19938,16945,48978,190983,168964,140544,68222,29906,94971,20887,10230,66738,106168,94603,120207,74314,352462,327970,57985,475033,9080,98978,50136,153347,2330470,63006,2362,109227,83999,132784,172547,128888
2,2017,9862549,216675,279204,20140,106092,831737,170758,25259,0,31292,107037,154378,83,37562,267352,394814,254570,145369,124471,1267405,18337,16489,48408,184301,170999,134926,63509,27812,95051,20036,9790,56551,105443,85730,111220,64503,317025,308062,61932,432717,8812,95177,48157,140140,2149086,64430,2257,106156,87096,118633,161126,114439
3,2016,9609504,214096,268421,20589,94370,845763,169533,24947,0,33080,106704,156602,81,36370,263680,384616,200221,144285,124376,1229677,19548,16184,47103,186112,168510,121967,65096,25485,96470,19082,8709,63588,104835,83640,109145,59545,310674,300757,61924,418060,8736,90926,47076,127998,2129152,67619,2224,100127,85516,104796,151430,90063
4,2015,9427122,209554,265996,21312,93078,853080,199528,26296,0,34874,98791,161639,434,32822,274511,381682,188195,144566,125497,1136076,21613,15588,45859,184259,163426,128970,66269,26417,90568,18433,8637,58007,109244,86068,108798,58686,306111,289035,56534,404961,8867,87476,47331,119161,2094773,70689,2091,99041,81389,92361,143111,85417
5,2014,9450313,207914,261256,23225,97223,857807,190774,29159,0,32723,97547,163502,385,28547,301473,382762,178990,137967,124937,1145070,24914,15522,46671,191322,179200,123331,68011,26036,90607,16982,8716,64258,107444,87403,110588,46722,326791,281609,58174,419645,8237,85401,46852,120594,2055926,70994,1890,92305,82968,84090,146902,98946
6,2013,9131234,201987,260132,22736,96299,850293,181137,30550,0,33654,105263,160386,390,28708,298649,362336,178609,138513,119511,1125949,33308,14595,48202,182911,164365,119455,64105,24655,91539,13672,8106,64388,101949,82933,111214,43827,285614,267658,57916,357302,8416,85238,46350,113060,1981145,75750,1323,87518,83570,63407,139737,112905
7,2012,8822589,193790,261160,23135,89710,805491,185647,27778,0,29555,106176,148708,371,30244,280108,349388,171194,136989,115805,1149063,31123,18292,45418,170015,162975,118586,63031,23346,87247,11712,7233,56312,106824,76960,103612,39578,274345,263841,58840,294905,8079,82749,42031,107135,1928322,70607,2743,82693,80491,54370,126786,118077
8,2011,8501768,173454,253842,22024,93409,767439,187114,26981,0,20336,91708,147610,379,25840,286530,330979,168725,130988,112754,1117156,28885,21808,48958,160427,159371,118024,63566,22964,87370,11351,7346,51162,108748,77677,100453,39675,277237,266376,58283,257116,7640,78627,41472,108498,1831177,62257,2834,75276,78514,45712,128674,117021
9,2010,8302317,164057,256892,19586,89590,787410,208973,24730,0,8180,82997,149901,353,24721,288206,293194,168401,126437,111206,1084100,29460,23974,45722,154139,160037,129515,65903,22812,85855,11132,6216,50552,103231,77834,93943,33558,279355,256272,56294,228806,8218,75061,41522,96883,1800506,58334,2929,70108,73614,41097,122618,107882
10,2009,7628593,152140,266529,18293,83112,792725,202689,25158,0,17952,67610,143614,358,24822,238153,248910,165657,127319,102212,972783,27033,24785,40606,140000,132232,111945,63791,25028,82230,11800,4848,49868,105043,74754,84392,24462,243188,249682,58809,193069,7924,66680,36947,85888,1574577,54046,2904,65414,73422,39481,121371,102336
11,2008,8102510,164045,259708,20734,88896,809376,185356,23001,0,18811,71442,154289,450,25799,267748,275888,164098,133413,114473,1008196,27338,21902,45279,152200,147233,118110,67181,33177,77515,13323,5479,55786,107965,82400,91970,30228,295078,279649,70525,205203,6940,74317,33106,95416,1696930,56822,3015,69550,78029,41312,129606,104207
