,Date,AL,AK,AZ,AR,CA,CO,FL,IL,IN,KS,KY,LA,MD,MI,MS,MO,MT,NE,NV,NM,NY,ND,OH,OK,OR,PA,SD,TN,TX,UT,VA,WV,WY
0,2019,7874,246649,4,3037,38675,36676,,95,309,10306,4765,107964,,4744,1268,,3492,69,2.0,43335,175,20176,18434,69409,20,244568,23,154,266877,15913,6180,83960,27877
1,2018,8444,249643,3,3415,39720,38855,,106,310,11336,5142,58998,,5075,1354,,2919,78,3.0,40029,170,16356,16692,62868,26,222158,25,211,245360,17315,6477,69002,32277
2,2017,8737,239734,4,4015,41146,38197,,92,350,11939,5213,37193,,5313,1210,,2753,79,3.0,42227,182,13427,12648,54999,31,193331,26,171,236577,18088,6506,59224,32069
3,2016,9835,226496,3,4761,40830,41689,,94,375,13574,5515,39560,,5719,1702,,2826,95,3.0,46671,216,11794,10223,54523,39,184730,25,211,238693,21205,6907,54045,7895
4,2015,10675,223246,5,5856,43838,74822,,88,462,16626,6175,40234,,6312,2614,,3016,90,4.0,50478,277,10965,6548,54038,49,170764,820,265,223817,24944,7697,50851,8188
5,2014,9429,219451,10,6469,42989,73344,,86,350,14126,4801,41822,0.0,5857,755,0.0,2650,64,3.0,49521,323,9544,4363,51127,42,150762,799,278,207792,24824,6898,42427,22185
6,2013,12456,219190,4,6605,49846,71105,5609.0,122,506,17110,6095,57549,0.0,7248,2663,0.0,3845,194,3.0,47018,375,6486,1079,45581,44,115630,916,335,198208,28165,8408,28682,32004
7,2012,12389,214335,12,6599,51154,76462,6080.0,122,506,17017,6095,54463,0.0,7428,3667,0.0,3845,194,4.0,47696,423,4595,836,43727,44,79783,866,335,163325,28165,8408,21569,33826
8,2011,10367,208531,17,6173,44379,78800,4896.0,101,433,12781,5925,80983,0.0,5857,2107,0.0,2613,287,3.0,47556,498,3200,781,40819,39,46784,594,231,147268,23209,7206,15571,39114
9,2010,10163,211918,19,5340,64931,66083,4512.0,50,283,13461,5626,59336,0.0,6626,10388,0.0,3265,331,4.0,49070,573,3753,773,39489,31,19805,562,214,157751,22022,6121,11348,34459
10,2009,10460,219161,17,4091,63127,64873,94.0,62,211,15169,4862,56656,0.0,6841,9090,0.0,3371,359,4.0,49655,1005,2986,879,40164,26,11753,568,235,169631,20222,6040,11348,36290
11,2008,11136,211878,20,2521,64689,44231,897.0,41,161,12803,3914,52941,0.0,5447,8976,0.0,4067,395,4.0,49753,687,3472,840,42250,26,6801,545,161,166500,18169,4406,8423,35569
12,2007,11345,227374,20,1502,56936,39347,654.0,39,101,10232,2676,61368,0.0,7588,7068,0.0,4327,182,5.0,47525,657,2699,872,38229,23,5112,573,109,154323,21715,3143,6483,33309
13,2006,12045,218153,23,1351,57234,38088,896.0,4,108,13681,3524,49124,0.0,7932,5473,0.0,4864,176,5.0,44880,635,2644,855,36396,24,5855,508,66,138558,20221,3809,8339,5279
14,2005,11291,259829,23,1288,37865,35866,987.0,4,97,11734,2879,45543,0.0,8276,4718,0.0,4502,236,5.0,41815,803,2488,833,35989,21,4341,545,68,134434,17216,2749,6729,5010
15,2004,11809,237530,25,1364,37337,34178,1178.0,4,74,8589,2044,48308,0.0,5755,4559,0.0,3933,302,5.0,40977,614,3237,894,35875,27,4277,562,46,129825,15802,3307,4277,4823
16,2003,11470,255701,18,615,39452,32886,1133.0,4,38,10861,2278,51254,0.0,6309,4243,0.0,3543,286,6.0,36339,1094,4889,936,40292,43,4156,553,47,123585,16398,2108,4881,4590
17,2002,9521,241469,58,536,41878,27708,1262.0,4,51,17693,3442,34285,0.0,10925,3818,0.0,3113,295,6.0,34686,876,4786,972,30281,40,6154,495,80,114919,17163,3000,7420,4369
18,2001,9593,229206,40,849,49766,26907,2154.0,4,26,11598,1980,37811,0.0,6799,3304,0.0,2644,29,7.0,37094,640,4528,983,38916,42,5469,538,48,135786,14578,1641,6384,4032
19,2000,10410,226659,36,1468,60757,23790,2307.0,4,23,13338,2075,130550,0.0,7689,2962,0.0,2360,31,7.0,38944,590,4724,986,41032,49,5111,1003,29,141785,16394,1820,6720,3236
20,1999,9954,224355,35,1822,61810,23695,2240.0,4,18,11611,1615,111203,1.0,5954,3283,0.0,798,29,8.0,16738,701,4153,1035,32868,0,3675,864,26,136708,15930,1519,3705,3125
21,1998,7650,242271,46,7980,68370,18874,2200.0,5,13,13068,1777,131595,1.0,6160,3347,0.0,1792,37,9.0,17728,636,3838,1085,35509,0,1484,848,31,176262,19481,1243,4549,3477
22,1997,7020,230578,51,6349,69386,17150,2321.0,6,12,20641,1816,156387,3.0,9386,3280,0.0,2089,38,9.0,18476,778,4152,1162,51042,0,2022,911,45,144787,16478,1330,4500,4099
23,1996,10492,255500,58,5124,63297,12598,2049.0,7,8,18752,1744,144486,3.0,5478,3202,1.0,2233,43,11.0,17901,939,7320,1193,37803,40,3082,424,37,177508,18570,1183,4292,4252
24,1995,10468,253695,57,5083,62160,11570,620.0,7,5,18772,1945,133825,1.0,6198,3108,0.0,2070,58,13.0,16134,1074,6800,1251,45946,66,2888,404,47,178827,18520,1296,4846,4570
25,1994,9381,200809,61,4283,63251,11865,653.0,10,2,15623,2162,140571,1.0,6399,3169,0.0,2037,86,16.0,18476,781,6247,1296,55607,95,3136,437,44,139427,3322,1102,4815,4676
26,1993,8912,202199,49,6053,80210,12969,476.0,10,6,20363,2573,147888,1.0,4889,4291,0.0,2084,56,21.0,12832,563,3522,1346,60658,118,3910,452,49,130916,3241,1120,3749,7592
27,1992,8391,197975,41,5570,84220,8936,3819.0,9,5,17424,2105,134088,0.0,4178,4372,1.0,1448,31,30.0,14805,965,3709,1434,53278,68,3040,451,39,123111,3866,653,4807,27382
28,1991,4907,187106,45,1218,96442,14802,2413.0,10,5,13814,1730,111793,0.0,6252,3877,0.0,1162,17,53.0,11826,1073,6806,1462,46200,60,3343,393,41,125198,4597,327,4353,20988
29,1990,6171,166155,71,6464,14754,8888,250.0,22,13,18415,2492,175439,1.0,5882,6636,0.0,1705,26,0.0,32573,840,2104,5115,72318,93,5875,158,68,228485,10573,489,6427,29233
30,1989,4277,189702,35,3940,11065,5630,208.0,35,10,13965,1718,121991,1.0,3862,4741,0.0,1247,21,0.0,20828,604,1383,3789,51833,59,4549,112,45,163218,6596,425,4203,20541
31,1988,5021,151280,5,5469,14370,6081,241.0,38,12,16571,2112,150519,1.0,4354,6802,0.0,1520,26,0.0,23288,788,1902,4781,60418,115,4792,123,60,200239,7970,536,5017,23252
32,1987,5314,112404,6,5720,18066,6380,313.0,47,7,15701,2402,178271,2.0,5251,7706,0.0,1639,43,,28958,975,2457,5706,68664,130,5594,125,93,229053,8970,669,5480,25122
33,1986,4139,71104,5,4353,15868,4991,278.0,54,10,13269,2279,141098,1.0,3778,5971,0.0,1371,40,,20497,957,2017,5174,54495,131,4544,70,98,189173,6775,438,3849,16966
34,1985,4227,62341,6,5362,17575,5586,392.0,39,11,15160,2155,153777,1.0,4053,5655,,1596,57,,27294,1041,2494,5371,57064,120,4427,93,138,193822,6286,443,4270,17619
35,1984,4154,109333,7,4956,17498,5500,422.0,47,12,14232,1873,179291,2.0,4574,6372,,1612,70,,29787,840,2398,5678,60470,0,5065,76,153,204390,5621,272,4377,18274
36,1983,3600,96603,7,4402,14569,4943,668.0,29,4,12471,1336,153850,1.0,4135,5777,,1531,60,,26231,617,2014,4327,49480,0,3385,61,113,183870,1806,124,3720,15438
