,Date,US,AL,AK,AZ,AR,CA,CO,CT,DC,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
0,2019,843880,12470,11973,19342,13234,55481,17815,10180,2698,2373,28249,32450,1781,5344,26722,26213,7635,5624,12979,13488,2093,12470,13743,27486,21378,5599,12725,9296,5123,7197,2693,23923,7588,36902,29013,4923,33339,11198,9925,45301,4756,17560,5258,19596,85512,7635,3300,21887,12470,8907,24177,4849
1,2018,792763,12965,4804,17373,12446,60415,16076,10631,3209,3035,30078,27485,2074,5445,23336,24633,8038,5186,12705,15039,3353,12965,14261,26448,19447,11409,13224,9544,5704,7845,3630,21781,8038,36560,38116,6166,31634,10112,9853,43561,5360,15039,4593,18928,37079,7519,3817,20743,11668,7260,26707,5427
2,2017,849182,14901,13561,16588,14901,59885,11527,11246,3428,3383,30083,31770,2530,5623,27272,25866,9840,4498,9278,17150,3936,16869,15463,27834,15744,10965,14058,10732,6466,8435,6466,23054,6748,38799,37112,6748,30083,11527,12371,47515,5558,16869,4815,19962,47796,8716,4455,22773,13495,5904,28396,6185
3,2016,853363,16365,12365,18776,14355,61153,16365,10192,3285,3370,29284,20958,2739,5972,31007,22394,9532,8039,17226,6173,3704,15791,15216,27275,29571,10967,13781,9897,5803,7407,3244,10336,7666,40768,33304,4962,39620,12374,12058,46510,5372,14355,3720,18776,59717,7752,3853,24691,12431,10106,26987,5799
4,2015,831663,16010,12450,17082,7719,61494,16581,7246,4035,3544,27416,11849,4232,9377,33734,21727,8862,9434,15724,9220,5417,16581,14580,24586,30018,10578,13151,10186,6325,8673,4203,20946,8145,40310,23157,7075,36022,14523,10149,47228,6414,12722,4690,17039,50030,7404,4618,25444,11550,8577,26301,7283
5,2014,792637,16483,12335,16284,12504,57377,15914,10486,4222,2815,25576,10231,4495,6423,28418,18472,8810,8810,22166,13739,4746,15346,15346,21882,28134,8241,13925,10119,6167,8668,4348,11652,8472,40070,25292,11119,30408,10799,9918,42343,6804,11055,4574,18074,43196,6820,4710,20319,10515,6252,30098,7666
6,2013,783347,16970,12763,16386,10293,60091,14188,11061,4342,2675,23091,14327,4781,6343,26986,18361,9681,9459,16692,13632,4479,12519,13910,19474,29768,9181,13910,10210,6120,9069,4284,20114,8710,38670,25038,11462,29211,13409,9876,35053,6712,11406,4738,17721,40617,7233,5001,20309,9737,7233,28377,7669
7,2012,826700,17721,14343,18436,10746,53841,13146,8955,4270,4501,25747,17445,2927,7138,26942,21974,10249,10245,22963,12754,5733,14485,14392,18924,29629,9250,14299,12375,7560,10561,4708,19433,10257,35797,31518,6991,35349,16222,11054,38137,5223,11186,7939,18203,38102,9246,4632,25369,10217,8815,27461,9291
8,2011,859488,18178,14931,20563,14494,60093,14259,10870,4034,4919,27344,21183,4659,7663,33835,20321,8186,9272,18367,14101,4702,14193,15392,18528,29069,14165,18702,12937,6746,11001,4385,21120,10541,39789,24010,9957,31546,12362,10810,40761,4591,13564,5149,22332,34084,8617,4690,27957,10216,9666,31384,9248
9,2010,877770,17634,12644,20002,10974,33127,25153,12337,4426,1542,29382,26982,5127,8182,41758,17749,8452,16750,18817,14604,5171,15112,15282,22364,31472,11761,12210,10888,7570,9777,4697,22448,9405,42333,28065,6608,34093,15374,10601,46840,6192,14535,8223,19347,44093,7841,4993,24734,14171,7912,30057,7957
