,Date,US,AL,AK,AZ,AR,CA,CO,CT,DC,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
0,2019,560878,0,0,0,0,0,0,0,0,0,0,0,0,0,11081,0,9034,0,7251,109591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423920,0,0,0,0,0,0,0
1,2018,539931,0,0,0,0,0,0,0,0,0,0,0,0,0,11081,0,9034,0,7251,93440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419124,0,0,0,0,0,0,0
2,2017,452715,0,0,0,0,0,0,0,0,0,0,0,0,0,11081,0,9034,0,6401,93440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332759,0,0,0,0,0,0,0
3,2016,413402,0,0,0,0,0,0,0,0,0,0,0,0,0,11112,0,9058,0,5497,81984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305751,0,0,0,0,0,0,0
4,2015,392033,0,0,0,0,0,0,0,0,0,0,0,0,0,11081,0,9034,0,6265,81760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283893,0,0,0,0,0,0,0
5,2014,380099,0,0,0,0,0,0,0,0,0,0,0,0,0,11081,0,9034,0,5816,77380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276788,0,0,0,0,0,0,0
6,2013,363201,0,0,0,0,0,0,0,0,0,0,0,0,0,7679,0,9034,0,372,72270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273846,0,0,0,0,0,0,0
7,2012,347622,0,0,0,0,0,0,0,0,0,0,0,0,0,10266,0,6657,0,0,71370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259329,0,0,0,0,0,0,0
8,2011,346196,0,0,0,0,0,0,0,0,0,0,0,0,0,10238,0,8851,0,0,62707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264400,0,0,0,0,0,0,0
9,2010,319026,0,0,0,0,0,0,0,0,0,0,0,0,0,10238,0,8851,0,0,57812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242124,0,0,0,0,0,0,0
