,Date,US,AL,AK,AZ,AR,CA,CO,CT,DC,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
0,2019,180157,2682,0,621,1326,3600,275,566,0,0,1164,2113,0,68,3141,1127,2154,681,2686,26098,0,162,1005,1857,429,324,868,0,842,0,0,5559,71,1980,2322,0,4271,632,294,2349,25,2457,0,5620,92166,68,0,2457,1090,2457,2273,278
1,2018,197968,2947,0,682,1457,3956,302,621,0,0,1279,2322,0,74,3452,1239,2367,749,2951,28678,0,178,1105,2040,472,356,954,0,925,0,0,6109,78,2175,2551,0,4693,695,323,2582,28,2700,0,6176,101278,74,0,2700,1197,2700,2497,306
2,2017,198809,1686,0,293,2372,3237,300,571,0,147,1091,1981,0,146,3667,827,1548,668,3090,29372,0,293,1102,2987,278,257,832,0,563,0,0,6097,83,1764,2796,0,3623,571,293,2639,0,8583,0,24428,83997,134,0,1142,516,2720,1799,316
3,2016,191343,1623,0,282,2283,3116,289,549,0,142,1050,1907,0,140,3529,796,1490,643,2974,28269,0,282,1061,2875,268,247,800,0,542,0,0,5868,80,1697,2691,0,3487,549,282,2540,0,8261,0,23510,80843,129,0,1099,497,2618,1731,304
4,2015,188926,1602,0,279,2254,3076,285,542,0,140,1037,1883,0,138,3484,786,1471,635,2937,27912,0,279,1047,2839,264,244,790,0,535,0,0,5794,79,1676,2657,0,3443,542,279,2508,0,8156,0,23213,79822,127,0,1085,491,2585,1709,300
5,2014,182742,1550,0,270,2180,2976,276,525,0,135,1003,1821,0,134,3370,760,1423,614,2841,26998,0,270,1013,2746,256,236,764,0,517,0,0,5604,77,1621,2570,0,3331,525,270,2426,0,7889,0,22453,77209,123,0,1049,475,2500,1653,290
6,2013,171162,1452,0,253,2042,2787,258,491,0,127,939,1706,0,125,3157,712,1333,575,2661,25287,0,253,949,2572,240,221,716,0,485,0,0,5249,72,1518,2407,0,3120,491,253,2272,0,7389,0,21031,72316,115,0,983,445,2342,1549,272
7,2012,161581,6635,0,242,1294,1315,101,452,0,232,413,1599,0,0,3255,989,626,304,3124,16471,0,491,467,1865,282,145,573,0,132,0,0,5058,0,1609,4025,0,2759,313,313,1827,0,2813,0,14744,82868,0,0,1220,448,1599,678,298
8,2011,164740,6765,0,247,1319,1341,103,461,0,237,421,1631,0,0,3319,1009,638,310,3185,16793,0,501,476,1901,287,148,585,0,134,0,0,5156,0,1641,4104,0,2813,319,319,1863,0,2868,0,15032,84488,0,0,1244,457,1631,691,304
9,2010,158700,6517,0,238,1271,1292,99,444,0,228,406,1571,0,0,3197,972,615,298,3068,16177,0,483,459,1831,277,143,563,0,130,0,0,4967,0,1581,3953,0,2710,307,307,1795,0,2763,0,14481,81391,0,0,1198,440,1571,666,292
10,2009,151826,6234,0,227,1215,1236,95,425,0,218,388,1503,0,0,3059,929,588,285,2935,15476,0,462,439,1752,265,137,539,0,124,0,0,4752,0,1512,3782,0,2593,294,294,1717,0,2644,0,13854,77865,0,0,1147,421,1503,637,280
11,2008,142031,5832,0,213,1137,1156,89,397,0,204,363,1406,0,0,2862,870,550,267,2746,14478,0,432,410,1639,248,128,504,0,116,0,0,4446,0,1415,3538,0,2426,275,275,1606,0,2473,0,12960,72842,0,0,1073,394,1406,596,262
