,Date,US,AL,AK,AZ,AR,CA,CO,CT,DC,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
0,2019,75589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64485,0,0,0,0,0,0,0
1,2018,85192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72677,0,0,0,0,0,0,0
2,2017,83113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70904,0,0,0,0,0,0,0
3,2016,80035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68278,0,0,0,0,0,0,0
4,2015,81566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69584,0,0,0,0,0,0,0
5,2014,84338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71949,0,0,0,0,0,0,0
6,2013,98673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84953,0,0,0,0,0,0,0
7,2012,86494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74467,0,0,0,0,0,0,0
8,2011,92858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79946,0,0,0,0,0,0,0
9,2010,93478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80480,0,0,0,0,0,0,0
10,2009,89914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76201,0,0,0,0,0,0,0
11,2008,90925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75738,0,0,0,0,0,0,0
12,2007,107175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88498,0,0,0,0,0,0,0
