,Date,US,AL,AK,AZ,AR,CA,CO,CT,DC,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
0,2019,417796,0,0,0,0,10696,0,0,0,0,0,0,0,0,1135,0,0,0,6079,62988,0,0,0,0,0,0,0,0,0,0,0,16206,0,0,0,0,6976,0,0,15974,0,0,0,0,288019,0,0,0,0,9723,0,0
1,2018,435625,0,0,0,0,10696,0,0,0,0,0,0,0,0,1135,0,0,0,6079,66267,0,0,0,0,0,0,0,0,0,0,0,16206,0,0,0,0,6976,0,0,15974,0,0,0,0,302569,0,0,0,0,9723,0,0
2,2017,431997,0,0,0,0,10696,0,0,0,0,0,0,0,0,1135,0,0,0,6079,65964,0,0,0,0,0,0,0,0,0,0,0,16206,0,0,0,0,6976,0,0,15974,0,0,0,0,299244,0,0,0,0,9723,0,0
3,2016,423100,0,0,0,0,10696,0,0,0,0,0,0,0,0,1135,0,0,0,6079,64323,0,0,0,0,0,0,0,0,0,0,0,16206,0,0,0,0,6976,0,0,15974,0,0,0,0,291988,0,0,0,0,9723,0,0
4,2015,413352,0,0,0,0,10696,0,0,0,0,0,0,0,0,1135,0,0,0,6079,62739,0,0,0,0,0,0,0,0,0,0,0,16206,0,0,0,0,6976,0,0,15974,0,0,0,0,283824,0,0,0,0,9723,0,0
5,2014,416519,0,0,0,0,10696,0,0,0,0,0,0,0,0,1135,0,0,0,6079,63672,0,0,0,0,0,0,0,0,0,0,0,16206,0,0,0,0,6976,0,0,15974,0,0,0,0,286059,0,0,0,0,9723,0,0
6,2013,428588,0,0,0,0,10696,0,0,0,0,0,0,0,0,1135,0,0,0,6079,66079,0,0,0,0,0,0,0,0,0,0,0,16206,0,0,0,0,6976,0,0,15974,0,0,0,0,295720,0,0,0,0,9723,0,0
7,2012,432450,0,0,0,0,10696,0,0,0,0,0,0,0,0,1135,0,0,0,6079,66008,0,0,0,0,0,0,0,0,0,0,0,16206,0,0,0,0,6976,0,0,15974,0,0,0,0,299653,0,0,0,0,9723,0,0
8,2011,433980,0,0,0,0,10696,0,0,0,0,0,0,0,0,1135,0,0,0,6079,63454,0,0,0,0,0,0,0,0,0,0,0,18961,0,0,0,0,6976,0,0,24809,0,0,0,0,292147,0,0,0,0,9723,0,0
9,2010,427537,0,0,0,0,10696,0,0,0,0,0,0,0,0,1135,0,0,0,6079,61514,0,0,0,0,0,0,0,0,0,0,0,18961,0,0,0,0,6976,0,0,24809,0,0,0,0,287644,0,0,0,0,9723,0,0
