,Date,US,AL,AK,AZ,AR,CA,CO,CT,DC,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
0,2019,95619,2018,0,1476,293,5359,98,129,0,0,1494,4472,0,9,10320,1984,1148,541,1906,851,0,3061,1238,4293,720,184,1791,0,34,1148,21,1245,0,2263,3937,0,12322,375,1161,6559,472,708,0,2711,9717,536,184,3477,144,39,5181,0
1,2018,92050,1942,0,1421,282,5159,95,125,0,0,1439,4305,0,9,9935,1910,1105,521,1835,819,0,2946,1192,4133,693,177,1725,0,33,1105,20,1198,0,2179,3790,0,11862,361,1118,6314,454,681,0,2610,9355,516,177,3348,138,37,4987,0
2,2017,100337,1888,0,722,449,5430,179,307,0,0,1787,5190,0,0,11120,1137,1118,602,2356,1426,0,2795,1474,5153,1118,522,3072,0,30,522,388,2425,179,2615,3573,0,13084,1092,1291,6965,179,1269,0,1980,10456,522,179,1667,865,0,3212,0
3,2016,93577,1761,0,673,419,5064,167,286,0,0,1667,4840,0,0,10371,1060,1043,562,2197,1329,0,2607,1375,4806,1043,487,2865,0,28,487,362,2261,167,2439,3332,0,12202,1018,1204,6496,167,1183,0,1847,9752,487,167,1555,807,0,2995,0
4,2015,99266,1868,0,714,444,5372,177,304,0,0,1768,5134,0,0,11002,1125,1106,596,2331,1410,0,2765,1458,5098,1106,516,3039,0,30,516,384,2399,177,2588,3535,0,12944,1080,1278,6891,177,1255,0,1959,10345,516,177,1649,856,0,3178,0
5,2014,106120,1997,0,763,475,5743,189,325,0,0,1890,5489,0,0,11761,1203,1183,637,2492,1508,0,2956,1559,5450,1183,552,3249,0,32,552,410,2564,189,2766,3779,0,13838,1154,1366,7367,189,1342,0,2094,11059,552,189,1763,915,0,3397,0
6,2013,100016,1882,0,719,448,5413,178,306,0,0,1781,5173,0,0,11085,1133,1115,600,2348,1421,0,2786,1469,5137,1115,520,3062,0,30,520,386,2417,178,2607,3561,0,13042,1088,1287,6943,178,1265,0,1974,10423,520,178,1662,862,0,3202,0
7,2012,14715,340,0,99,57,1047,0,81,0,0,361,671,0,0,1440,226,122,92,535,86,0,348,247,754,324,121,299,0,0,66,40,502,0,294,518,57,1874,83,149,932,30,69,0,223,1488,57,0,516,127,0,439,0
8,2011,22614,523,0,153,87,1609,0,124,0,0,554,1032,0,0,2214,347,188,142,822,132,0,535,379,1158,497,187,459,0,0,102,62,772,0,452,796,87,2880,127,229,1432,46,107,0,343,2287,87,0,793,195,0,675,0
9,2010,26104,604,0,176,101,1858,0,144,0,0,640,1191,0,0,2555,401,217,164,948,153,0,617,438,1337,574,215,530,0,0,117,72,891,0,522,919,101,3324,146,264,1653,53,123,0,396,2640,101,0,916,226,0,779,0
