,Date,US,AL,AK,AZ,AR,CA,CO,CT,DC,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
0,2019,243912,1816,2136,0,1177,24837,1340,0,0,2370,0,0,1919,0,13359,6034,0,5253,3786,43797,0,0,0,1821,5698,5125,0,2776,0,26,0,5444,1782,0,0,1171,7829,6801,0,5639,0,0,0,2342,76023,2650,0,0,8478,290,0,2192
1,2018,256427,1942,2251,0,1241,26179,1412,0,0,2498,0,0,2022,0,13666,6289,0,5398,3807,45594,0,0,0,1919,5737,5400,0,2812,0,27,0,5737,1864,0,0,1234,8195,7167,0,8239,0,0,0,2468,78858,2749,0,0,8934,306,174,2310
2,2017,251761,1921,2148,0,1227,25661,1397,0,0,2471,0,0,2000,0,13246,5997,0,5287,3831,44781,0,0,0,1885,5539,5281,0,2781,0,27,0,5668,1852,0,0,1265,8106,7075,0,8149,0,0,0,2441,77309,2665,0,0,8647,302,515,2285
3,2016,255241,1821,2197,0,1251,26358,1424,0,0,2519,0,0,2040,0,13268,6108,0,4992,3851,46229,0,0,0,1825,5372,5220,0,2836,0,28,0,6568,1708,0,0,1290,8062,7070,0,7965,0,0,0,2627,77837,2722,0,0,8763,308,525,2454
4,2015,249171,1808,2179,0,1243,26057,1414,0,0,2502,0,0,2025,0,12915,6050,0,4655,3824,45984,0,0,0,1813,5203,4998,0,2796,0,27,0,6481,1751,0,0,1282,7662,7021,0,8253,0,0,0,2609,74166,2486,0,0,8702,306,522,2437
5,2014,252824,1701,3086,0,1282,26943,1459,0,0,2580,0,0,2089,0,13320,6240,0,4801,3505,47062,0,0,0,1841,5105,5155,0,2671,0,28,0,6628,1806,0,0,1046,7888,7241,0,8441,0,0,0,2549,73525,2522,0,0,8946,316,538,2511
6,2013,256216,1736,3523,0,1308,27112,1488,0,0,2633,0,0,2131,0,13535,6367,0,4899,3577,47320,0,0,0,1777,5195,5260,0,2725,0,29,0,6763,1889,0,0,1012,7659,7389,0,8613,0,0,0,2601,74772,2501,0,0,9129,322,549,2403
7,2012,246803,1780,3627,0,1341,24087,1527,0,0,2700,0,0,2186,0,13785,2847,0,5035,3639,48509,0,0,0,1779,5165,5395,0,2795,0,30,0,6936,1876,0,0,1008,7855,7539,0,6991,0,0,0,2668,70469,2548,0,0,9362,296,563,2465
8,2011,247829,1743,4238,0,1313,27105,1495,0,0,2644,0,0,2140,0,13315,5275,0,4922,3381,46303,0,0,0,1538,5096,5282,0,2722,0,29,0,5775,1830,0,0,871,7662,7382,0,10769,0,0,0,2612,67567,2426,0,0,9152,290,551,2401
9,2010,245302,1739,4273,0,1195,27153,1492,0,0,0,0,203,2136,0,13290,6249,0,4913,3070,45832,0,0,0,1535,4866,5272,0,2717,0,29,0,5764,1826,0,0,840,7595,7368,0,11195,0,0,0,2607,67473,2422,0,0,9107,290,497,2354
10,2009,242503,1728,4304,0,1187,26765,1468,0,0,0,0,0,2123,0,13206,6210,0,4767,3130,43433,0,0,0,1526,5102,5239,0,2700,0,29,0,5728,1810,0,0,835,7393,7356,0,11125,0,0,0,2591,67375,2266,0,954,9036,288,494,2339
