,Date,US,AL,AK,AZ,AR,CA,CO,CT,DC,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
0,2019,4126882.14396,142679.43284,6070.84313,113551.98708,64442.89845,201784.20432,56337.73443,40050.03793,174.08004,5258.53801,245603.4849,128691.56939,9749.99808,18407.81198,184470.05174,102505.38095,61673.54387,50887.99173,71804.2538,100174.76203,10490.562,39328.68928,21515.63618,116701.34345,59379.3895,65958.75973,78278.75121,27797.079,37297.61537,39889.65981,18026.59483,71018.77422,35174.50994,131603.28936,131173.86057,41147.32361,120001.12603,85216.50112,62258.37796,228995.33055,7624.40282,100107.5036,14506.6467,82327.10844,483201.03072,39117.0334,2289.798,96827.6393,106463.60821,63925.63866,62774.29939,42145.65634
1,2018,4178277.34373,145057.99386,6247.3585,111925.14408,67999.35152,195465.63818,55386.27857,39453.5515,79.33109,6240.6439,244252.03517,129239.37127,9796.7729,18172.11967,188003.35675,113459.71091,63380.56876,51710.21324,78804.49656,102128.4847,11280.69963,43809.64841,27172.88233,115837.09482,61517.44119,63473.77145,85095.38365,28212.831,36966.21581,39640.2414,17087.15639,75033.60002,32673.68187,132520.50083,134249.49698,42615.32123,126184.60986,86223.7206,64113.56042,215385.8299,8375.25693,99364.08787,12616.39568,81554.91652,477352.42459,39375.42428,2178.91519,95509.12101,116756.72859,67249.02477,65936.80343,46112.13594
2,2017,4034270.55883,139964.25012,6497.4656,105851.76503,60775.2163,206146.5199,53844.00156,34562.6539,66.871,7495.97627,238413.43667,127455.31405,9812.96803,17396.02356,183591.57075,98929.81848,57909.56614,50933.29634,73179.1957,97719.21253,11264.28,34104.08,32204.115,112313.50058,58748.83149,59727.63655,84606.73066,28220.946,35406.98175,38201.29435,17446.84079,75644.51252,33597.41264,128065.08184,128468.11719,41505.07357,119554.36562,73731.65397,62713.74747,213639.29852,7614.94102,93080.93905,10935.71884,79046.22231,452794.36521,37411.87622,2141.38837,90417.14889,115912.07762,73357.08017,65107.33275,46741.84595
3,2016,4076674.98352,142385.09821,6335.03351,108763.4493,60445.05937,196963.21538,54418.48,36496.55991,76.474,8731.26055,238262.14982,133380.41567,9948.84505,15660.93838,187289.13096,101759.05895,54392.5065,47599.99057,80273.50107,107268.80356,11514.42707,37166.68726,31955.02169,112121.79002,59478.75269,62881.29496,78611.51254,27783.52924,36524.86927,39787.005,19282.49308,77611.40309,32912.04486,134417.10736,130779.15707,37856.45176,118922.0776,78655.00719,60182.01282,215066.50936,6564.8851,96985.76356,11524.18372,79340.63331,454047.59107,38133.92799,1911.20709,92554.87591,114086.58224,75942.96757,64966.61115,46656.63013
4,2015,4077600.93855,152477.42671,6284.9373,113142.0477,55559.42755,196703.85766,52393.07748,37470.62225,53.75,7810.00556,237412.63315,128817.89761,10119.50026,15667.09473,193952.04003,104019.27476,56658.91846,45527.12366,83543.67059,107812.35352,11741.26486,36365.54382,32085.96914,113008.05016,56979.76789,64757.86359,83640.06743,29302.40085,39883.39061,39046.78374,20015.8934,74608.85973,32701.3983,138627.72053,128388.44461,37156.61235,121893.40148,76135.59588,57866.53464,214572.2912,6939.01892,96532.21282,9633.03252,75214.63614,449826.33597,41949.1203,1982.04747,84411.59208,109287.45791,72295.2689,66360.18322,48966.5191
5,2014,4093606.00481,149340.44709,6042.82963,112257.18746,61592.13666,198807.62178,53847.38591,33676.98041,67.61216,7703.58352,230015.9373,125837.22353,10204.15825,15184.4165,202143.87798,115395.39178,56853.28247,49728.36311,90896.43507,104229.40163,13248.70989,37833.65242,31118.59132,106816.99101,56998.32996,55127.09166,87834.46821,30257.61608,39431.29074,36000.537,19538.39498,68051.08585,32306.20987,137122.20214,128143.58813,36462.50767,134476.40497,70155.5043,60119.9072,221058.36549,6281.74822,97158.46493,10995.23976,79506.88648,437629.66787,43784.52588,7031.39397,77137.43841,116334.36251,81059.57667,61064.79568,49696.18336
6,2013,4065964.06746,150572.92386,6496.82164,113325.98612,60322.49214,200077.11462,52937.43591,35610.78932,65.85208,7760.861,222398.92398,120953.7343,10267.05227,15186.12821,203004.91948,110403.47711,56670.75692,48472.5813,89741.02122,102010.17699,14030.03761,35850.81233,32885.02068,105417.80056,51296.98761,52810.26389,91626.59293,27687.32631,37104.62777,36443.87359,19778.52045,64750.94171,35870.96518,136116.82997,125936.29336,35021.67273,137284.18868,73673.68026,59895.51466,226785.63047,6246.80672,95249.89397,10108.8865,79651.61943,433380.16569,42516.75082,6884.91,76896.56506,114172.91623,75863.06664,65962.79179,52483.0654
7,2012,4047765.26668,152878.68769,6946.41882,110904.99359,65005.67798,199518.56657,52556.7011,36117.54387,71.78678,8633.694,221096.13597,122306.36385,10469.26867,15499.08931,197565.36162,114695.72927,56675.40557,44424.69077,89949.6887,103407.70581,15048.29623,37809.74355,35578.42149,108158.04967,52754.43318,54584.295,91804.3206,27804.78243,34217.29245,35173.2632,19222.31892,65263.40795,36635.90944,135768.24358,116681.76322,36125.15886,129745.73061,77896.58811,60932.73047,223419.71547,8309.03583,96755.68188,11473.397,77724.2638,429812.50979,39402.96075,6611.78611,70739.23494,116835.47343,73413.4047,63750.93789,49588.60621
8,2011,4100140.92612,156339.20983,6871.03279,108125.35689,61307.53589,200804.84248,51432.55429,33745.22061,200.87396,6590.1948,221894.57408,124749.34116,10723.33291,16568.7859,199499.72804,122131.41396,56371.91265,45359.84012,98350.98218,105490.73696,15973.68806,41818.06819,38054.82051,109169.50687,53120.06149,51570.94264,94876.3967,30128.54257,36095.051,31935.91791,20065.941,64694.09597,38181.1393,137480.34695,118389.85492,35079.9001,135585.80447,74605.71361,59695.16413,227314.72236,8722.27255,102972.56717,11998.8855,81103.86222,435476.92358,40836.15001,6776.21881,66670.85907,115262.60082,78999.62354,63289.34377,47638.47083
9,2010,4125059.89892,152150.51206,6759.5757,111750.95746,61000.18454,204125.59554,50720.79178,33349.62331,199.858,5627.645,229095.93479,137576.94126,10836.03597,12024.5641,201351.87163,125180.73889,57508.72079,47923.76218,98217.65818,102884.94019,17018.65964,43607.2639,42804.82379,111551.37129,53670.227,54487.26002,92312.98942,29791.18057,36630.0062,35146.24769,22195.91196,65682.49363,36251.54218,136961.65363,128678.48325,34739.54167,143598.33672,72250.73312,55126.99915,229752.30616,7738.719,104153.13272,10049.63613,82348.62483,411695.0462,42249.35459,6619.99,72966.45599,103472.72898,80788.94723,64314.06709,48119.25384
