DATE,CAPUTLG311A2S
1967-01-01,85.3605
1967-02-01,85.0864
1967-03-01,84.7079
1967-04-01,86.5807
1967-05-01,85.1156
1967-06-01,85.2621
1967-07-01,83.8208
1967-08-01,84.5986
1967-09-01,84.3585
1967-10-01,84.9953
1967-11-01,84.6645
1967-12-01,85.1187
1968-01-01,84.6412
1968-02-01,84.0374
1968-03-01,84.2092
1968-04-01,83.9761
1968-05-01,84.2390
1968-06-01,84.5947
1968-07-01,85.4182
1968-08-01,85.5364
1968-09-01,85.8032
1968-10-01,85.6075
1968-11-01,85.8446
1968-12-01,84.1160
1969-01-01,84.8272
1969-02-01,85.9056
1969-03-01,85.6224
1969-04-01,84.8761
1969-05-01,85.2448
1969-06-01,84.3795
1969-07-01,85.9545
1969-08-01,85.7939
1969-09-01,85.5060
1969-10-01,84.3710
1969-11-01,83.9187
1969-12-01,84.6884
1970-01-01,84.0114
1970-02-01,85.5612
1970-03-01,84.0698
1970-04-01,84.0707
1970-05-01,84.5026
1970-06-01,83.7926
1970-07-01,83.3423
1970-08-01,83.6811
1970-09-01,83.3216
1970-10-01,84.3462
1970-11-01,83.8953
1970-12-01,84.6232
1971-01-01,85.3572
1971-02-01,83.8779
1971-03-01,83.2406
1971-04-01,83.3562
1971-05-01,83.7589
1971-06-01,83.6273
1971-07-01,84.1793
1971-08-01,83.8725
1971-09-01,83.9247
1971-10-01,84.0263
1971-11-01,84.9776
1971-12-01,84.8714
1972-01-01,85.6893
1972-02-01,84.5476
1972-03-01,85.2485
1972-04-01,85.9326
1972-05-01,85.4367
1972-06-01,85.1779
1972-07-01,84.7340
1972-08-01,85.1329
1972-09-01,84.6009
1972-10-01,85.3160
1972-11-01,84.5126
1972-12-01,85.6042
1973-01-01,85.1735
1973-02-01,85.6139
1973-03-01,84.9625
1973-04-01,84.0265
1973-05-01,85.8505
1973-06-01,83.9352
1973-07-01,83.6770
1973-08-01,82.7755
1973-09-01,83.9208
1973-10-01,84.6983
1973-11-01,86.3110
1973-12-01,85.6343
1974-01-01,86.2236
1974-02-01,85.7356
1974-03-01,85.7596
1974-04-01,83.6001
1974-05-01,85.2970
1974-06-01,85.7016
1974-07-01,83.6419
1974-08-01,83.7535
1974-09-01,82.8465
1974-10-01,82.7578
1974-11-01,81.4536
1974-12-01,80.0056
1975-01-01,78.8836
1975-02-01,77.7896
1975-03-01,77.5555
1975-04-01,78.8555
1975-05-01,78.5984
1975-06-01,80.0458
1975-07-01,80.8678
1975-08-01,80.3208
1975-09-01,80.8776
1975-10-01,82.1448
1975-11-01,82.8180
1975-12-01,82.4486
1976-01-01,83.3255
1976-02-01,82.9592
1976-03-01,82.3417
1976-04-01,82.5543
1976-05-01,83.9053
1976-06-01,82.9901
1976-07-01,83.9032
1976-08-01,83.0219
1976-09-01,83.3752
1976-10-01,83.5074
1976-11-01,83.6563
1976-12-01,83.3510
1977-01-01,83.4448
1977-02-01,83.8957
1977-03-01,83.4638
1977-04-01,83.6813
1977-05-01,82.4417
1977-06-01,81.9866
1977-07-01,82.0097
1977-08-01,82.1505
1977-09-01,81.8128
1977-10-01,82.1841
1977-11-01,83.1819
1977-12-01,84.1515
1978-01-01,83.3583
1978-02-01,83.8555
1978-03-01,84.1990
1978-04-01,84.7438
