DATE,CAPUTLG326S
1948-01-01,88.3049
1948-02-01,84.5619
1948-03-01,82.3595
1948-04-01,79.4915
1948-05-01,83.1074
1948-06-01,84.1600
1948-07-01,81.7908
1948-08-01,82.6127
1948-09-01,82.3025
1948-10-01,80.2139
1948-11-01,78.5946
1948-12-01,76.2211
1949-01-01,76.0632
1949-02-01,74.3799
1949-03-01,73.2469
1949-04-01,72.1220
1949-05-01,71.2207
1949-06-01,71.6162
1949-07-01,69.8657
1949-08-01,70.6902
1949-09-01,70.2322
1949-10-01,73.8069
1949-11-01,73.7640
1949-12-01,76.0228
1950-01-01,79.5144
1950-02-01,81.3130
1950-03-01,83.7012
1950-04-01,86.0708
1950-05-01,88.2154
1950-06-01,90.3435
1950-07-01,97.5800
1950-08-01,95.1630
1950-09-01,95.8160
1950-10-01,97.2745
1950-11-01,94.2806
1950-12-01,97.1051
1951-01-01,91.2970
1951-02-01,89.7241
1951-03-01,90.5130
1951-04-01,91.8878
1951-05-01,91.0861
1951-06-01,90.6834
1951-07-01,88.9192
1951-08-01,85.2290
1951-09-01,87.9498
1951-10-01,81.6016
1951-11-01,82.0151
1951-12-01,81.8232
1952-01-01,83.9114
1952-02-01,83.7125
1952-03-01,82.9219
1952-04-01,81.7649
1952-05-01,81.5502
1952-06-01,82.6344
1952-07-01,79.8361
1952-08-01,83.8541
1952-09-01,85.8247
1952-10-01,90.3206
1952-11-01,91.5182
1952-12-01,92.3548
1953-01-01,91.0332
1953-02-01,90.9725
1953-03-01,91.1001
1953-04-01,91.0497
1953-05-01,90.8237
1953-06-01,87.2701
1953-07-01,89.6797
1953-08-01,87.0307
1953-09-01,83.5399
1953-10-01,80.7680
1953-11-01,80.2492
1953-12-01,78.5396
1954-01-01,79.5647
1954-02-01,83.2898
1954-03-01,83.9491
1954-04-01,86.7850
1954-05-01,86.7554
1954-06-01,88.2243
1954-07-01,82.0555
1954-08-01,75.9378
1954-09-01,83.6804
1954-10-01,86.1201
1954-11-01,87.3984
1954-12-01,89.0620
1955-01-01,92.4718
1955-02-01,92.6406
1955-03-01,94.6059
1955-04-01,96.5342
1955-05-01,97.9607
1955-06-01,98.7455
