DATE,CAPUTLG3361T3S
1948-01-01,82.0367
1948-02-01,80.5985
1948-03-01,79.9760
1948-04-01,78.0248
1948-05-01,77.0450
1948-06-01,77.9842
1948-07-01,81.6313
1948-08-01,77.9441
1948-09-01,72.0197
1948-10-01,81.9741
1948-11-01,83.1737
1948-12-01,85.2898
1949-01-01,84.8000
1949-02-01,82.0104
1949-03-01,79.0711
1949-04-01,81.4471
1949-05-01,76.3713
1949-06-01,80.1731
1949-07-01,82.9634
1949-08-01,85.8156
1949-09-01,83.8947
1949-10-01,80.8445
1949-11-01,68.6635
1949-12-01,67.4054
1950-01-01,90.6501
1950-02-01,77.8696
1950-03-01,78.8386
1950-04-01,85.9802
1950-05-01,97.8563
1950-06-01,111.3630
1950-07-01,110.6527
1950-08-01,113.4966
1950-09-01,109.2409
1950-10-01,111.1052
1950-11-01,105.6943
1950-12-01,106.1581
1951-01-01,103.9321
1951-02-01,106.7361
1951-03-01,105.8039
1951-04-01,98.3726
1951-05-01,94.8003
1951-06-01,89.6089
1951-07-01,80.2938
1951-08-01,81.0606
1951-09-01,80.6055
1951-10-01,77.7892
1951-11-01,78.2195
1951-12-01,76.6183
1952-01-01,75.2930
1952-02-01,76.1814
1952-03-01,76.8523
1952-04-01,76.3221
1952-05-01,75.2636
1952-06-01,73.6148
1952-07-01,45.8258
1952-08-01,56.0498
1952-09-01,79.8867
1952-10-01,82.5024
1952-11-01,88.1768
1952-12-01,87.5319
1953-01-01,92.0315
1953-02-01,93.3296
1953-03-01,94.5285
1953-04-01,95.2055
1953-05-01,92.9727
1953-06-01,91.5861
1953-07-01,99.2827
1953-08-01,95.7689
1953-09-01,87.4551
1953-10-01,87.6248
1953-11-01,80.2487
1953-12-01,86.4028
1954-01-01,80.0633
1954-02-01,77.5243
1954-03-01,76.7781
1954-04-01,77.0492
1954-05-01,78.7801
1954-06-01,79.0452
1954-07-01,75.1704
1954-08-01,72.7643
1954-09-01,72.1508
1954-10-01,70.5404
1954-11-01,74.7006
1954-12-01,81.7253
1955-01-01,90.5951
1955-02-01,92.7098
1955-03-01,99.3302
1955-04-01,103.8397
1955-05-01,108.3307
1955-06-01,100.5728
1955-07-01,105.8148
1955-08-01,106.4677
1955-09-01,104.4048
1955-10-01,101.8088
1955-11-01,98.7910
1955-12-01,93.3188
1956-01-01,88.2979
1956-02-01,83.5107
1956-03-01,81.9722
1956-04-01,80.9745
1956-05-01,74.6340
1956-06-01,74.3996
1956-07-01,74.2725
1956-08-01,75.6351
1956-09-01,72.6390
1956-10-01,80.3608
1956-11-01,78.6369
1956-12-01,82.2132
1957-01-01,84.2958
1957-02-01,86.6816
1957-03-01,83.8311
1957-04-01,81.5236
1957-05-01,80.7898
1957-06-01,83.2642
1957-07-01,81.2945
1957-08-01,81.9027
1957-09-01,80.1576
1957-10-01,77.5105
1957-11-01,75.4916
1957-12-01,70.6010
1958-01-01,64.5338
1958-02-01,59.4088
1958-03-01,54.4476
1958-04-01,50.5108
1958-05-01,53.2653
1958-06-01,54.1186
1958-07-01,54.4722
1958-08-01,53.8363
1958-09-01,45.2230
1958-10-01,48.3486
1958-11-01,69.3947
1958-12-01,71.8717
1959-01-01,72.7762
1959-02-01,71.8272
1959-03-01,74.9781
1959-04-01,78.3095
1959-05-01,79.3058
1959-06-01,79.7188
1959-07-01,80.1301
1959-08-01,74.1003
1959-09-01,72.1240
1959-10-01,73.6013
1959-11-01,45.3682
1959-12-01,67.0593
1960-01-01,91.0088
1960-02-01,89.0594
1960-03-01,84.1388
1960-04-01,80.9447
1960-05-01,81.1488
1960-06-01,80.0424
1960-07-01,74.6558
1960-08-01,75.6215
1960-09-01,76.4884
1960-10-01,76.9805
1960-11-01,70.8449
1960-12-01,66.1758
1961-01-01,59.6065
1961-02-01,57.3619
1961-03-01,56.7211
1961-04-01,64.1850
1961-05-01,67.8981
1961-06-01,71.3268
1961-07-01,71.7546
1961-08-01,75.7991
1961-09-01,60.7759
1961-10-01,68.1610
1961-11-01,77.3226
1961-12-01,78.7192
1962-01-01,75.8947
1962-02-01,75.8561
1962-03-01,75.8112
1962-04-01,78.9791
1962-05-01,81.0669
1962-06-01,78.1673
1962-07-01,81.6695
1962-08-01,81.7920
1962-09-01,82.7987
1962-10-01,84.3318
1962-11-01,83.9201
1962-12-01,83.7252
1963-01-01,83.5312
1963-02-01,84.1259
1963-03-01,84.6691
1963-04-01,84.3388
1963-05-01,85.6594
1963-06-01,86.7994
1963-07-01,87.0698
1963-08-01,87.7690
1963-09-01,88.1211
1963-10-01,88.8134
1963-11-01,88.5634
1963-12-01,88.2650
1964-01-01,87.3755
1964-02-01,87.5900
1964-03-01,85.3984
1964-04-01,88.4201
1964-05-01,87.5780
1964-06-01,87.6572
1964-07-01,88.1501
1964-08-01,90.0422
1964-09-01,87.0691
1964-10-01,57.6626
1964-11-01,84.1278
1964-12-01,95.0578
1965-01-01,99.3337
1965-02-01,100.1916
1965-03-01,103.6939
1965-04-01,102.8683
1965-05-01,103.6293
1965-06-01,103.9107
1965-07-01,104.0330
1965-08-01,103.5353
1965-09-01,102.3522
1965-10-01,102.5582
1965-11-01,102.2304
1965-12-01,100.4732
1966-01-01,100.2364
1966-02-01,99.9274
1966-03-01,99.3976
1966-04-01,99.0207
1966-05-01,94.5216
1966-06-01,93.5832
1966-07-01,86.9582
