DATE,CAPUTLGMFDS
1967-01-01,90.3622
1967-02-01,88.9457
1967-03-01,87.9692
1967-04-01,87.7042
1967-05-01,87.4366
1967-06-01,86.6208
1967-07-01,85.9327
1967-08-01,86.7057
1967-09-01,85.9115
1967-10-01,86.1137
1967-11-01,87.8867
1967-12-01,88.4274
1968-01-01,87.9520
1968-02-01,87.9114
1968-03-01,87.2549
1968-04-01,87.0714
1968-05-01,87.9583
1968-06-01,87.8305
1968-07-01,87.0477
1968-08-01,86.7177
1968-09-01,86.1367
1968-10-01,86.6389
1968-11-01,87.6534
1968-12-01,87.9206
1969-01-01,88.0668
1969-02-01,88.1741
1969-03-01,88.4847
1969-04-01,87.9688
1969-05-01,86.8310
1969-06-01,87.3922
1969-07-01,87.4077
1969-08-01,87.4267
1969-09-01,87.2319
1969-10-01,87.1726
1969-11-01,85.1911
1969-12-01,83.9737
1970-01-01,80.8891
1970-02-01,80.6016
1970-03-01,80.4584
1970-04-01,79.6042
1970-05-01,79.2450
1970-06-01,78.6790
1970-07-01,78.3797
1970-08-01,78.0326
1970-09-01,76.3286
1970-10-01,73.0787
1970-11-01,72.2895
1970-12-01,75.0259
1971-01-01,75.5272
1971-02-01,75.5354
1971-03-01,75.1521
1971-04-01,75.0680
1971-05-01,75.8379
1971-06-01,75.5001
1971-07-01,74.9242
1971-08-01,73.2048
1971-09-01,75.1135
1971-10-01,76.3044
1971-11-01,76.3008
1971-12-01,76.8609
1972-01-01,79.1140
1972-02-01,79.8562
1972-03-01,80.2180
1972-04-01,81.2856
1972-05-01,81.1137
1972-06-01,81.1138
1972-07-01,81.0852
1972-08-01,82.1044
1972-09-01,82.6849
1972-10-01,83.9371
1972-11-01,85.1869
1972-12-01,86.3917
1973-01-01,87.1749
1973-02-01,88.4901
1973-03-01,88.4655
1973-04-01,88.0245
1973-05-01,88.3504
1973-06-01,88.5648
1973-07-01,88.8413
1973-08-01,88.1500
1973-09-01,88.9820
1973-10-01,89.2150
1973-11-01,89.5265
1973-12-01,89.2580
1974-01-01,87.4320
1974-02-01,86.5304
1974-03-01,86.1990
1974-04-01,85.6247
1974-05-01,86.0720
1974-06-01,86.0423
1974-07-01,85.6230
1974-08-01,84.6287
1974-09-01,85.0799
1974-10-01,84.3537
1974-11-01,81.4518
1974-12-01,77.1469
1975-01-01,75.0669
1975-02-01,72.5883
1975-03-01,71.6070
1975-04-01,70.8989
1975-05-01,70.1483
1975-06-01,69.8626
1975-07-01,70.4194
1975-08-01,71.1732
1975-09-01,72.3494
1975-10-01,72.1889
1975-11-01,71.9965
1975-12-01,72.8562
1976-01-01,74.1381
1976-02-01,75.2331
1976-03-01,75.3274
1976-04-01,75.9329
1976-05-01,76.5829
1976-06-01,76.5351
1976-07-01,76.9637
1976-08-01,77.6611
1976-09-01,76.8432
1976-10-01,76.2823
1976-11-01,77.6254
1976-12-01,78.2752
1977-01-01,77.5627
1977-02-01,78.6759
1977-03-01,80.1066
1977-04-01,80.7852
1977-05-01,81.4987
1977-06-01,82.2236
1977-07-01,82.1325
1977-08-01,82.3553
1977-09-01,82.1587
1977-10-01,82.0363
1977-11-01,81.6591
1977-12-01,82.5831
1978-01-01,80.5133
1978-02-01,80.7981
1978-03-01,82.3839
1978-04-01,83.7020
1978-05-01,83.5634
1978-06-01,84.0036
1978-07-01,84.0609
1978-08-01,84.4646
1978-09-01,84.6550
1978-10-01,85.3184
1978-11-01,85.8923
1978-12-01,86.4660
1979-01-01,85.5332
1979-02-01,85.8367
1979-03-01,85.8128
1979-04-01,83.3279
1979-05-01,84.8129
1979-06-01,84.8505
1979-07-01,84.3194
1979-08-01,82.5334
1979-09-01,83.3009
1979-10-01,83.0362
1979-11-01,82.4627
1979-12-01,82.5985
1980-01-01,82.7045
1980-02-01,82.4555
1980-03-01,81.6896
1980-04-01,79.2491
1980-05-01,76.0270
1980-06-01,74.4375
1980-07-01,73.3302
1980-08-01,73.5672
