DATE,CAPUTLHITEK2S
1967-01-01,93.3473
1967-02-01,92.8867
1967-03-01,91.5057
1967-04-01,90.0693
1967-05-01,88.6896
1967-06-01,88.6338
1967-07-01,87.6347
1967-08-01,87.6268
1967-09-01,86.9589
1967-10-01,87.6069
1967-11-01,88.9939
1967-12-01,89.0089
1968-01-01,88.6712
1968-02-01,89.8789
1968-03-01,88.5121
1968-04-01,86.1707
1968-05-01,87.7522
1968-06-01,87.9737
1968-07-01,86.2956
1968-08-01,87.4447
1968-09-01,87.1292
1968-10-01,87.0182
1968-11-01,86.7914
1968-12-01,86.5287
1969-01-01,87.4793
1969-02-01,86.9109
1969-03-01,88.1262
1969-04-01,88.7270
1969-05-01,89.0005
1969-06-01,89.4341
1969-07-01,89.9799
1969-08-01,90.7890
1969-09-01,90.8650
1969-10-01,91.4494
1969-11-01,90.5191
1969-12-01,89.7139
1970-01-01,89.2820
1970-02-01,87.2681
1970-03-01,86.7888
1970-04-01,87.5011
1970-05-01,85.6456
1970-06-01,84.0180
1970-07-01,84.3221
1970-08-01,81.3063
1970-09-01,79.7386
1970-10-01,77.4016
1970-11-01,75.5723
1970-12-01,75.5407
1971-01-01,73.9020
1971-02-01,73.0440
1971-03-01,72.8581
1971-04-01,72.2150
1971-05-01,72.0766
1971-06-01,72.6161
1971-07-01,73.5872
1971-08-01,73.3187
1971-09-01,74.0935
1971-10-01,74.5383
1971-11-01,75.1872
1971-12-01,76.3479
1972-01-01,79.8096
1972-02-01,79.0589
1972-03-01,78.4515
1972-04-01,78.2727
1972-05-01,77.7560
1972-06-01,76.5050
1972-07-01,77.2662
1972-08-01,76.8041
1972-09-01,76.9980
1972-10-01,77.9078
1972-11-01,78.2966
1972-12-01,79.3580
1973-01-01,79.1097
1973-02-01,79.9188
1973-03-01,79.6055
1973-04-01,79.6009
1973-05-01,79.9402
1973-06-01,82.1486
1973-07-01,79.4646
1973-08-01,82.0870
1973-09-01,82.0847
1973-10-01,83.3691
1973-11-01,84.4801
1973-12-01,84.5882
1974-01-01,85.2058
1974-02-01,85.6755
1974-03-01,85.7364
1974-04-01,83.7756
1974-05-01,83.4361
1974-06-01,83.1690
1974-07-01,81.8409
1974-08-01,75.6146
1974-09-01,79.9640
1974-10-01,78.9939
1974-11-01,75.5833
1974-12-01,73.1213
1975-01-01,70.8176
1975-02-01,67.0759
1975-03-01,65.9029
1975-04-01,64.1325
1975-05-01,63.2721
1975-06-01,62.0523
1975-07-01,62.8686
1975-08-01,62.9063
1975-09-01,63.4212
1975-10-01,63.6543
1975-11-01,63.4738
1975-12-01,64.7691
1976-01-01,65.1038
1976-02-01,64.8609
1976-03-01,65.3275
1976-04-01,66.2416
1976-05-01,67.8405
1976-06-01,67.5494
1976-07-01,68.5389
1976-08-01,69.3119
1976-09-01,71.1591
1976-10-01,71.9528
1976-11-01,71.9566
1976-12-01,72.4436
1977-01-01,71.3232
1977-02-01,73.5700
1977-03-01,72.9481
1977-04-01,74.4587
1977-05-01,74.9178
1977-06-01,76.4282
1977-07-01,76.0062
1977-08-01,76.9521
1977-09-01,77.1993
1977-10-01,77.4932
1977-11-01,77.7571
1977-12-01,77.6066
1978-01-01,76.4408
1978-02-01,76.8128
1978-03-01,78.3727
1978-04-01,77.8806
1978-05-01,77.5954
1978-06-01,78.3585
1978-07-01,78.4484
1978-08-01,78.5448
1978-09-01,78.6115
1978-10-01,79.2605
1978-11-01,80.2991
1978-12-01,80.2060
1979-01-01,80.6305
1979-02-01,81.2647
1979-03-01,81.1990
1979-04-01,79.1262
1979-05-01,80.0087
1979-06-01,81.6763
1979-07-01,81.9302
1979-08-01,82.9130
1979-09-01,83.7091
1979-10-01,84.4156
1979-11-01,86.3691
1979-12-01,87.4874
1980-01-01,88.2087
1980-02-01,88.6820
1980-03-01,88.8866
1980-04-01,88.7490
1980-05-01,88.1076
1980-06-01,86.7818
1980-07-01,86.2462
1980-08-01,86.9212
1980-09-01,86.3156
1980-10-01,86.9349
1980-11-01,87.1792
1980-12-01,87.3500
1981-01-01,87.5174
1981-02-01,86.8663
1981-03-01,86.0797
1981-04-01,87.0319
1981-05-01,86.4828
1981-06-01,85.5947
1981-07-01,85.1020
1981-08-01,85.9678
1981-09-01,85.4284
1981-10-01,84.8959
1981-11-01,83.1819
1981-12-01,82.3695
1982-01-01,79.9495
1982-02-01,82.4628
1982-03-01,80.7627
1982-04-01,80.1058
1982-05-01,79.6523
1982-06-01,79.3002
1982-07-01,79.4163
1982-08-01,76.9120
1982-09-01,76.9603
1982-10-01,76.1348
1982-11-01,75.6447
1982-12-01,76.0452
1983-01-01,77.2104
1983-02-01,76.6977
1983-03-01,77.6091
1983-04-01,78.7128
1983-05-01,79.3182
1983-06-01,79.9300
1983-07-01,82.5933
1983-08-01,80.3627
1983-09-01,84.3268
1983-10-01,85.1222
1983-11-01,85.2114
1983-12-01,85.0066
1984-01-01,86.2740
1984-02-01,87.2818
1984-03-01,87.4523
1984-04-01,88.1028
1984-05-01,88.2157
1984-06-01,88.6792
1984-07-01,88.7502
1984-08-01,88.8431
1984-09-01,88.2520
1984-10-01,87.8425
1984-11-01,87.2913
1984-12-01,86.2263
1985-01-01,85.8141
1985-02-01,83.6102
1985-03-01,82.5197
1985-04-01,78.9889
1985-05-01,78.5764
1985-06-01,78.3317
1985-07-01,75.2273
1985-08-01,74.7179
1985-09-01,73.3397
1985-10-01,72.6885
1985-11-01,72.9808
1985-12-01,72.8067
1986-01-01,72.2898
1986-02-01,71.9225
1986-03-01,72.1037
1986-04-01,71.8889
1986-05-01,72.1688
1986-06-01,69.7393
1986-07-01,73.5540
1986-08-01,74.0983
1986-09-01,74.3244
1986-10-01,74.4185
1986-11-01,74.8328
1986-12-01,75.6962
1987-01-01,76.4374
1987-02-01,76.8932
1987-03-01,75.7118
1987-04-01,76.4246
1987-05-01,76.7744
1987-06-01,76.8388
1987-07-01,77.5177
1987-08-01,78.4029
1987-09-01,78.6890
1987-10-01,79.2840
1987-11-01,79.0388
1987-12-01,79.6413
1988-01-01,78.7800
1988-02-01,78.1590
1988-03-01,78.4302
1988-04-01,79.2178
1988-05-01,79.5839
1988-06-01,80.1880
1988-07-01,80.7101
1988-08-01,80.7099
1988-09-01,80.7592
1988-10-01,81.3416
1988-11-01,80.7760
1988-12-01,80.6732
1989-01-01,80.0444
1989-02-01,79.1821
1989-03-01,78.0906
1989-04-01,78.4993
1989-05-01,77.2817
1989-06-01,77.1449
1989-07-01,77.8609
1989-08-01,78.2214
1989-09-01,77.5385
1989-10-01,78.2079
1989-11-01,78.0893
1989-12-01,77.9451
1990-01-01,78.1810
1990-02-01,77.9353
1990-03-01,77.8943
1990-04-01,77.3286
1990-05-01,77.3513
1990-06-01,77.3039
1990-07-01,76.8607
1990-08-01,76.4426
