DATE,IPG313A4S
1972-01-01,156.3329
1972-02-01,156.1734
1972-03-01,156.2141
1972-04-01,158.0146
1972-05-01,158.7649
1972-06-01,156.7022
1972-07-01,157.6602
1972-08-01,158.4204
1972-09-01,157.9526
1972-10-01,161.6527
1972-11-01,161.2104
1972-12-01,161.6391
1973-01-01,159.3193
1973-02-01,161.7866
1973-03-01,161.0471
1973-04-01,159.4012
1973-05-01,157.4896
1973-06-01,156.8990
1973-07-01,155.9433
1973-08-01,154.8339
1973-09-01,154.6453
1973-10-01,154.2340
1973-11-01,154.8394
1973-12-01,155.0721
1974-01-01,154.5707
1974-02-01,151.9899
1974-03-01,150.7253
1974-04-01,148.7972
1974-05-01,148.9897
1974-06-01,148.8866
1974-07-01,148.3420
1974-08-01,146.1751
1974-09-01,141.8387
1974-10-01,136.7275
1974-11-01,131.0810
1974-12-01,124.9097
1975-01-01,120.0032
1975-02-01,121.4894
1975-03-01,125.1123
1975-04-01,128.6795
1975-05-01,133.6078
1975-06-01,139.8646
1975-07-01,145.0483
1975-08-01,148.1501
1975-09-01,152.2473
1975-10-01,152.3451
1975-11-01,152.5755
1975-12-01,155.9190
1976-01-01,155.7764
1976-02-01,158.5305
1976-03-01,156.9671
1976-04-01,155.2890
1976-05-01,155.2878
1976-06-01,153.9137
1976-07-01,154.8533
1976-08-01,155.4168
1976-09-01,154.7943
1976-10-01,154.9175
1976-11-01,154.9162
1976-12-01,157.4250
1977-01-01,159.9666
1977-02-01,165.4290
1977-03-01,167.4991
1977-04-01,170.1099
1977-05-01,171.1984
1977-06-01,171.8195
1977-07-01,171.6882
1977-08-01,171.2203
1977-09-01,172.2632
1977-10-01,172.8650
1977-11-01,173.6201
1977-12-01,172.6142
1978-01-01,169.7503
1978-02-01,168.9467
1978-03-01,168.9674
1978-04-01,170.0930
1978-05-01,170.6427
1978-06-01,169.4757
1978-07-01,169.1543
1978-08-01,167.9364
1978-09-01,168.9083
1978-10-01,169.1663
1978-11-01,171.2769
1978-12-01,170.5393
1979-01-01,168.5642
1979-02-01,165.1652
1979-03-01,167.7486
1979-04-01,165.1581
1979-05-01,168.6956
1979-06-01,171.6917
1979-07-01,173.7937
1979-08-01,169.9970
1979-09-01,169.7606
1979-10-01,170.4103
1979-11-01,169.1727
1979-12-01,169.9747
1980-01-01,173.2064
1980-02-01,172.1424
1980-03-01,171.3409
1980-04-01,166.1449
1980-05-01,159.9959
1980-06-01,155.4536
1980-07-01,152.2647
1980-08-01,153.7329
1980-09-01,156.2895
1980-10-01,159.7699
1980-11-01,163.4894
1980-12-01,164.0096
1981-01-01,160.6055
1981-02-01,158.2303
1981-03-01,157.1855
1981-04-01,157.6091
1981-05-01,160.0461
1981-06-01,161.8385
1981-07-01,164.4937
1981-08-01,163.2666
1981-09-01,161.8867
1981-10-01,158.2987
1981-11-01,153.2008
1981-12-01,149.2528
1982-01-01,142.7705
1982-02-01,149.3490
1982-03-01,148.7265
1982-04-01,149.7605
1982-05-01,148.2932
1982-06-01,147.4776
1982-07-01,146.9916
1982-08-01,146.7833
1982-09-01,146.5792
1982-10-01,147.1346
1982-11-01,147.7587
1982-12-01,148.8384
1983-01-01,154.2226
1983-02-01,157.4543
1983-03-01,161.1574
1983-04-01,163.0099
1983-05-01,165.2046
1983-06-01,166.0124
1983-07-01,165.7317
1983-08-01,170.9230
1983-09-01,171.3297
1983-10-01,170.6017
1983-11-01,171.3669
1983-12-01,172.6009
1984-01-01,172.9750
1984-02-01,173.1515
1984-03-01,172.9576
1984-04-01,173.9176
1984-05-01,172.9802
1984-06-01,171.8011
1984-07-01,170.8267
1984-08-01,168.7696
1984-09-01,168.0328
1984-10-01,165.2985
1984-11-01,164.4282
1984-12-01,162.3167
1985-01-01,162.1219
1985-02-01,162.1925
1985-03-01,163.1095
1985-04-01,162.6177
1985-05-01,163.0086
1985-06-01,163.8512
1985-07-01,161.4613
1985-08-01,163.9034
1985-09-01,164.6331
1985-10-01,165.8803
1985-11-01,166.8551
1985-12-01,166.5807
1986-01-01,165.9770
1986-02-01,166.2748
1986-03-01,166.6814
1986-04-01,165.5098
1986-05-01,166.6616
1986-06-01,167.0610
1986-07-01,168.3414
1986-08-01,170.8890
1986-09-01,172.3144
1986-10-01,174.0575
1986-11-01,178.5988
1986-12-01,179.2695
1987-01-01,179.9621
1987-02-01,182.6551
1987-03-01,183.5186
1987-04-01,182.5003
1987-05-01,184.9565
1987-06-01,186.3369
1987-07-01,188.3875
1987-08-01,191.2287
