DATE,IPG321S
1972-01-01,99.8582
1972-02-01,98.3244
1972-03-01,97.0149
1972-04-01,99.2668
1972-05-01,98.4087
1972-06-01,98.7214
1972-07-01,101.6329
1972-08-01,98.7673
1972-09-01,100.2048
1972-10-01,103.7294
1972-11-01,103.6641
1972-12-01,99.9638
1973-01-01,100.0904
1973-02-01,100.7005
1973-03-01,99.9362
1973-04-01,96.5428
1973-05-01,94.8769
1973-06-01,95.4659
1973-07-01,94.8965
1973-08-01,95.0877
1973-09-01,96.3820
1973-10-01,94.9660
1973-11-01,95.9411
1973-12-01,96.9978
1974-01-01,91.7061
1974-02-01,94.2016
1974-03-01,94.4511
1974-04-01,94.8195
1974-05-01,93.3872
1974-06-01,93.3616
1974-07-01,89.4518
1974-08-01,88.2686
1974-09-01,85.5809
1974-10-01,79.6485
1974-11-01,76.7432
1974-12-01,73.3775
1975-01-01,72.4836
1975-02-01,74.3740
1975-03-01,74.5632
1975-04-01,76.1914
1975-05-01,79.8720
1975-06-01,82.0651
1975-07-01,83.9766
1975-08-01,85.0575
1975-09-01,85.3464
1975-10-01,86.4839
1975-11-01,86.5354
1975-12-01,85.6286
1976-01-01,91.2871
1976-02-01,91.4930
1976-03-01,88.4727
1976-04-01,89.6023
1976-05-01,90.7349
1976-06-01,88.2174
1976-07-01,91.4580
1976-08-01,92.2710
1976-09-01,91.5308
1976-10-01,93.7857
1976-11-01,92.5497
1976-12-01,93.8472
1977-01-01,94.0307
1977-02-01,94.5040
1977-03-01,95.5819
1977-04-01,96.0206
1977-05-01,98.0625
1977-06-01,97.4625
1977-07-01,99.4733
1977-08-01,99.5824
1977-09-01,100.4790
1977-10-01,101.3503
1977-11-01,100.0176
1977-12-01,104.2022
1978-01-01,100.3589
1978-02-01,99.2525
1978-03-01,99.4653
1978-04-01,100.4125
1978-05-01,99.9428
1978-06-01,100.7791
1978-07-01,99.9711
1978-08-01,97.5702
1978-09-01,97.4753
1978-10-01,98.3469
1978-11-01,99.9960
1978-12-01,102.3700
1979-01-01,95.6810
1979-02-01,95.6928
1979-03-01,96.5945
1979-04-01,95.6365
1979-05-01,95.8005
1979-06-01,96.0121
1979-07-01,95.5696
1979-08-01,96.9844
1979-09-01,97.3859
1979-10-01,97.3198
1979-11-01,95.6762
1979-12-01,94.6271
1980-01-01,95.2585
1980-02-01,95.8199
1980-03-01,94.4845
1980-04-01,77.3980
1980-05-01,77.4350
1980-06-01,81.3195
1980-07-01,83.4111
1980-08-01,89.8965
1980-09-01,90.4684
1980-10-01,91.9928
1980-11-01,97.0033
1980-12-01,94.0714
1981-01-01,94.8141
1981-02-01,92.9603
1981-03-01,93.2452
1981-04-01,93.7840
1981-05-01,94.2014
1981-06-01,88.9510
1981-07-01,88.8687
1981-08-01,87.9027
1981-09-01,81.5448
1981-10-01,79.3893
1981-11-01,74.9150
1981-12-01,73.8338
1982-01-01,73.1476
1982-02-01,76.4911
1982-03-01,75.1096
1982-04-01,76.8113
1982-05-01,78.3886
1982-06-01,78.3328
1982-07-01,80.7638
1982-08-01,80.3722
1982-09-01,79.1387
1982-10-01,79.0229
1982-11-01,80.6119
1982-12-01,79.7104
1983-01-01,87.0964
1983-02-01,85.9073
1983-03-01,84.0883
1983-04-01,86.0275
1983-05-01,89.2896
1983-06-01,90.3477
1983-07-01,93.5696
1983-08-01,91.7469
1983-09-01,92.9412
1983-10-01,95.2719
1983-11-01,94.8121
1983-12-01,95.0009
1984-01-01,96.0499
1984-02-01,96.7653
1984-03-01,97.9105
1984-04-01,98.6918
1984-05-01,96.0033
1984-06-01,98.0524
1984-07-01,97.6029
1984-08-01,96.5350
1984-09-01,97.4109
1984-10-01,95.7476
1984-11-01,96.1658
1984-12-01,96.8078
1985-01-01,93.9148
1985-02-01,93.8348
1985-03-01,95.8944
1985-04-01,96.7335
1985-05-01,97.5964
1985-06-01,99.0391
1985-07-01,98.4906
1985-08-01,100.9782
1985-09-01,100.1996
1985-10-01,100.8242
1985-11-01,100.4339
1985-12-01,98.1789
1986-01-01,102.6158
1986-02-01,103.0220
1986-03-01,103.7522
1986-04-01,104.8405
1986-05-01,105.4961
1986-06-01,105.1131
1986-07-01,104.7733
1986-08-01,108.4968
1986-09-01,109.1252
1986-10-01,109.5961
1986-11-01,110.6552
1986-12-01,110.1316
1987-01-01,112.5549
1987-02-01,113.5235
1987-03-01,114.0841
1987-04-01,113.0984
1987-05-01,116.3975
1987-06-01,117.0006
1987-07-01,118.8965
1987-08-01,119.0105
1987-09-01,115.5255
1987-10-01,117.2310
1987-11-01,117.8079
1987-12-01,115.4501
1988-01-01,116.5464
1988-02-01,117.3792
1988-03-01,116.2933
1988-04-01,117.0482
1988-05-01,118.4933
1988-06-01,114.5823
1988-07-01,113.9180
1988-08-01,112.3391
1988-09-01,114.4795
1988-10-01,115.1054
1988-11-01,114.5564
1988-12-01,117.4499
1989-01-01,118.5981
1989-02-01,112.5842
1989-03-01,111.5722
1989-04-01,113.4293
1989-05-01,111.7574
1989-06-01,114.1145
1989-07-01,112.0262
1989-08-01,112.6100
1989-09-01,112.3451
1989-10-01,114.8044
1989-11-01,114.8658
1989-12-01,117.2616
1990-01-01,116.5351
1990-02-01,116.4934
1990-03-01,116.4068
1990-04-01,115.9718
1990-05-01,113.7140
1990-06-01,113.6753
1990-07-01,114.5622
1990-08-01,112.2506
1990-09-01,111.8491
1990-10-01,108.7953
1990-11-01,105.8870
1990-12-01,103.3637
1991-01-01,102.6365
1991-02-01,100.2005
1991-03-01,101.8041
1991-04-01,102.6407
1991-05-01,104.8461
1991-06-01,109.7096
1991-07-01,106.2887
1991-08-01,107.6588
1991-09-01,107.9319
1991-10-01,105.2853
1991-11-01,107.4132
1991-12-01,105.8002
1992-01-01,108.1215
1992-02-01,109.2803
1992-03-01,110.7878
1992-04-01,110.2019
1992-05-01,111.7372
1992-06-01,109.6071
1992-07-01,112.4373
1992-08-01,113.1600
1992-09-01,110.6204
1992-10-01,112.0565
1992-11-01,112.9831
1992-12-01,112.5737
1993-01-01,112.5628
1993-02-01,113.4372
1993-03-01,111.7711
1993-04-01,110.7911
1993-05-01,110.7069
1993-06-01,109.9025
1993-07-01,111.0970
1993-08-01,111.9145
1993-09-01,111.9244
1993-10-01,114.5670
1993-11-01,114.3173
1993-12-01,115.4904
1994-01-01,117.9001
1994-02-01,114.7495
1994-03-01,114.8405
1994-04-01,115.9198
1994-05-01,118.1480
1994-06-01,119.0255
1994-07-01,119.8138
1994-08-01,118.7364
1994-09-01,120.8386
1994-10-01,121.9999
1994-11-01,120.5682
1994-12-01,127.1245
1995-01-01,125.1221
