DATE,IPHITEK2S
1967-01-01,0.0666
1967-02-01,0.0671
1967-03-01,0.0668
1967-04-01,0.0664
1967-05-01,0.0661
1967-06-01,0.0668
1967-07-01,0.0667
1967-08-01,0.0674
1967-09-01,0.0676
1967-10-01,0.0688
1967-11-01,0.0706
1967-12-01,0.0713
1968-01-01,0.0716
1968-02-01,0.0732
1968-03-01,0.0727
1968-04-01,0.0713
1968-05-01,0.0732
1968-06-01,0.0739
1968-07-01,0.0731
1968-08-01,0.0746
1968-09-01,0.0749
1968-10-01,0.0753
1968-11-01,0.0757
1968-12-01,0.0760
1969-01-01,0.0774
1969-02-01,0.0774
1969-03-01,0.0790
1969-04-01,0.0801
1969-05-01,0.0809
1969-06-01,0.0819
1969-07-01,0.0829
1969-08-01,0.0842
1969-09-01,0.0849
1969-10-01,0.0860
1969-11-01,0.0857
1969-12-01,0.0855
1970-01-01,0.0856
1970-02-01,0.0841
1970-03-01,0.0841
1970-04-01,0.0852
1970-05-01,0.0838
1970-06-01,0.0827
1970-07-01,0.0833
1970-08-01,0.0807
1970-09-01,0.0795
1970-10-01,0.0776
1970-11-01,0.0761
1970-12-01,0.0764
1971-01-01,0.0750
1971-02-01,0.0745
1971-03-01,0.0746
1971-04-01,0.0743
1971-05-01,0.0745
1971-06-01,0.0754
1971-07-01,0.0768
1971-08-01,0.0770
1971-09-01,0.0782
1971-10-01,0.0792
1971-11-01,0.0803
1971-12-01,0.0821
1972-01-01,0.0864
1972-02-01,0.0867
1972-03-01,0.0872
1972-04-01,0.0882
1972-05-01,0.0888
1972-06-01,0.0885
1972-07-01,0.0905
1972-08-01,0.0912
1972-09-01,0.0926
1972-10-01,0.0950
1972-11-01,0.0968
1972-12-01,0.0995
1973-01-01,0.1005
1973-02-01,0.1030
1973-03-01,0.1040
1973-04-01,0.1055
1973-05-01,0.1075
1973-06-01,0.1122
1973-07-01,0.1102
1973-08-01,0.1155
1973-09-01,0.1173
1973-10-01,0.1210
1973-11-01,0.1245
1973-12-01,0.1266
1974-01-01,0.1295
1974-02-01,0.1322
1974-03-01,0.1342
1974-04-01,0.1331
1974-05-01,0.1345
1974-06-01,0.1360
