DATE,IPMAN
1972-01-01,36.6924
1972-02-01,36.9567
1972-03-01,37.1965
1972-04-01,37.6440
1972-05-01,37.6836
1972-06-01,37.8022
1972-07-01,37.8128
1972-08-01,38.3031
1972-09-01,38.5731
1972-10-01,39.1695
1972-11-01,39.6756
1972-12-01,40.2595
1973-01-01,40.5321
1973-02-01,41.1963
1973-03-01,41.2768
1973-04-01,41.2179
1973-05-01,41.4853
1973-06-01,41.4705
1973-07-01,41.6769
1973-08-01,41.5521
1973-09-01,41.9460
1973-10-01,42.2962
1973-11-01,42.6218
1973-12-01,42.6488
1974-01-01,42.2744
1974-02-01,42.0910
1974-03-01,42.0853
1974-04-01,41.8849
1974-05-01,42.1703
1974-06-01,42.2289
1974-07-01,42.1487
1974-08-01,41.7946
1974-09-01,41.8679
1974-10-01,41.5436
1974-11-01,40.2681
1974-12-01,38.4303
1975-01-01,37.6185
1975-02-01,36.5552
1975-03-01,36.0622
1975-04-01,36.0197
1975-05-01,35.9752
1975-06-01,36.2888
1975-07-01,36.7949
1975-08-01,37.2038
1975-09-01,37.8323
1975-10-01,38.0382
1975-11-01,38.1558
1975-12-01,38.6430
1976-01-01,39.1713
1976-02-01,39.7897
1976-03-01,39.8599
1976-04-01,40.1054
1976-05-01,40.3213
1976-06-01,40.3277
1976-07-01,40.6281
1976-08-01,40.8932
1976-09-01,40.9732
1976-10-01,40.9448
1976-11-01,41.4707
1976-12-01,41.9129
1977-01-01,41.8246
1977-02-01,42.5735
1977-03-01,43.1864
1977-04-01,43.6171
1977-05-01,43.9977
1977-06-01,44.3683
1977-07-01,44.3774
1977-08-01,44.5811
1977-09-01,44.6218
1977-10-01,44.7390
1977-11-01,44.8220
1977-12-01,45.3241
1978-01-01,44.6628
1978-02-01,44.8005
1978-03-01,45.5864
1978-04-01,46.3441
1978-05-01,46.5230
1978-06-01,46.8963
1978-07-01,46.8701
1978-08-01,47.1209
1978-09-01,47.3703
1978-10-01,47.7231
1978-11-01,48.1665
1978-12-01,48.5285
1979-01-01,48.1248
1979-02-01,48.2899
1979-03-01,48.5268
1979-04-01,47.7418
1979-05-01,48.3654
1979-06-01,48.4134
1979-07-01,48.4609
1979-08-01,47.8120
1979-09-01,47.9403
1979-10-01,48.1137
1979-11-01,47.9685
1979-12-01,48.1560
1980-01-01,48.3631
1980-02-01,48.2709
1980-03-01,47.9170
1980-04-01,46.8814
1980-05-01,45.4235
1980-06-01,44.7099
1980-07-01,44.1788
1980-08-01,44.5309
1980-09-01,45.2803
1980-10-01,46.1370
1980-11-01,47.0082
1980-12-01,47.1251
1981-01-01,46.9789
1981-02-01,46.7234
1981-03-01,46.8780
1981-04-01,47.1214
1981-05-01,47.3428
1981-06-01,47.0890
1981-07-01,47.1991
1981-08-01,47.2307
1981-09-01,46.9945
1981-10-01,46.5648
1981-11-01,45.9601
1981-12-01,45.1479
1982-01-01,44.0577
1982-02-01,45.2876
1982-03-01,44.8922
1982-04-01,44.5935
1982-05-01,44.5046
1982-06-01,44.4258
1982-07-01,44.3840
1982-08-01,43.9721
1982-09-01,43.8579
1982-10-01,43.3318
1982-11-01,43.0275
1982-12-01,42.8779
1983-01-01,43.9350
1983-02-01,43.9100
1983-03-01,44.3230
1983-04-01,44.8522
1983-05-01,45.4357
1983-06-01,45.8074
1983-07-01,46.5099
1983-08-01,46.8646
1983-09-01,47.7979
1983-10-01,48.3297
1983-11-01,48.5227
1983-12-01,48.6894
1984-01-01,49.5933
1984-02-01,50.1113
1984-03-01,50.3435
1984-04-01,50.6151
1984-05-01,50.7352
1984-06-01,50.9641
1984-07-01,51.1994
1984-08-01,51.2696
1984-09-01,51.1514
1984-10-01,51.3382
1984-11-01,51.5145
1984-12-01,51.6949
1985-01-01,51.4962
1985-02-01,51.2861
1985-03-01,51.6954
1985-04-01,51.4761
1985-05-01,51.5792
1985-06-01,51.6713
1985-07-01,51.3620
1985-08-01,51.6709
1985-09-01,51.7546
1985-10-01,51.6228
1985-11-01,51.9762
1985-12-01,52.1894
1986-01-01,52.7764
1986-02-01,52.5177
1986-03-01,52.3429
1986-04-01,52.4278
1986-05-01,52.5065
1986-06-01,52.3386
1986-07-01,52.5960
1986-08-01,52.7786
1986-09-01,52.8888
1986-10-01,53.1030
1986-11-01,53.3482
1986-12-01,53.8107
1987-01-01,53.6536
1987-02-01,54.4452
1987-03-01,54.4534
1987-04-01,54.7748
1987-05-01,55.1747
1987-06-01,55.3428
1987-07-01,55.7812
1987-08-01,56.1368
1987-09-01,56.4611
1987-10-01,57.4082
1987-11-01,57.7166
1987-12-01,58.1042
1988-01-01,57.9924
1988-02-01,58.1557
1988-03-01,58.3202
1988-04-01,58.8554
1988-05-01,58.7725
1988-06-01,58.8916
1988-07-01,58.8906
1988-08-01,58.9298
1988-09-01,59.1542
1988-10-01,59.4375
1988-11-01,59.6170
1988-12-01,59.8984
1989-01-01,60.4296
1989-02-01,59.8019
1989-03-01,59.7103
1989-04-01,59.8829
1989-05-01,59.3188
1989-06-01,59.4684
1989-07-01,58.7731
1989-08-01,59.3324
1989-09-01,59.1950
1989-10-01,59.0825
1989-11-01,59.2000
1989-12-01,59.2547
1990-01-01,59.1036
1990-02-01,59.9806
1990-03-01,60.3056
1990-04-01,60.1280
1990-05-01,60.2545
1990-06-01,60.4462
1990-07-01,60.3271
1990-08-01,60.5285
1990-09-01,60.5278
1990-10-01,60.0276
1990-11-01,59.3613
1990-12-01,58.9058
1991-01-01,58.4688
1991-02-01,58.0592
1991-03-01,57.6839
1991-04-01,57.8920
1991-05-01,58.3074
1991-06-01,58.9545
1991-07-01,59.1819
1991-08-01,59.2815
1991-09-01,59.9636
1991-10-01,59.8460
1991-11-01,59.7398
1991-12-01,59.6458
1992-01-01,59.2972
1992-02-01,59.8786
1992-03-01,60.5043
1992-04-01,60.8433
1992-05-01,61.2039
1992-06-01,61.3837
1992-07-01,61.9549
1992-08-01,61.7120
1992-09-01,61.7623
1992-10-01,62.1890
1992-11-01,62.4617
1992-12-01,62.3824
1993-01-01,62.9777
1993-02-01,63.1205
1993-03-01,62.9613
1993-04-01,63.3304
1993-05-01,63.2861
1993-06-01,63.1485
1993-07-01,63.3449
1993-08-01,63.2551
1993-09-01,63.6841
1993-10-01,64.2618
1993-11-01,64.5247
1993-12-01,64.9290
1994-01-01,65.0425
1994-02-01,65.1383
1994-03-01,66.0163
1994-04-01,66.5980
1994-05-01,67.0655
1994-06-01,67.2836
1994-07-01,67.5994
1994-08-01,68.1100
1994-09-01,68.4357
1994-10-01,69.1652
1994-11-01,69.7038
1994-12-01,70.5043
1995-01-01,70.6387
1995-02-01,70.4169
1995-03-01,70.6021
1995-04-01,70.4978
1995-05-01,70.6342
1995-06-01,70.9778
1995-07-01,70.5183
1995-08-01,71.3402
1995-09-01,71.9957
1995-10-01,71.9761
1995-11-01,72.0518
1995-12-01,72.3734
1996-01-01,71.8221
1996-02-01,72.9624
1996-03-01,72.8277
1996-04-01,73.6724
1996-05-01,74.2509
1996-06-01,75.0801
1996-07-01,75.3099
1996-08-01,75.6905
1996-09-01,76.3588
1996-10-01,76.2262
1996-11-01,76.8844
1996-12-01,77.5520
1997-01-01,77.5975
1997-02-01,78.6953
1997-03-01,79.5234
1997-04-01,79.3662
1997-05-01,79.9622
1997-06-01,80.4694
1997-07-01,80.9998
1997-08-01,82.0621
1997-09-01,82.7651
1997-10-01,83.4751
1997-11-01,84.4229
1997-12-01,84.7854
1998-01-01,85.5471
1998-02-01,85.6192
1998-03-01,85.4651
1998-04-01,85.8713
1998-05-01,86.3207
1998-06-01,85.6107
1998-07-01,85.2135
1998-08-01,87.3819
1998-09-01,87.2288
1998-10-01,88.0891
1998-11-01,88.2099
1998-12-01,88.7347
1999-01-01,89.0222
1999-02-01,89.8085
1999-03-01,89.7260
1999-04-01,90.1186
1999-05-01,90.9226
1999-06-01,90.6341
1999-07-01,91.1014
1999-08-01,91.5614
1999-09-01,91.1328
1999-10-01,92.5699
1999-11-01,93.1388
1999-12-01,93.7921
2000-01-01,93.9362
2000-02-01,94.1856
2000-03-01,94.7846
2000-04-01,95.5101
2000-05-01,95.4405
2000-06-01,95.6260
2000-07-01,95.7409
2000-08-01,95.1187
2000-09-01,95.5655
2000-10-01,95.3433
2000-11-01,95.1024
2000-12-01,94.5845
2001-01-01,94.0393
2001-02-01,93.5367
2001-03-01,93.3766
2001-04-01,93.0356
2001-05-01,92.3696
2001-06-01,91.7370
2001-07-01,91.2379
2001-08-01,90.8605
2001-09-01,90.6639
2001-10-01,90.1331
2001-11-01,89.9311
2001-12-01,90.1646
2002-01-01,90.7311
2002-02-01,90.7307
2002-03-01,91.5183
2002-04-01,91.7507
2002-05-01,92.2593
2002-06-01,93.3528
2002-07-01,93.0044
2002-08-01,93.2330
2002-09-01,93.3635
2002-10-01,93.0256
2002-11-01,93.4885
2002-12-01,92.9180
2003-01-01,93.6423
2003-02-01,93.5578
2003-03-01,93.7146
2003-04-01,92.9569
2003-05-01,93.0610
2003-06-01,93.5406
2003-07-01,93.8282
2003-08-01,93.5475
