DATE,IPMINE
1919-01-01,25.0624
1919-02-01,22.1397
1919-03-01,21.1167
1919-04-01,22.5781
1919-05-01,23.5280
1919-06-01,24.1856
1919-07-01,25.6470
1919-08-01,24.9163
1919-09-01,26.8892
1919-10-01,27.6929
1919-11-01,19.9477
1919-12-01,24.4048
1920-01-01,27.2545
1920-02-01,26.8892
1920-03-01,27.5468
1920-04-01,25.9393
1920-05-01,26.8891
1920-06-01,28.0582
1920-07-01,27.9121
1920-08-01,28.8620
1920-09-01,26.8892
1920-10-01,28.9351
1920-11-01,29.7388
1920-12-01,30.0311
1921-01-01,25.8662
1921-02-01,24.5510
1921-03-01,22.8704
1921-04-01,22.8704
1921-05-01,23.3088
1921-06-01,22.4320
1921-07-01,21.4821
1921-08-01,21.7013
1921-09-01,21.2629
1921-10-01,22.6512
1921-11-01,21.7013
1921-12-01,21.9936
1922-01-01,24.4779
1922-02-01,26.9622
1922-03-01,29.0812
1922-04-01,16.8788
1922-05-01,17.0980
1922-06-01,18.7055
1922-07-01,17.9748
1922-08-01,19.8015
1922-09-01,25.9393
1922-10-01,28.5697
1922-11-01,29.9580
1922-12-01,31.8578
1923-01-01,31.5655
1923-02-01,31.7847
1923-03-01,32.9538
1923-04-01,35.1459
1923-05-01,34.2691
1923-06-01,34.1960
1923-07-01,34.9997
1923-08-01,34.6344
1923-09-01,31.8578
1923-10-01,33.3922
1923-11-01,33.3923
1923-12-01,31.1271
1924-01-01,32.1501
1924-02-01,33.4653
1924-03-01,31.5655
1924-04-01,29.2273
1924-05-01,29.3735
1924-06-01,29.2274
1924-07-01,29.1543
1924-08-01,28.8620
1924-09-01,30.8349
1924-10-01,30.6157
1924-11-01,30.1773
1924-12-01,30.7618
1925-01-01,32.0039
1925-02-01,31.1271
1925-03-01,30.2503
1925-04-01,31.9309
1925-05-01,32.8808
1925-06-01,32.5885
1925-07-01,33.1000
1925-08-01,33.8307
1925-09-01,29.1543
1925-10-01,29.0812
1925-11-01,29.6658
1925-12-01,29.3735
1926-01-01,28.9351
1926-02-01,30.2503
1926-03-01,33.3922
1926-04-01,33.4653
1926-05-01,32.7346
1926-06-01,33.7576
1926-07-01,34.1960
1926-08-01,34.4152
1926-09-01,34.8536
1926-10-01,35.6573
1926-11-01,36.9726
1926-12-01,37.0457
1927-01-01,36.0958
1927-02-01,36.6803
1927-03-01,38.4339
1927-04-01,33.8306
1927-05-01,34.0498
1927-06-01,33.6114
1927-07-01,32.2962
1927-08-01,33.9768
1927-09-01,33.1730
1927-10-01,32.5885
1927-11-01,32.3693
1927-12-01,31.8578
1928-01-01,32.1501
1928-02-01,31.9309
1928-03-01,33.5384
1928-04-01,32.5885
1928-05-01,33.5384
1928-06-01,32.6616
1928-07-01,32.7346
1928-08-01,33.7576
1928-09-01,33.9768
1928-10-01,34.8536
1928-11-01,35.7304
1928-12-01,34.8536
1929-01-01,36.6803
1929-02-01,37.4110
1929-03-01,35.0728
1929-04-01,36.8264
1929-05-01,36.4611
1929-06-01,36.2419
1929-07-01,37.1918
1929-08-01,36.8995
1929-09-01,37.5571
1929-10-01,36.6072
1929-11-01,34.9997
1929-12-01,36.0227
1930-01-01,34.9997
1930-02-01,34.0498
1930-03-01,32.0770
1930-04-01,32.7346
1930-05-01,32.5885
1930-06-01,32.3693
1930-07-01,31.9309
1930-08-01,31.0541
1930-09-01,30.3234
1930-10-01,30.1772
1930-11-01,29.7388
1930-12-01,29.0081
1931-01-01,27.9852
1931-02-01,27.1814
1931-03-01,28.2044
1931-04-01,28.4236
1931-05-01,27.8390
1931-06-01,28.1313
1931-07-01,27.9852
1931-08-01,26.0123
1931-09-01,25.4278
1931-10-01,26.6699
1931-11-01,26.8161
1931-12-01,26.3777
1932-01-01,23.8933
1932-02-01,23.6011
1932-03-01,25.0624
1932-04-01,23.4549
1932-05-01,21.4821
1932-06-01,20.4591
1932-07-01,20.8975
1932-08-01,21.5552
1932-09-01,22.7973
1932-10-01,23.3819
1932-11-01,23.5280
1932-12-01,22.2859
1933-01-01,22.4320
1933-02-01,23.5280
1933-03-01,24.2587
1933-04-01,22.1397
1933-05-01,25.7931
1933-06-01,27.1814
1933-07-01,28.4236
1933-08-01,29.5927
1933-09-01,27.6929
1933-10-01,26.0854
1933-11-01,26.0854
1933-12-01,26.0123
1934-01-01,26.6699
1934-02-01,27.1084
1934-03-01,29.0812
1934-04-01,27.3276
1934-05-01,27.6198
1934-06-01,27.4006
1934-07-01,27.1083
1934-08-01,26.7430
1934-09-01,26.8161
1934-10-01,26.3777
1934-11-01,26.5238
1934-12-01,27.3276
1935-01-01,28.7159
1935-02-01,28.8620
1935-03-01,29.7388
1935-04-01,27.2545
1935-05-01,28.4236
1935-06-01,30.9810
1935-07-01,27.9852
1935-08-01,28.2044
1935-09-01,28.8620
1935-10-01,30.6156
1935-11-01,30.9079
1935-12-01,31.7117
1936-01-01,32.2962
1936-02-01,33.2461
1936-03-01,31.0540
1936-04-01,33.3922
1936-05-01,32.5885
1936-06-01,33.0269
1936-07-01,33.6845
1936-08-01,33.6845
1936-09-01,34.1960
1936-10-01,34.8536
1936-11-01,36.3880
1936-12-01,36.6803
1937-01-01,36.0227
1937-02-01,36.9726
1937-03-01,40.6991
1937-04-01,37.4841
1937-05-01,37.9225
1937-06-01,39.1646
1937-07-01,38.6532
1937-08-01,39.1646
1937-09-01,39.6031
1937-10-01,38.4340
1937-11-01,37.4841
1937-12-01,36.6072
1938-01-01,35.0728
1938-02-01,33.2461
1938-03-01,33.3192
1938-04-01,32.2962
1938-05-01,30.4695
1938-06-01,31.2733
1938-07-01,32.0770
1938-08-01,33.0269
1938-09-01,33.2461
1938-10-01,33.6114
1938-11-01,34.7075
1938-12-01,34.7075
1939-01-01,34.0498
1939-02-01,34.1960
1939-03-01,34.9998
1939-04-01,32.9538
1939-05-01,33.2461
1939-06-01,34.8536
1939-07-01,36.1688
1939-08-01,31.4194
1939-09-01,37.8494
1939-10-01,39.6030
1939-11-01,39.6030
1939-12-01,38.5070
1940-01-01,39.6031
1940-02-01,38.7993
1940-03-01,39.6030
1940-04-01,42.9642
1940-05-01,40.6991
1940-06-01,39.6761
1940-07-01,39.6761
1940-08-01,38.5801
1940-09-01,38.6532
1940-10-01,37.9956
1940-11-01,39.1646
1940-12-01,40.1876
1941-01-01,39.8223
1941-02-01,40.1145
1941-03-01,42.5988
1941-04-01,34.1229
1941-05-01,41.5759
1941-06-01,42.6719
1941-07-01,42.5257
1941-08-01,43.2565
1941-09-01,43.7680
1941-10-01,44.7909
1941-11-01,44.1333
1941-12-01,44.9371
1942-01-01,44.3525
1942-02-01,44.6448
1942-03-01,42.8911
1942-04-01,44.2063
1942-05-01,43.1103
1942-06-01,42.5989
1942-07-01,42.4527
1942-08-01,43.6949
1942-09-01,43.4757
1942-10-01,43.1103
1942-11-01,43.4026
1942-12-01,42.8911
1943-01-01,41.5759
1943-02-01,43.7679
1943-03-01,45.1562
1943-04-01,45.8139
1943-05-01,44.2794
1943-06-01,39.1647
1943-07-01,45.4485
1943-08-01,45.1562
1943-09-01,45.8139
1943-10-01,45.4485
1943-11-01,44.4987
1943-12-01,46.7637
1944-01-01,46.3253
1944-02-01,47.6406
1944-03-01,47.3483
1944-04-01,48.6635
1944-05-01,48.9558
1944-06-01,47.4944
1944-07-01,46.9829
1944-08-01,47.4214
1944-09-01,47.6406
1944-10-01,47.7137
