DATE,MCUMFN
1972-01-01,81.3260
1972-02-01,81.7037
1972-03-01,82.0235
1972-04-01,82.7962
1972-05-01,82.6687
1972-06-01,82.7121
1972-07-01,82.5173
1972-08-01,83.3632
1972-09-01,83.7205
1972-10-01,84.7750
1972-11-01,85.6206
1972-12-01,86.6221
1973-01-01,86.9470
1973-02-01,88.0996
1973-03-01,87.9940
1973-04-01,87.5885
1973-05-01,87.8702
1973-06-01,87.5478
1973-07-01,87.6911
1973-08-01,87.1373
1973-09-01,87.6706
1973-10-01,88.1094
1973-11-01,88.4957
1973-12-01,88.2663
1974-01-01,87.2102
1974-02-01,86.5607
1974-03-01,86.2856
1974-04-01,85.6233
1974-05-01,85.9627
1974-06-01,85.8474
1974-07-01,85.4629
1974-08-01,84.5368
1974-09-01,84.4869
1974-10-01,83.6451
1974-11-01,80.9091
1974-12-01,77.0648
1975-01-01,75.2963
1975-02-01,73.0358
1975-03-01,71.9254
1975-04-01,71.7205
1975-05-01,71.5131
1975-06-01,72.0164
1975-07-01,72.8985
1975-08-01,73.5815
1975-09-01,74.6913
1975-10-01,74.9590
1975-11-01,75.0462
1975-12-01,75.8539
1976-01-01,76.7338
1976-02-01,77.7773
1976-03-01,77.7416
1976-04-01,78.0429
1976-05-01,78.2804
1976-06-01,78.1065
1976-07-01,78.4984
1976-08-01,78.8178
1976-09-01,78.7774
1976-10-01,78.5261
1976-11-01,79.3330
1976-12-01,79.9737
1977-01-01,79.6018
1977-02-01,80.8110
1977-03-01,81.7523
1977-04-01,82.3422
1977-05-01,82.8296
1977-06-01,83.2896
1977-07-01,83.0671
1977-08-01,83.2051
1977-09-01,83.0346
1977-10-01,83.0029
1977-11-01,82.9038
1977-12-01,83.5760
1978-01-01,82.1044
1978-02-01,82.1023
1978-03-01,83.2819
1978-04-01,84.4021
1978-05-01,84.4621
1978-06-01,84.8709
1978-07-01,84.5567
1978-08-01,84.7425
1978-09-01,84.9242
1978-10-01,85.2889
1978-11-01,85.8143
1978-12-01,86.1934
1979-01-01,85.2156
1979-02-01,85.2511
1979-03-01,85.4151
1979-04-01,83.7897
1979-05-01,84.6422
1979-06-01,84.4893
1979-07-01,84.3439
1979-08-01,82.9980
1979-09-01,83.0110
1979-10-01,83.1072
1979-11-01,82.6591
1979-12-01,82.7892
1980-01-01,82.9553
1980-02-01,82.6092
1980-03-01,81.8174
1980-04-01,79.8659
1980-05-01,77.2009
1980-06-01,75.8036
1980-07-01,74.7154
1980-08-01,75.1145
1980-09-01,76.1720
1980-10-01,77.3960
1980-11-01,78.6294
1980-12-01,78.5925
1981-01-01,78.1139
1981-02-01,77.4542
1981-03-01,77.4747
1981-04-01,77.6421
1981-05-01,77.7742
1981-06-01,77.1306
1981-07-01,77.0915
1981-08-01,76.9323
1981-09-01,76.3462
1981-10-01,75.4570
1981-11-01,74.2967
1981-12-01,72.8160
1982-01-01,70.9027
1982-02-01,72.7289
1982-03-01,71.9508
1982-04-01,71.3397
1982-05-01,71.0734
1982-06-01,70.8313
1982-07-01,70.6576
1982-08-01,69.9053
1982-09-01,69.6374
1982-10-01,68.7260
1982-11-01,68.1770
1982-12-01,67.8823
1983-01-01,69.5047
1983-02-01,69.4214
1983-03-01,70.0359
1983-04-01,70.8370
1983-05-01,71.7255
1983-06-01,72.2792
1983-07-01,73.3528
1983-08-01,73.8729
1983-09-01,75.2970
1983-10-01,76.0782
1983-11-01,76.3146
1983-12-01,76.4975
1984-01-01,77.8245
1984-02-01,78.5290
1984-03-01,78.7691
1984-04-01,79.0550
1984-05-01,79.0871
1984-06-01,79.2708
1984-07-01,79.4485
1984-08-01,79.3552
1984-09-01,78.9591
1984-10-01,79.0236
1984-11-01,79.0620
1984-12-01,79.1005
1985-01-01,78.5549
1985-02-01,77.9933
1985-03-01,78.3751
1985-04-01,77.8102
1985-05-01,77.7423
1985-06-01,77.6692
1985-07-01,77.0110
1985-08-01,77.2989
1985-09-01,77.2680
1985-10-01,76.9350
1985-11-01,77.3435
1985-12-01,77.5600
1986-01-01,78.3469
1986-02-01,77.8902
1986-03-01,77.5688
1986-04-01,77.6391
1986-05-01,77.7002
1986-06-01,77.3915
1986-07-01,77.7022
1986-08-01,77.8874
1986-09-01,77.9486
1986-10-01,78.1439
1986-11-01,78.3650
1986-12-01,78.8862
1987-01-01,78.4832
1987-02-01,79.4508
1987-03-01,79.2606
1987-04-01,79.5176
1987-05-01,79.8831
1987-06-01,79.9131
1987-07-01,80.3411
1987-08-01,80.6620
1987-09-01,80.9538
1987-10-01,82.1549
1987-11-01,82.4605
1987-12-01,82.8997
1988-01-01,82.6483
1988-02-01,82.8092
1988-03-01,82.9891
1988-04-01,83.7109
1988-05-01,83.5615
1988-06-01,83.7022
1988-07-01,83.6710
1988-08-01,83.6895
1988-09-01,83.9596
1988-10-01,84.2986
1988-11-01,84.4736
1988-12-01,84.7755
1989-01-01,85.4118
1989-02-01,84.3930
1989-03-01,84.1148
1989-04-01,84.1922
1989-05-01,83.2200
1989-06-01,83.2370
1989-07-01,82.0641
1989-08-01,82.6365
1989-09-01,82.2321
1989-10-01,81.8600
1989-11-01,81.8046
1989-12-01,81.6631
1990-01-01,81.2410
1990-02-01,82.2330
1990-03-01,82.4690
1990-04-01,82.0249
1990-05-01,82.0033
1990-06-01,82.0777
1990-07-01,81.7407
1990-08-01,81.8482
1990-09-01,81.6927
1990-10-01,80.8746
1990-11-01,79.8452
1990-12-01,79.1113
1991-01-01,78.4123
1991-02-01,77.7583
1991-03-01,77.1569
1991-04-01,77.3396
1991-05-01,77.7985
1991-06-01,78.5627
1991-07-01,78.7633
1991-08-01,78.7871
1991-09-01,79.5755
1991-10-01,79.2917
1991-11-01,79.0132
1991-12-01,78.7409
1992-01-01,78.0992
1992-02-01,78.6777
1992-03-01,79.3002
1992-04-01,79.5355
1992-05-01,79.7902
1992-06-01,79.8032
1992-07-01,80.3227
1992-08-01,79.7901
1992-09-01,79.6446
1992-10-01,79.9922
1992-11-01,80.1498
1992-12-01,79.8689
1993-01-01,80.4640
1993-02-01,80.4912
1993-03-01,80.1441
1993-04-01,80.4786
1993-05-01,80.2915
1993-06-01,79.9875
1993-07-01,80.1053
1993-08-01,79.8553
1993-09-01,80.2501
1993-10-01,80.8179
1993-11-01,80.9738
1993-12-01,81.2918
1994-01-01,81.2304
1994-02-01,81.1301
1994-03-01,81.9842
1994-04-01,82.4499
1994-05-01,82.7547
1994-06-01,82.7342
1994-07-01,82.8222
1994-08-01,83.1387
1994-09-01,83.2198
1994-10-01,83.7819
1994-11-01,84.1011
1994-12-01,84.7274
1995-01-01,84.5489
1995-02-01,83.9410
1995-03-01,83.8155
1995-04-01,83.3442
1995-05-01,83.1514
1995-06-01,83.1914
1995-07-01,82.2839
1995-08-01,82.8591
1995-09-01,83.2222
1995-10-01,82.7901
1995-11-01,82.4571
1995-12-01,82.3952
1996-01-01,81.3332
1996-02-01,82.1770
1996-03-01,81.5734
1996-04-01,82.0600
1996-05-01,82.2412
1996-06-01,82.6935
1996-07-01,82.4858
1996-08-01,82.4425
1996-09-01,82.7065
1996-10-01,82.0979
1996-11-01,82.3324
1996-12-01,82.5659
1997-01-01,82.1387
1997-02-01,82.8093
1997-03-01,83.1790
1997-04-01,82.5098
1997-05-01,82.6093
1997-06-01,82.5948
1997-07-01,82.5851
1997-08-01,83.0908
1997-09-01,83.2072
1997-10-01,83.3084
1997-11-01,83.6265
1997-12-01,83.3545
1998-01-01,83.4686
1998-02-01,82.9102
1998-03-01,82.1423
1998-04-01,81.9263
1998-05-01,81.7650
1998-06-01,80.5322
1998-07-01,79.6402
1998-08-01,81.1626
1998-09-01,80.5400
1998-10-01,80.8688
1998-11-01,80.5277
