Date,US
2010-01-01,27990
2010-02-01,23978
2010-03-01,26225
2010-04-01,21798
2010-05-01,25076
2010-06-01,26362
2010-07-01,27159
2010-08-01,29537
2010-09-01,28996
2010-10-01,27603
2010-11-01,25521
2010-12-01,28781
2011-01-01,31101
2011-02-01,25100
2011-03-01,30316
2011-04-01,27056
2011-05-01,29145
2011-06-01,27791
2011-07-01,28968
2011-08-01,28206
2011-09-01,27576
2011-10-01,28752
2011-11-01,30047
2011-12-01,32138
2012-01-01,30664
2012-02-01,27006
2012-03-01,28634
2012-04-01,27108
2012-05-01,27824
2012-06-01,28047
2012-07-01,30143
2012-08-01,29315
2012-09-01,28655
2012-10-01,30367
2012-11-01,29268
2012-12-01,30591
2013-01-01,29703
2013-02-01,27857
2013-03-01,28883
2013-04-01,27474
2013-05-01,28542
2013-06-01,27019
2013-07-01,30859
2013-08-01,30273
2013-09-01,32078
2013-10-01,33465
2013-11-01,32618
2013-12-01,34430
2014-01-01,32802
2014-02-01,28566
2014-03-01,31926
2014-04-01,28767
2014-05-01,30151
2014-06-01,29613
2014-07-01,31721
2014-08-01,34914
2014-09-01,32673
2014-10-01,32751
2014-11-01,32918
2014-12-01,33297
2015-01-01,33087
2015-02-01,30759
2015-03-01,31094
2015-04-01,31778
2015-05-01,33272
2015-06-01,31241
2015-07-01,32906
2015-08-01,31354
2015-09-01,32199
2015-10-01,33619
2015-11-01,34926
2015-12-01,35798
2016-01-01,34491
2016-02-01,32127
2016-03-01,36583
2016-04-01,34187
2016-05-01,35036
2016-06-01,32666
2016-07-01,36257
2016-08-01,34423
2016-09-01,31579
2016-10-01,36232
2016-11-01,34752
2016-12-01,35071
2017-01-01,36645
2017-02-01,33772
2017-03-01,37147
2017-04-01,34972
2017-05-01,38856
2017-06-01,39752
2017-07-01,39439
2017-08-01,35042
2017-09-01,31401
2017-10-01,39309
2017-11-01,41278
2017-12-01,45103
2018-01-01,45653
2018-02-01,37079
2018-03-01,47692
2018-04-01,45159
2018-05-01,43950
2018-06-01,44035
2018-07-01,47395
2018-08-01,47648
2018-09-01,44396
2018-10-01,44445
2018-11-01,45730
2018-12-01,46749
2019-01-01,49895
2019-02-01,46385
2019-03-01,48341
2019-04-01,47724
2019-05-01,46120
2019-06-01,42635
2019-07-01,46242
2019-08-01,45196
2019-09-01,45080
2019-10-01,45460
2019-11-01,47327
2019-12-01,50474
2020-01-01,53669
2020-02-01,47811
2020-03-01,53104
2020-04-01,48925
2020-05-01,50340
2020-06-01,50476
2020-07-01,57728
2020-08-01,50133
2020-09-01,44731
2020-10-01,50739
2020-11-01,56655
2020-12-01,58803
2021-01-01,57806
