Date,US
1973-01-01,14676.0
1973-02-01,13199.0
1973-03-01,15065.0
1973-04-01,13292.0
1973-05-01,17478.0
1973-06-01,15086.0
1973-07-01,14413.0
1973-08-01,17210.0
1973-09-01,14879.0
1973-10-01,17007.0
1973-11-01,17526.0
1973-12-01,15195.0
1974-01-01,16285.999999999998
1974-02-01,13722.0
1974-03-01,13918.0
1974-04-01,13159.0
1974-05-01,19902.0
1974-06-01,19440.0
1974-07-01,22514.0
1974-08-01,20257.0
1974-09-01,15942.000000000002
1974-10-01,20489.0
1974-11-01,17921.0
1974-12-01,18573.0
1975-01-01,22022.0
1975-02-01,19408.0
1975-03-01,22251.0
1975-04-01,20762.0
1975-05-01,21755.0
1975-06-01,16731.0
1975-07-01,17760.0
1975-08-01,18019.0
1975-09-01,18606.0
1975-10-01,25441.0
1975-11-01,24231.0
1975-12-01,29211.0
1976-01-01,31437.0
1976-02-01,32985.0
1976-03-01,32700.0
1976-04-01,25980.0
1976-05-01,25331.0
1976-06-01,24222.0
1976-07-01,23767.0
1976-08-01,24737.0
1976-09-01,26439.0
1976-10-01,28807.0
1976-11-01,33074.0
1976-12-01,43684.0
1977-01-01,40186.0
1977-02-01,40292.0
1977-03-01,38802.0
1977-04-01,31055.0
1977-05-01,26107.0
1977-06-01,29427.0
1977-07-01,25587.0
1977-08-01,25689.0
1977-09-01,30293.0
1977-10-01,30472.0
1977-11-01,32530.999999999996
1977-12-01,36715.0
1978-01-01,36225.0
1978-02-01,36097.0
1978-03-01,35502.0
1978-04-01,27401.0
1978-05-01,27759.0
1978-06-01,27021.0
1978-07-01,24784.0
1978-08-01,19212.0
1978-09-01,23126.0
1978-10-01,30990.0
1978-11-01,26946.0
1978-12-01,32795.0
1979-01-01,35548.0
1979-02-01,31395.0
1979-03-01,38495.0
1979-04-01,26504.0
1979-05-01,22574.0
1979-06-01,21903.0
1979-07-01,22784.0
1979-08-01,20104.0
1979-09-01,20233.0
1979-10-01,28506.0
1979-11-01,26971.0
1979-12-01,32141.999999999996
1980-01-01,32269.0
1980-02-01,27710.0
1980-03-01,23230.0
1980-04-01,20171.0
1980-05-01,18867.0
1980-06-01,19446.0
1980-07-01,21672.0
1980-08-01,26037.0
1980-09-01,31828.000000000004
1980-10-01,28757.0
1980-11-01,24779.0
1980-12-01,28142.0
1981-01-01,26706.0
1981-02-01,24605.0
1981-03-01,25471.0
1981-04-01,20043.0
1981-05-01,20401.0
1981-06-01,19898.0
1981-07-01,20721.0
1981-08-01,23477.0
1981-09-01,25291.0
1981-10-01,20503.0
1981-11-01,25659.0
1981-12-01,26854.0
1982-01-01,25269.0
1982-02-01,18204.0
1982-03-01,18317.0
1982-04-01,17635.0
1982-05-01,17878.0
1982-06-01,18611.0
1982-07-01,17273.0
1982-08-01,18858.0
1982-09-01,20599.0
1982-10-01,25247.0
1982-11-01,20563.0
1982-12-01,25577.0
1983-01-01,18045.0
1983-02-01,22115.0
1983-03-01,19238.0
1983-04-01,17626.0
1983-05-01,13278.0
1983-06-01,14664.0
1983-07-01,14181.0
1983-08-01,22520.0
1983-09-01,19793.0
1983-10-01,15387.0
1983-11-01,19880.0
1983-12-01,26334.0
1984-01-01,22134.0
1984-02-01,15386.0
1984-03-01,17507.0
1984-04-01,19389.0
1984-05-01,19672.0
1984-06-01,18073.0
1984-07-01,14597.0
1984-08-01,15934.0
1984-09-01,13502.0
1984-10-01,15829.0
1984-11-01,13802.0
1984-12-01,15207.0
1985-01-01,11074.0
1985-02-01,17424.0
1985-03-01,14865.0
1985-04-01,16562.0
1985-05-01,15217.0
1985-06-01,15664.0
1985-07-01,16824.0
1985-08-01,17616.0
1985-09-01,20025.0
1985-10-01,16725.0
1985-11-01,21331.0
1985-12-01,17239.0
1986-01-01,14919.0
1986-02-01,14500.0
1986-03-01,17242.0
1986-04-01,14493.0
1986-05-01,18378.0
1986-06-01,15987.000000000002
1986-07-01,16348.999999999998
1986-08-01,17146.0
1986-09-01,15906.0
1986-10-01,18241.0
1986-11-01,16288.0
1986-12-01,15351.0
1987-01-01,18479.0
1987-02-01,18007.0
1987-03-01,15297.0
1987-04-01,16736.0
1987-05-01,16907.0
1987-06-01,15663.0
1987-07-01,15569.0
1987-08-01,16518.0
1987-09-01,17284.0
1987-10-01,16163.0
1987-11-01,12698.0
1987-12-01,17405.0
1988-01-01,17541.0
1988-02-01,14684.0
1988-03-01,20908.0
1988-04-01,15472.0
1988-05-01,14236.0
1988-06-01,20136.0
1988-07-01,15071.0
1988-08-01,17925.0
1988-09-01,18165.0
1988-10-01,16327.000000000002
1988-11-01,18199.0
1988-12-01,20042.0
1989-01-01,19065.0
1989-02-01,15241.0
1989-03-01,16240.000000000002
1989-04-01,15108.0
1989-05-01,16639.0
1989-06-01,16583.0
1989-07-01,17124.0
1989-08-01,14753.0
1989-09-01,16170.0
1989-10-01,15534.0
1989-11-01,17975.0
1989-12-01,14204.0
1990-01-01,15397.0
1990-02-01,12160.0
1990-03-01,12967.0
1990-04-01,14968.0
1990-05-01,15582.0
1990-06-01,14785.0
1990-07-01,15692.000000000002
1990-08-01,15789.999999999998
1990-09-01,15289.0
1990-10-01,16415.0
1990-11-01,18109.0
1990-12-01,12020.0
1991-01-01,19643.0
1991-02-01,12976.0
1991-03-01,18096.0
1991-04-01,12875.0
1991-05-01,18006.0
1991-06-01,15646.0
1991-07-01,15225.0
1991-08-01,15660.0
1991-09-01,15491.0
1991-10-01,17997.0
1991-11-01,15571.0
1991-12-01,18412.0
1992-01-01,12926.0
1992-02-01,11091.0
1992-03-01,12389.0
1992-04-01,12084.0
1992-05-01,11716.0
1992-06-01,13491.0
1992-07-01,10600.0
1992-08-01,12462.0
1992-09-01,12561.0
1992-10-01,11406.0
1992-11-01,11319.0
1992-12-01,13444.0
1993-01-01,8784.0
1993-02-01,10260.0
1993-03-01,11844.0
1993-04-01,12743.0
1993-05-01,12203.0
1993-06-01,12447.0
1993-07-01,12028.0
1993-08-01,11057.0
1993-09-01,12852.0
1993-10-01,12206.0
1993-11-01,13503.0
1993-12-01,13163.0
1994-01-01,15600.0
1994-02-01,9807.0
1994-03-01,13847.0
1994-04-01,14845.0
1994-05-01,14441.0
1994-06-01,11958.0
1994-07-01,11744.0
1994-08-01,12785.0
1994-09-01,12033.0
1994-10-01,11886.0
1994-11-01,12242.0
1994-12-01,13039.0
1995-01-01,13086.0
1995-02-01,12106.0
1995-03-01,13852.0
1995-04-01,13427.0
1995-05-01,12632.0
1995-06-01,12525.0
1995-07-01,11647.0
1995-08-01,10796.0
1995-09-01,9619.0
1995-10-01,11664.0
1995-11-01,13144.0
1995-12-01,10950.0
1996-01-01,11365.0
1996-02-01,10973.0
1996-03-01,12845.0
1996-04-01,12025.0
1996-05-01,12518.0
1996-06-01,12375.0
1996-07-01,12546.0
1996-08-01,13418.0
1996-09-01,11419.0
1996-10-01,12307.0
1996-11-01,11854.0
1996-12-01,12126.0
1997-01-01,13693.0
1997-02-01,11321.0
1997-03-01,10198.0
1997-04-01,12768.0
1997-05-01,14040.0
1997-06-01,12292.0
1997-07-01,13107.0
1997-08-01,12115.0
1997-09-01,10619.0
1997-10-01,14097.0
1997-11-01,12086.0
1997-12-01,13239.0
1998-01-01,17236.0
1998-02-01,12577.0
1998-03-01,14218.0
1998-04-01,15475.0
1998-05-01,14922.0
1998-06-01,14153.0
1998-07-01,15474.0
1998-08-01,13226.0
1998-09-01,13675.0
1998-10-01,14052.0
1998-11-01,14096.0
1998-12-01,14408.0
1999-01-01,13737.0
1999-02-01,10955.0
1999-03-01,14093.0
1999-04-01,14314.0
1999-05-01,14700.0
1999-06-01,12819.0
1999-07-01,11127.0
1999-08-01,14826.0
1999-09-01,13992.0
1999-10-01,13818.0
1999-11-01,14220.0
1999-12-01,12623.0
2000-01-01,13329.0
2000-02-01,12723.0
2000-03-01,14438.0
2000-04-01,12965.0
2000-05-01,11981.0
2000-06-01,12094.0
2000-07-01,14563.0
2000-08-01,13897.0
2000-09-01,13266.0
2000-10-01,16112.999999999998
2000-11-01,13525.0
2000-12-01,15476.0
2001-01-01,14959.0
2001-02-01,14242.0
2001-03-01,14831.0
2001-04-01,14626.0
2001-05-01,15046.0
2001-06-01,13696.0
2001-07-01,14737.0
2001-08-01,13598.0
2001-09-01,12582.0
2001-10-01,16650.0
2001-11-01,16049.999999999998
2001-12-01,13172.0
2002-01-01,15355.0
2002-02-01,16157.999999999998
2002-03-01,14481.0
2002-04-01,14556.0
2002-05-01,15457.0
2002-06-01,14325.0
2002-07-01,14748.0
2002-08-01,14818.0
2002-09-01,13937.0
2002-10-01,14092.0
2002-11-01,14732.0
2002-12-01,15758.999999999998
2003-01-01,16747.0
2003-02-01,12442.0
2003-03-01,11422.0
2003-04-01,13704.0
2003-05-01,14890.0
2003-06-01,13597.0
2003-07-01,14449.0
2003-08-01,10928.0
2003-09-01,12108.0
2003-10-01,14199.0
2003-11-01,17649.0
2003-12-01,16691.0
2004-01-01,11783.0
2004-02-01,13236.0
2004-03-01,11921.0
2004-04-01,14357.0
2004-05-01,14390.0
2004-06-01,14349.0
2004-07-01,13723.0
2004-08-01,9982.0
2004-09-01,12738.0
2004-10-01,11852.0
2004-11-01,13837.0
2004-12-01,14324.0
2005-01-01,15934.0
2005-02-01,9278.0
2005-03-01,13464.0
2005-04-01,16015.999999999998
2005-05-01,14840.0
2005-06-01,12232.0
2005-07-01,10949.0
2005-08-01,14520.0
2005-09-01,10230.0
2005-10-01,10245.0
2005-11-01,13299.0
2005-12-01,16001.000000000002
2006-01-01,13750.0
2006-02-01,11414.0
2006-03-01,15547.0
2006-04-01,11849.0
2006-05-01,17655.0
2006-06-01,14004.0
2006-07-01,16777.0
2006-08-01,13232.0
2006-09-01,17230.0
2006-10-01,16496.0
2006-11-01,17798.0
2006-12-01,14382.0
2007-01-01,16968.0
2007-02-01,9534.0
2007-03-01,17446.0
2007-04-01,13404.0
2007-05-01,13873.0
2007-06-01,14867.0
2007-07-01,13546.0
2007-08-01,15548.0
2007-09-01,14896.0
2007-10-01,14321.0
2007-11-01,14210.0
2007-12-01,14568.0
2008-01-01,15681.0
2008-02-01,15913.0
2008-03-01,15947.0
2008-04-01,15987.999999999998
2008-05-01,16920.0
2008-06-01,16656.0
2008-07-01,14394.0
2008-08-01,16683.0
2008-09-01,11335.0
2008-10-01,16020.0
2008-11-01,13003.0
2008-12-01,11729.0
2009-01-01,19904.0
2009-02-01,12791.0
2009-03-01,14918.0
2009-04-01,14057.0
2009-05-01,13413.0
2009-06-01,14748.0
2009-07-01,14216.0
2009-08-01,16645.0
2009-09-01,13025.0
2009-10-01,15559.0
2009-11-01,14451.0
2009-12-01,15471.0
2010-01-01,15300.0
2010-02-01,13143.0
2010-03-01,15778.0
2010-04-01,16169.0
2010-05-01,16067.999999999998
2010-06-01,16058.0
2010-07-01,15555.0
2010-08-01,17377.0
2010-09-01,15221.0
2010-10-01,15885.0
2010-11-01,15372.0
2010-12-01,15920.0
2011-01-01,17070.0
2011-02-01,13089.0
2011-03-01,15883.000000000002
2011-04-01,15436.0
2011-05-01,17023.0
2011-06-01,17083.0
2011-07-01,16458.0
2011-08-01,16587.0
2011-09-01,15324.0
2011-10-01,16170.0
2011-11-01,16037.0
2011-12-01,16905.0
2012-01-01,16077.000000000002
2012-02-01,14706.0
2012-03-01,15844.0
2012-04-01,14548.0
2012-05-01,16093.0
2012-06-01,14531.0
2012-07-01,17123.0
2012-08-01,14578.0
2012-09-01,15060.0
2012-10-01,16102.000000000002
2012-11-01,15362.0
2012-12-01,16874.0
2013-01-01,15772.999999999998
2013-02-01,14893.0
2013-03-01,14880.0
2013-04-01,15824.999999999998
2013-05-01,16101.0
2013-06-01,15626.999999999998
2013-07-01,17462.0
2013-08-01,17346.0
2013-09-01,15938.0
2013-10-01,17642.0
2013-11-01,16437.0
2013-12-01,18594.0
2014-01-01,17359.0
2014-02-01,14424.0
2014-03-01,16274.0
2014-04-01,16692.0
2014-05-01,17403.0
2014-06-01,17572.0
2014-07-01,17915.0
2014-08-01,18186.0
2014-09-01,16658.0
2014-10-01,18050.0
2014-11-01,16268.999999999998
2014-12-01,18619.0
2015-01-01,17351.0
2015-02-01,16458.0
2015-03-01,17753.0
2015-04-01,17490.0
2015-05-01,16659.0
2015-06-01,17205.0
2015-07-01,18401.0
2015-08-01,16401.0
2015-09-01,17532.0
2015-10-01,16613.0
2015-11-01,17331.0
2015-12-01,18806.0
2016-01-01,18322.0
2016-02-01,15343.0
2016-03-01,18279.0
2016-04-01,17705.0
2016-05-01,17222.0
2016-06-01,17695.0
2016-07-01,18925.0
2016-08-01,18922.0
2016-09-01,17811.0
2016-10-01,15241.0
2016-11-01,18034.0
2016-12-01,18322.0
2017-01-01,18139.0
2017-02-01,16523.0
2017-03-01,18893.0
2017-04-01,17368.0
2017-05-01,19105.0
2017-06-01,18527.0
2017-07-01,18906.0
2017-08-01,18325.0
2017-09-01,16056.0
2017-10-01,17205.0
2017-11-01,19220.0
2017-12-01,18409.0
2018-01-01,18170.0
2018-02-01,16467.0
2018-03-01,17832.0
2018-04-01,18227.0
2018-05-01,18898.0
2018-06-01,18341.0
2018-07-01,18925.0
2018-08-01,18943.0
2018-09-01,18028.0
2018-10-01,17155.0
2018-11-01,18430.0
2018-12-01,19003.0
2019-01-01,18623.0
2019-02-01,15206.0
2019-03-01,16649.0
2019-04-01,15855.999999999998
2019-05-01,16031.0
2019-06-01,15696.000000000002
2019-07-01,17643.0
2019-08-01,17333.0
2019-09-01,15765.000000000002
2019-10-01,16062.0
2019-11-01,16044.0
2019-12-01,17363.0
2020-01-01,18247.0
2020-02-01,16322.0
2020-03-01,17113.0
2020-04-01,14966.0
2020-05-01,14212.0
2020-06-01,14459.0
2020-07-01,16735.0
2020-08-01,14580.0
2020-09-01,14764.0
2020-10-01,14985.0
2020-11-01,14434.0
2020-12-01,15400.0
2021-01-01,15687.0
