Date,US
1981-01-01,8612
1981-02-01,6897
1981-03-01,8045
1981-04-01,6831
1981-05-01,8027
1981-06-01,7170
1981-07-01,6907
1981-08-01,6532
1981-09-01,6192
1981-10-01,6501
1981-11-01,6418
1981-12-01,5808
1982-01-01,4493
1982-02-01,5370
1982-03-01,5102
1982-04-01,4922
1982-05-01,4475
1982-06-01,5286
1982-07-01,6059
1982-08-01,5152
1982-09-01,4903
1982-10-01,5406
1982-11-01,4903
1982-12-01,4167
1983-01-01,3645
1983-02-01,3980
1983-03-01,5322
1983-04-01,4309
1983-05-01,5107
1983-06-01,4867
1983-07-01,4447
1983-08-01,5326
1983-09-01,4498
1983-10-01,4659
1983-11-01,4256
1983-12-01,3652
1984-01-01,4398
1984-02-01,5141
1984-03-01,5054
1984-04-01,4060
1984-05-01,4634
1984-06-01,5065
1984-07-01,4847
1984-08-01,4472
1984-09-01,4691
1984-10-01,3753
1984-11-01,3656
1984-12-01,2840
1985-01-01,3761
1985-02-01,2986
1985-03-01,3261
1985-04-01,4033
1985-05-01,4389
1985-06-01,4024
1985-07-01,3580
1985-08-01,3738
1985-09-01,3902
1985-10-01,3269
1985-11-01,4540
1985-12-01,3448
1986-01-01,5341
1986-02-01,4406
1986-03-01,4806
1986-04-01,5071
1986-05-01,5820
1986-06-01,6638
1986-07-01,5728
1986-08-01,6279
1986-09-01,5238
1986-10-01,5559
1986-11-01,5630
1986-12-01,4534
1987-01-01,4014
1987-02-01,4719
1987-03-01,5709
1987-04-01,5298
1987-05-01,5911
1987-06-01,5142
1987-07-01,5573
1987-08-01,5494
1987-09-01,6524
1987-10-01,6599
1987-11-01,5616
1987-12-01,5694
1988-01-01,5145
1988-02-01,5727
1988-03-01,5760
1988-04-01,6773
1988-05-01,6318
1988-06-01,6052
1988-07-01,5017
1988-08-01,5351
1988-09-01,4842
1988-10-01,5251
1988-11-01,5683
1988-12-01,5837
1989-01-01,7153
1989-02-01,5836
1989-03-01,8215
1989-04-01,7359
1989-05-01,5693
1989-06-01,5922
1989-07-01,5078
1989-08-01,5398
1989-09-01,5689
1989-10-01,6281
1989-11-01,6045
1989-12-01,5375
1990-01-01,5813
1990-02-01,4895
1990-03-01,6240
1990-04-01,5506
1990-05-01,6240
1990-06-01,4949
1990-07-01,6468
1990-08-01,5320
1990-09-01,5347
1990-10-01,4993
1990-11-01,5121
1990-12-01,5383
1991-01-01,4676
1991-02-01,4242
1991-03-01,3839
1991-04-01,4973
1991-05-01,4646
1991-06-01,5713
1991-07-01,5852
1991-08-01,4868
1991-09-01,4700
1991-10-01,4373
1991-11-01,4586
1991-12-01,4496
1992-01-01,4512
1992-02-01,5149
1992-03-01,6226
1992-04-01,6206
1992-05-01,6179
1992-06-01,7346
1992-07-01,6641
1992-08-01,6428
1992-09-01,6286
1992-10-01,5807
1992-11-01,5218
1992-12-01,5863
1993-01-01,5189
1993-02-01,4269
1993-03-01,5197
1993-04-01,4933
1993-05-01,5469
1993-06-01,5634
1993-07-01,6619
1993-08-01,6565
1993-09-01,5496
1993-10-01,5513
1993-11-01,6117
1993-12-01,5804
1994-01-01,6591
1994-02-01,4671
1994-03-01,6691
1994-04-01,6709
1994-05-01,6835
1994-06-01,5960
1994-07-01,6642
1994-08-01,6190
1994-09-01,5033
1994-10-01,7063
1994-11-01,6685
1994-12-01,6833
1995-01-01,6073
1995-02-01,5865
1995-03-01,5545
1995-04-01,6050
1995-05-01,6485
1995-06-01,5280
1995-07-01,6701
