Date,US
1973-01-01,41056.0
1973-02-01,31311.0
1973-03-01,13936.0
1973-04-01,15756.0
1973-05-01,27772.0
1973-06-01,33826.0
1973-07-01,30504.0
1973-08-01,44656.0
1973-09-01,42592.0
1973-10-01,42497.0
1973-11-01,39907.0
1973-12-01,4556.0
1974-01-01,28837.0
1974-02-01,7036.0
1974-03-01,11999.0
1974-04-01,22316.0
1974-05-01,26617.0
1974-06-01,35337.0
1974-07-01,40883.0
1974-08-01,45881.0
1974-09-01,50541.0
1974-10-01,43513.0
1974-11-01,31933.0
1974-12-01,26725.0
1975-01-01,32951.0
1975-02-01,11795.0
1975-03-01,11476.0
1975-04-01,16171.0
1975-05-01,20676.0
1975-06-01,23812.0
1975-07-01,41049.0
1975-08-01,46547.0
1975-09-01,42524.0
1975-10-01,38569.0
1975-11-01,22012.0
1975-12-01,31324.0
1976-01-01,33835.0
1976-02-01,18396.0
1976-03-01,8717.0
1976-04-01,14757.0
1976-05-01,16938.0
1976-06-01,31837.0
1976-07-01,36874.0
1976-08-01,40870.0
1976-09-01,36470.0
1976-10-01,43641.0
1976-11-01,39429.0
1976-12-01,40249.0
1977-01-01,29740.0
1977-02-01,43543.0
1977-03-01,11938.0
1977-04-01,12556.0
1977-05-01,22644.0
1977-06-01,35108.0
1977-07-01,32939.0
1977-08-01,39375.0
1977-09-01,38481.0
1977-10-01,35495.0
1977-11-01,28914.0
1977-12-01,28625.0
1978-01-01,29008.0
1978-02-01,25055.0
1978-03-01,13071.0
1978-04-01,4345.0
1978-05-01,20836.0
1978-06-01,30262.0
1978-07-01,30208.0
1978-08-01,34056.0
1978-09-01,40517.0
1978-10-01,42300.0
1978-11-01,23990.0
1978-12-01,18192.0
1979-01-01,69872.0
1979-02-01,62125.0
1979-03-01,53824.0
1979-04-01,44738.0
1979-05-01,42844.0
1979-06-01,52042.0
1979-07-01,55025.0
1979-08-01,64905.0
1979-09-01,63047.0
1979-10-01,76094.0
1979-11-01,65698.0
1979-12-01,61622.0
1980-01-01,78261.0
1980-02-01,53614.0
1980-03-01,45041.0
1980-04-01,24925.0
1980-05-01,49290.0
1980-06-01,44484.0
1980-07-01,43389.0
1980-08-01,51379.0
1980-09-01,56927.0
1980-10-01,68735.0
1980-11-01,43469.0
1980-12-01,65797.0
1981-01-01,72376.0
1981-02-01,56951.0
1981-03-01,43644.0
1981-04-01,44290.0
1981-05-01,40639.0
1981-06-01,51460.0
1981-07-01,48719.0
1981-08-01,51402.0
1981-09-01,69963.0
1981-10-01,73684.0
1981-11-01,48375.0
1981-12-01,57419.0
1982-01-01,72958.0
1982-02-01,48470.0
1982-03-01,54855.0
1982-04-01,52110.0
1982-05-01,62513.0
1982-06-01,58688.0
1982-07-01,72999.0
1982-08-01,68685.0
1982-09-01,73452.0
1982-10-01,67497.0
1982-11-01,70716.0
1982-12-01,57901.0
1983-01-01,64613.0
1983-02-01,48444.0
1983-03-01,34159.0
1983-04-01,32894.0
1983-05-01,35151.0
1983-06-01,43861.0
1983-07-01,49394.0
1983-08-01,51400.0
1983-09-01,68506.0
1983-10-01,63108.0
1983-11-01,51844.0
1983-12-01,70377.0
1984-01-01,76239.0
1984-02-01,49827.0
1984-03-01,45638.0
1984-04-01,38948.0
1984-05-01,44304.0
1984-06-01,50135.0
1984-07-01,55243.0
1984-08-01,64595.0
1984-09-01,59840.0
1984-10-01,74584.0
1984-11-01,57165.0
1984-12-01,55401.0
1985-01-01,63905.0
1985-02-01,51090.0
1985-03-01,44302.0
1985-04-01,36020.0
1985-05-01,46247.0
1985-06-01,57052.0
1985-07-01,62662.0
1985-08-01,58949.0
1985-09-01,66515.0
1985-10-01,89662.0
1985-11-01,60203.0
1985-12-01,59869.0
1986-01-01,55220.0
1986-02-01,39413.0
1986-03-01,33896.0
1986-04-01,34210.0
1986-05-01,38146.0
1986-06-01,34261.0
1986-07-01,42175.0
1986-08-01,51366.0
1986-09-01,68081.0
1986-10-01,86505.0
1986-11-01,69589.0
1986-12-01,70640.0
1987-01-01,67216.0
1987-02-01,49353.0
1987-03-01,43373.0
1987-04-01,52131.0
1987-05-01,47159.0
1987-06-01,52513.0
1987-07-01,71844.0
1987-08-01,62063.0
1987-09-01,81478.0
1987-10-01,72994.0
1987-11-01,55107.0
1987-12-01,56270.0
1988-01-01,72612.0
1988-02-01,60004.0
1988-03-01,53087.0
1988-04-01,26866.0
1988-05-01,42259.0
1988-06-01,48662.0
1988-07-01,59675.0
1988-08-01,65220.0
1988-09-01,77199.0
1988-10-01,68038.0
1988-11-01,61389.0
1988-12-01,67860.0
1989-01-01,66529.0
1989-02-01,59850.0
1989-03-01,57214.0
1989-04-01,40218.0
1989-05-01,40691.0
1989-06-01,51455.0
1989-07-01,52459.0
1989-08-01,62184.0
1989-09-01,75973.0
1989-10-01,80852.0
1989-11-01,65838.0
1989-12-01,76937.0
1990-01-01,38404.0
1990-02-01,41456.0
1990-03-01,50829.0
1990-04-01,64516.00000000001
1990-05-01,57695.0
1990-06-01,40682.0
1990-07-01,58974.0
1990-08-01,68414.0
1990-09-01,63144.0
1990-10-01,75023.0
1990-11-01,50836.0
1990-12-01,50143.0
1991-01-01,74807.0
1991-02-01,50239.0
1991-03-01,39473.0
1991-04-01,39652.0
1991-05-01,49379.0
1991-06-01,50555.0
1991-07-01,71588.0
1991-08-01,74409.0
1991-09-01,77812.0
1991-10-01,68272.0
1991-11-01,46339.0
1991-12-01,50527.0
1992-01-01,62647.0
1992-02-01,64043.00000000001
1992-03-01,47196.0
1992-04-01,47073.0
1992-05-01,46713.0
1992-06-01,56290.0
1992-07-01,61703.0
1992-08-01,69236.0
1992-09-01,68324.0
1992-10-01,76475.0
1992-11-01,77230.0
1992-12-01,86829.0
1993-01-01,59233.0
1993-02-01,52920.0
1993-03-01,58065.0
1993-04-01,36713.0
1993-05-01,45876.0
1993-06-01,49751.0
1993-07-01,58484.0
1993-08-01,67177.0
1993-09-01,74012.0
1993-10-01,72139.0
1993-11-01,69436.0
1993-12-01,59870.0
1994-01-01,89285.0
1994-02-01,57481.0
1994-03-01,44139.0
1994-04-01,42648.0
1994-05-01,39254.0
1994-06-01,57996.0
1994-07-01,67466.0
1994-08-01,77403.0
1994-09-01,79471.0
1994-10-01,95919.0
1994-11-01,63893.0
1994-12-01,76841.0
1995-01-01,75281.0
1995-02-01,62530.0
1995-03-01,51200.0
1995-04-01,47867.0
1995-05-01,54886.0
1995-06-01,69322.0
1995-07-01,59186.0
1995-08-01,69209.0
1995-09-01,83965.0
1995-10-01,76122.0
1995-11-01,68187.0
1995-12-01,75921.0
1996-01-01,64021.0
1996-02-01,62927.0
1996-03-01,40401.0
1996-04-01,46044.0
1996-05-01,57359.0
1996-06-01,56231.0
1996-07-01,73587.0
1996-08-01,88115.0
1996-09-01,76806.0
1996-10-01,84241.0
1996-11-01,65565.0
1996-12-01,52539.0
1997-01-01,65089.0
1997-02-01,62215.0
1997-03-01,38666.0
1997-04-01,43725.0
1997-05-01,49014.0
1997-06-01,58235.0
1997-07-01,62540.0
1997-08-01,73782.0
1997-09-01,82543.0
1997-10-01,73734.0
1997-11-01,71151.0
1997-12-01,81787.0
