Date,US
1973-01-01,8533.0
1973-02-01,6964.0
1973-03-01,8299.0
1973-04-01,7643.0
1973-05-01,8395.0
1973-06-01,8364.0
1973-07-01,8713.0
1973-08-01,8310.0
1973-09-01,8602.0
1973-10-01,8211.0
1973-11-01,7570.0
1973-12-01,7532.0
1974-01-01,7440.0
1974-02-01,7202.0
1974-03-01,8985.0
1974-04-01,7743.0
1974-05-01,7520.0
1974-06-01,8801.0
1974-07-01,8360.0
1974-08-01,8610.0
1974-09-01,8663.0
1974-10-01,8936.0
1974-11-01,7961.0
1974-12-01,6247.0
1975-01-01,6140.0
1975-02-01,6067.0
1975-03-01,6240.0
1975-04-01,5085.0
1975-05-01,6320.0
1975-06-01,7532.0
1975-07-01,7524.0
1975-08-01,8192.0
1975-09-01,7785.0
1975-10-01,7467.0
1975-11-01,7306.0
1975-12-01,8238.0
1976-01-01,8230.0
1976-02-01,7306.0
1976-03-01,9169.0
1976-04-01,8345.0
1976-05-01,8771.0
1976-06-01,8026.999999999999
1976-07-01,8924.0
1976-08-01,8725.0
1976-09-01,8828.0
1976-10-01,6148.0
1976-11-01,7359.0
1976-12-01,8521.0
1977-01-01,8847.0
1977-02-01,7279.0
1977-03-01,7762.0
1977-04-01,8169.000000000001
1977-05-01,9143.0
1977-06-01,8506.0
1977-07-01,8709.0
1977-08-01,8633.0
1977-09-01,8955.0
1977-10-01,8909.0
1977-11-01,9453.0
1977-12-01,8621.0
1978-01-01,7705.0
1978-02-01,8050.000000000001
1978-03-01,8606.0
1978-04-01,9185.0
1978-05-01,8851.0
1978-06-01,8671.0
1978-07-01,7820.0
1978-08-01,7774.0
1978-09-01,10784.0
1978-10-01,10297.0
1978-11-01,10124.0
1978-12-01,10136.0
1979-01-01,8621.0
1979-02-01,8882.0
1979-03-01,10769.0
1979-04-01,9963.0
1979-05-01,10665.0
1979-06-01,9657.0
1979-07-01,10807.0
1979-08-01,9231.0
1979-09-01,7774.0
1979-10-01,7843.0
1979-11-01,7632.0
1979-12-01,9120.0
1980-01-01,8590.0
1980-02-01,8744.0
1980-03-01,9116.0
1980-04-01,9342.0
1980-05-01,8702.0
1980-06-01,8199.0
1980-07-01,7923.0
1980-08-01,7287.0
1980-09-01,8100.0
1980-10-01,7697.0
1980-11-01,8141.999999999999
1980-12-01,8552.0
1981-01-01,8234.0
1981-02-01,7382.0
1981-03-01,7961.0
1981-04-01,7908.0
1981-05-01,8594.0
1981-06-01,7858.0
1981-07-01,7800.0
1981-08-01,10370.0
1981-09-01,7658.0
1981-10-01,7233.0
1981-11-01,6811.0
1981-12-01,7129.0
1982-01-01,6401.0
1982-02-01,4629.0
1982-03-01,6596.0
1982-04-01,6684.0
1982-05-01,7517.0
1982-06-01,6025.0
1982-07-01,6508.0
1982-08-01,6247.0
1982-09-01,6539.0
1982-10-01,5097.0
1982-11-01,5055.0
1982-12-01,6661.0
1983-01-01,5691.0
1983-02-01,5706.0
1983-03-01,6500.0
1983-04-01,7371.0
1983-05-01,8318.0
1983-06-01,8387.0
1983-07-01,8125.999999999999
1983-08-01,7356.0
1983-09-01,6803.0
1983-10-01,6715.0
1983-11-01,7394.0
1983-12-01,7087.0
1984-01-01,7701.0
1984-02-01,7601.0
1984-03-01,7873.0
1984-04-01,7049.0
1984-05-01,7823.0
1984-06-01,7244.0
1984-07-01,9146.0
1984-08-01,8148.999999999999
1984-09-01,7655.0
1984-10-01,6619.0
1984-11-01,8092.000000000001
1984-12-01,8241.0
1985-01-01,8253.0
1985-02-01,7984.0
1985-03-01,8402.0
1985-04-01,9495.0
1985-05-01,9545.0
1985-06-01,8433.0
1985-07-01,9062.0
1985-08-01,8295.0
1985-09-01,8164.999999999999
1985-10-01,8042.0
1985-11-01,7482.0
1985-12-01,8064.999999999999
1986-01-01,9616.0
1986-02-01,8135.999999999999
1986-03-01,8012.0
1986-04-01,8100.0
1986-05-01,9497.0
1986-06-01,8914.0
1986-07-01,9679.0
1986-08-01,10374.0
1986-09-01,9958.0
1986-10-01,9659.0
1986-11-01,9820.0
1986-12-01,10333.0
1987-01-01,10379.0
1987-02-01,8661.0
1987-03-01,9268.0
1987-04-01,9638.0
1987-05-01,9664.0
1987-06-01,9413.0
1987-07-01,10574.0
1987-08-01,9817.0
1987-09-01,9746.0
1987-10-01,10138.0
1987-11-01,10256.0
1987-12-01,10379.0
1988-01-01,10651.0
1988-02-01,9833.0
1988-03-01,10226.0
1988-04-01,10314.0
1988-05-01,11021.0
1988-06-01,10195.0
1988-07-01,11263.0
1988-08-01,11681.0
1988-09-01,11099.0
1988-10-01,11529.0
1988-11-01,10821.0
1988-12-01,11311.0
1989-01-01,10508.0
1989-02-01,9975.0
1989-03-01,14972.0
1989-04-01,12253.0
1989-05-01,12437.0
1989-06-01,12272.0
1989-07-01,12717.0
1989-08-01,12483.0
1989-09-01,11777.0
1989-10-01,10865.0
1989-11-01,10930.0
1989-12-01,10995.0
1990-01-01,11808.0
1990-02-01,11862.0
1990-03-01,11889.0
1990-04-01,11781.0
1990-05-01,11674.0
1990-06-01,11309.0
1990-07-01,13319.0
1990-08-01,12410.0
1990-09-01,11747.0
1990-10-01,12211.0
1990-11-01,13020.0
1990-12-01,14205.0
1991-01-01,14197.0
1991-02-01,13430.0
1991-03-01,14343.0
1991-04-01,13806.0
1991-05-01,15401.0
1991-06-01,14120.0
1991-07-01,15497.0
1991-08-01,14236.0
1991-09-01,14688.0
1991-10-01,14558.0
1991-11-01,14416.0
1991-12-01,15881.0
1992-01-01,15210.0
1992-02-01,14120.0
1992-03-01,15474.0
1992-04-01,16448.0
1992-05-01,16705.0
1992-06-01,16103.000000000002
1992-07-01,16398.0
1992-08-01,16337.0
1992-09-01,15486.0
1992-10-01,16276.0
1992-11-01,16149.0
1992-12-01,16084.0
1993-01-01,14895.0
1993-02-01,14887.0
1993-03-01,16180.0
1993-04-01,14512.0
1993-05-01,15398.0
1993-06-01,15770.0
1993-07-01,16556.0
1993-08-01,16356.000000000002
1993-09-01,15616.0
1993-10-01,15463.0
1993-11-01,15106.0
1993-12-01,15992.0
1994-01-01,13549.0
1994-02-01,14028.0
1994-03-01,15098.0
1994-04-01,16655.0
1994-05-01,16932.0
1994-06-01,16207.0
1994-07-01,17223.0
1994-08-01,17806.0
1994-09-01,16744.0
1994-10-01,17238.0
1994-11-01,18262.0
1994-12-01,19520.0
1995-01-01,18646.0
1995-02-01,16236.999999999998
1995-03-01,18953.0
1995-04-01,19045.0
1995-05-01,18653.0
1995-06-01,18136.0
1995-07-01,19071.0
1995-08-01,18707.0
1995-09-01,18500.0
1995-10-01,18811.0
1995-11-01,17300.0
1995-12-01,17921.0
1996-01-01,16367.999999999998
1996-02-01,17476.0
1996-03-01,18715.0
1996-04-01,18845.0
1996-05-01,18956.0
1996-06-01,19217.0
1996-07-01,17971.0
1996-08-01,18807.0
1996-09-01,17204.0
1996-10-01,18600.0
1996-11-01,17706.0
1996-12-01,20820.0
1997-01-01,23865.0
1997-02-01,19973.0
1997-03-01,23144.0
1997-04-01,24755.0
1997-05-01,25184.0
1997-06-01,23827.0
1997-07-01,24356.0
1997-08-01,23367.0
