Date,US
1973-01-01,14658.0
1973-02-01,14154.0
1973-03-01,14726.0
1973-04-01,10732.0
1973-05-01,16421.0
1973-06-01,13802.0
1973-07-01,14243.0
1973-08-01,15513.0
1973-09-01,13115.0
1973-10-01,15718.0
1973-11-01,12873.0
1973-12-01,13188.0
1974-01-01,13996.0
1974-02-01,14002.0
1974-03-01,14327.0
1974-04-01,15817.000000000002
1974-05-01,15119.0
1974-06-01,12863.0
1974-07-01,14784.0
1974-08-01,14799.0
1974-09-01,13655.0
1974-10-01,14920.0
1974-11-01,12548.0
1974-12-01,10979.0
1975-01-01,11236.0
1975-02-01,11016.0
1975-03-01,9373.0
1975-04-01,12049.0
1975-05-01,12391.0
1975-06-01,11037.0
1975-07-01,14736.0
1975-08-01,11320.0
1975-09-01,12254.0
1975-10-01,12695.0
1975-11-01,12732.0
1975-12-01,13430.0
1976-01-01,11593.0
1976-02-01,12653.0
1976-03-01,13645.0
1976-04-01,13550.0
1976-05-01,13839.0
1976-06-01,15104.0
1976-07-01,14038.0
1976-08-01,10244.0
1976-09-01,14296.0
1976-10-01,13661.0
1976-11-01,12742.0
1976-12-01,12648.0
1977-01-01,14101.0
1977-02-01,12028.0
1977-03-01,14411.0
1977-04-01,15629.0
1977-05-01,12070.0
1977-06-01,13115.0
1977-07-01,13645.0
1977-08-01,15371.0
1977-09-01,11829.0
1977-10-01,15009.0
1977-11-01,14469.0
1977-12-01,13078.0
1978-01-01,11430.0
1978-02-01,16174.0
1978-03-01,14941.0
1978-04-01,17906.0
1978-05-01,17392.0
1978-06-01,18919.0
1978-07-01,17093.0
1978-08-01,18609.0
1978-09-01,15455.0
1978-10-01,16243.0
1978-11-01,18211.0
1978-12-01,15749.0
1979-01-01,17549.0
1979-02-01,16174.0
1979-03-01,16536.0
1979-04-01,13797.0
1979-05-01,21858.0
1979-06-01,21029.0
1979-07-01,16362.999999999998
1979-08-01,12286.0
1979-09-01,15203.0
1979-10-01,17570.0
1979-11-01,16222.0
1979-12-01,16038.0
1980-01-01,16851.0
1980-02-01,14448.0
1980-03-01,16253.0
1980-04-01,16341.999999999998
1980-05-01,14322.0
1980-06-01,13298.0
1980-07-01,14778.0
1980-08-01,17282.0
1980-09-01,15083.0
1980-10-01,18016.0
1980-11-01,18274.0
1980-12-01,17959.0
1981-01-01,18914.0
1981-02-01,15796.000000000002
1981-03-01,12900.0
1981-04-01,10491.0
1981-05-01,11000.0
1981-06-01,10685.0
1981-07-01,14469.0
1981-08-01,7473.0
1981-09-01,8927.0
1981-10-01,10632.0
1981-11-01,9971.0
1981-12-01,10527.0
1982-01-01,7048.0
1982-02-01,8481.0
1982-03-01,14012.0
1982-04-01,9746.0
1982-05-01,10218.0
1982-06-01,11016.0
1982-07-01,12516.0
1982-08-01,13052.0
1982-09-01,11651.0
1982-10-01,11210.0
1982-11-01,12915.0
1982-12-01,10155.0
1983-01-01,11058.0
1983-02-01,11000.0
1983-03-01,12816.0
1983-04-01,13650.0
1983-05-01,11451.0
1983-06-01,14327.0
1983-07-01,12044.0
1983-08-01,15324.0
1983-09-01,14285.0
1983-10-01,13319.0
1983-11-01,16925.0
1983-12-01,8927.0
1984-01-01,10559.0
1984-02-01,17953.0
1984-03-01,18263.0
1984-04-01,14610.0
1984-05-01,25133.0
1984-06-01,14710.0
1984-07-01,29635.0
1984-08-01,18289.0
1984-09-01,13309.0
1984-10-01,17581.0
1984-11-01,13304.0
1984-12-01,14023.0
1985-01-01,12259.0
1985-02-01,9877.0
1985-03-01,11199.0
1985-04-01,18142.0
1985-05-01,14474.0
1985-06-01,13577.0
1985-07-01,13734.0
1985-08-01,10638.0
1985-09-01,12931.0
1985-10-01,16752.0
1985-11-01,14406.0
1985-12-01,11456.0
1986-01-01,10286.0
1986-02-01,9016.0
1986-03-01,10732.0
1986-04-01,9698.0
1986-05-01,11603.0
1986-06-01,9572.0
1986-07-01,10071.0
1986-08-01,10396.0
1986-09-01,10606.0
1986-10-01,14605.0
1986-11-01,10480.0
1986-12-01,12810.0
1987-01-01,12606.0
1987-02-01,12684.0
1987-03-01,13141.0
1987-04-01,9866.0
1987-05-01,14532.0
1987-06-01,13849.0
1987-07-01,8885.0
1987-08-01,13844.0
