Date,US
1981-01-01,18141
1981-02-01,15998
1981-03-01,16683
1981-04-01,16617
1981-05-01,17294
1981-06-01,17650
1981-07-01,18431
1981-08-01,18307
1981-09-01,17382
1981-10-01,16451
1981-11-01,16223
1981-12-01,17222
1982-01-01,15755
1982-02-01,14512
1982-03-01,16733
1982-04-01,16001
1982-05-01,17237
1982-06-01,18104
1982-07-01,18956
1982-08-01,17754
1982-09-01,17627
1982-10-01,16804
1982-11-01,15839
1982-12-01,16825
1983-01-01,15942
1983-02-01,14148
1983-03-01,15319
1983-04-01,15374
1983-05-01,16650
1983-06-01,17580
1983-07-01,18219
1983-08-01,18533
1983-09-01,17799
1983-10-01,17000
1983-11-01,17536
1983-12-01,16607
1984-01-01,16795
1984-02-01,15907
1984-03-01,16861
1984-04-01,17091
1984-05-01,18109
1984-06-01,18011
1984-07-01,17742
1984-08-01,17635
1984-09-01,16919
1984-10-01,16613
1984-11-01,16678
1984-12-01,16352
1985-01-01,15716
1985-02-01,14991
1985-03-01,17150
1985-04-01,17506
1985-05-01,18420
1985-06-01,18824
1985-07-01,19919
1985-08-01,19792
1985-09-01,17666
1985-10-01,17422
1985-11-01,17455
1985-12-01,18320
1986-01-01,20591
1986-02-01,17547
1986-03-01,18490
1986-04-01,19120
1986-05-01,19921
1986-06-01,20242
1986-07-01,20128
1986-08-01,22124
1986-09-01,20212
1986-10-01,18499
1986-11-01,18176
1986-12-01,18916
1987-01-01,18944
1987-02-01,16660
1987-03-01,18968
1987-04-01,20053
1987-05-01,20847
1987-06-01,20517
1987-07-01,20934
1987-08-01,20168
1987-09-01,19875
1987-10-01,18805
1987-11-01,18396
1987-12-01,20362
1988-01-01,19566
1988-02-01,18094
1988-03-01,20103
1988-04-01,19946
1988-05-01,21194
1988-06-01,20656
1988-07-01,21795
1988-08-01,21988
1988-09-01,20418
1988-10-01,20471
1988-11-01,19850
1988-12-01,21270
1989-01-01,21289
1989-02-01,18723
1989-03-01,20563
1989-04-01,20027
1989-05-01,21776
1989-06-01,22329
1989-07-01,22811
1989-08-01,22144
1989-09-01,20641
1989-10-01,19872
1989-11-01,18593
1989-12-01,19890
1990-01-01,20006
1990-02-01,18974
1990-03-01,20208
1990-04-01,20204
1990-05-01,20298
1990-06-01,21171
1990-07-01,23138
1990-08-01,23102
1990-09-01,21296
1990-10-01,19693
1990-11-01,18332
1990-12-01,19113
1991-01-01,18848
1991-02-01,17299
1991-03-01,18649
1991-04-01,19399
1991-05-01,20788
1991-06-01,21284
1991-07-01,21703
1991-08-01,21544
1991-09-01,20373
1991-10-01,18843
1991-11-01,18792
1991-12-01,20237
1992-01-01,19744
1992-02-01,18227
1992-03-01,20102
1992-04-01,19772
1992-05-01,21493
1992-06-01,21175
1992-07-01,22383
1992-08-01,20929
1992-09-01,20254
1992-10-01,18978
1992-11-01,18693
1992-12-01,19410
1993-01-01,19258
1993-02-01,17778
1993-03-01,19306
1993-04-01,19335
1993-05-01,20677
1993-06-01,20515
1993-07-01,21235
1993-08-01,20913
1993-09-01,20218
1993-10-01,19795
1993-11-01,19199
1993-12-01,20136
1994-01-01,19664
1994-02-01,17572
1994-03-01,18873
1994-04-01,19678
1994-05-01,21336
1994-06-01,21353
1994-07-01,21877
1994-08-01,21980
1994-09-01,19996
1994-10-01,19377
1994-11-01,18908
1994-12-01,19287
1995-01-01,19079
1995-02-01,17297
1995-03-01,19156
1995-04-01,19476
1995-05-01,20718
1995-06-01,20804
1995-07-01,21501
1995-08-01,21257
1995-09-01,19827
1995-10-01,18470
1995-11-01,18210
1995-12-01,20447
1996-01-01,19897
1996-02-01,18425
1996-03-01,19446
1996-04-01,19730
1996-05-01,21182
1996-06-01,20886
1996-07-01,21303
1996-08-01,21138
1996-09-01,19861
1996-10-01,19583
1996-11-01,18538
1996-12-01,19526
1997-01-01,18148
1997-02-01,17109
1997-03-01,19577
1997-04-01,19379
1997-05-01,21122
1997-06-01,21011
1997-07-01,21939
1997-08-01,21650
1997-09-01,21130
1997-10-01,20810
1997-11-01,19219
1997-12-01,20090
1998-01-01,19076
1998-02-01,16746
1998-03-01,19568
1998-04-01,19664
1998-05-01,21212
1998-06-01,21334
1998-07-01,22249
1998-08-01,22013
1998-09-01,19773
1998-10-01,19181
1998-11-01,19106
1998-12-01,19617
1999-01-01,19344
1999-02-01,16773
1999-03-01,19126
1999-04-01,20265
1999-05-01,20866
1999-06-01,20731
1999-07-01,21898
1999-08-01,21665
1999-09-01,20649
1999-10-01,19773
1999-11-01,19077
1999-12-01,19353
2000-01-01,18554
2000-02-01,17545
2000-03-01,19857
2000-04-01,20068
2000-05-01,21341
2000-06-01,21506
2000-07-01,21983
2000-08-01,21331
2000-09-01,20237
2000-10-01,19290
2000-11-01,18736
2000-12-01,20917
2001-01-01,20657
2001-02-01,18388
2001-03-01,19912
2001-04-01,20958
2001-05-01,21790
2001-06-01,21137
2001-07-01,21562
2001-08-01,21158
2001-09-01,20046
2001-10-01,19943
2001-11-01,19110
2001-12-01,19771
2002-01-01,19244
2002-02-01,17442
2002-03-01,19761
2002-04-01,20666
2002-05-01,21582
2002-06-01,21177
2002-07-01,22522
2002-08-01,22153
2002-09-01,20600
2002-10-01,18908
2002-11-01,19310
2002-12-01,20152
2003-01-01,19516
2003-02-01,17899
2003-03-01,21181
2003-04-01,21085
2003-05-01,22772
2003-06-01,21927
2003-07-01,22664
2003-08-01,23146
2003-09-01,21635
2003-10-01,21482
2003-11-01,20909
2003-12-01,21835
2004-01-01,20550
2004-02-01,18989
2004-03-01,21280
2004-04-01,21099
2004-05-01,22574
2004-06-01,22398
2004-07-01,23202
2004-08-01,23155
2004-09-01,20630
2004-10-01,21060
2004-11-01,20907
2004-12-01,21845
2005-01-01,20294
2005-02-01,18742
2005-03-01,20658
2005-04-01,21016
2005-05-01,21661
2005-06-01,21526
2005-07-01,22840
2005-08-01,22846
2005-09-01,19954
2005-10-01,18916
2005-11-01,19767
2005-12-01,21294
2006-01-01,21013
2006-02-01,18588
2006-03-01,20399
2006-04-01,20857
2006-05-01,22368
2006-06-01,22540
2006-07-01,22560
2006-08-01,23683
2006-09-01,22520
2006-10-01,21394
2006-11-01,21103
2006-12-01,21868
2007-01-01,21251
2007-02-01,17921
2007-03-01,20722
2007-04-01,21002
2007-05-01,22753
2007-06-01,21747
2007-07-01,23331
2007-08-01,23220
2007-09-01,21508
2007-10-01,20766
2007-11-01,19645
2007-12-01,20610
2008-01-01,20893
2008-02-01,19713
2008-03-01,20806
2008-04-01,20190
2008-05-01,21604
2008-06-01,21106
2008-07-01,21793
2008-08-01,21291
2008-09-01,17805
2008-10-01,19894
2008-11-01,19255
2008-12-01,20700
2009-01-01,20673
2009-02-01,18642
2009-03-01,20339
2009-04-01,19505
2009-05-01,21351
2009-06-01,21715
2009-07-01,21876
2009-08-01,21071
2009-09-01,20063
2009-10-01,19757
2009-11-01,18535
2009-12-01,18976
2010-01-01,19761
2010-02-01,18233
2010-03-01,20439
2010-04-01,20181
2010-05-01,21500
2010-06-01,21665
2010-07-01,22471
2010-08-01,22183
2010-09-01,19527
2010-10-01,19207
2010-11-01,19362
2010-12-01,20773
2011-01-01,19927
2011-02-01,17828
2011-03-01,19732
2011-04-01,19358
2011-05-01,20703
2011-06-01,21553
2011-07-01,22418
2011-08-01,22025
2011-09-01,21050
2011-10-01,20967
2011-11-01,20973
2011-12-01,21295
2012-01-01,20370
2012-02-01,18825
2012-03-01,19766
2012-04-01,19463
2012-05-01,21469
2012-06-01,21269
2012-07-01,22267
2012-08-01,21603
2012-09-01,19821
2012-10-01,20283
2012-11-01,20096
2012-12-01,21571
2013-01-01,20867
2013-02-01,18333
2013-03-01,20561
2013-04-01,20674
2013-05-01,21587
2013-06-01,22274
2013-07-01,23123
2013-08-01,22872
2013-09-01,21741
2013-10-01,21203
2013-11-01,20950
2013-12-01,22031
2014-01-01,21111
2014-02-01,18757
2014-03-01,20768
2014-04-01,20834
2014-05-01,21362
2014-06-01,21523
2014-07-01,22267
2014-08-01,22389
2014-09-01,21554
2014-10-01,20810
2014-11-01,20325
2014-12-01,21124
2015-01-01,19962
2015-02-01,18053
2015-03-01,20481
2015-04-01,20533
2015-05-01,20946
2015-06-01,20797
2015-07-01,22316
2015-08-01,22406
2015-09-01,20728
2015-10-01,20560
2015-11-01,20632
2015-12-01,21757
2016-01-01,21253
2016-02-01,19909
2016-03-01,21434
2016-04-01,20986
2016-05-01,21900
2016-06-01,21726
2016-07-01,22648
2016-08-01,22569
2016-09-01,20912
2016-10-01,20178
2016-11-01,20259
2016-12-01,21467
2017-01-01,21067
