Date,US
1981-01-01,83940
1982-01-01,60238
1983-01-01,54067
1984-01-01,52612
1985-01-01,44931
1986-01-01,65050
1987-01-01,66292
1988-01-01,67756
1989-01-01,74044
1990-01-01,66273
1991-01-01,56964
1992-01-01,71861
1993-01-01,66805
1994-01-01,75903
1995-01-01,71068
1996-01-01,91332
1997-01-01,102206
1998-01-01,111279
1999-01-01,95670
2000-01-01,116908
2001-01-01,94077
2002-01-01,111005
2003-01-01,116798
2004-01-01,142803
2005-01-01,133130
2006-01-01,119827
2007-01-01,107175
2008-01-01,90925
2009-01-01,89914
2010-01-01,93478
2011-01-01,92858
2012-01-01,86494
2013-01-01,98673
2014-01-01,84338
2015-01-01,81566
2016-01-01,80035
2017-01-01,83113
2018-01-01,85192
2019-01-01,75589
2020-01-01,67583
