,Date,US,AL,AK,AZ,AR,CA,CO,CT,DC,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
0,2018,32785072,841557,334290,226967,411257,1847866,423620,77994,5580,85953,485753,770388,56289,170925,1185143,1293805,867629,395027,610877,3071610,107801,103878,151091,721818,642011,411611,309406,131808,386873,172689,42104,264260,231540,392803,566042,353449,1230594,656511,255499,1405758,23005,535203,158012,578172,7298611,218065,17977,438024,542583,360295,609498,331196
1,2017,31864264,822473,333770,229660,397152,1824606,407182,79207,5658,84337,493233,758662,60449,168088,1180212,1233404,848814,389101,599438,3000330,103707,108458,154894,716567,629713,403132,301549,128081,392467,172250,45866,258375,229218,387776,562280,343935,1199089,638893,261362,1356374,23027,536368,156920,600856,6810400,222659,18606,434935,537703,329811,600660,311088
2,2016,31381988,813431,329904,241017,381056,1864017,399791,78887,5816,88351,492304,772381,63103,168224,1174354,1273491,791158,387569,614237,2861613,104880,110051,159131,702125,620342,385738,304380,123411,384647,172275,40800,258599,224357,390154,556496,310857,1202664,619068,257478,1323326,23299,527854,153434,591334,6637353,221726,17684,441231,555630,312084,585763,282249
3,2015,31425704,823765,331209,236211,377764,1849780,440348,78393,6958,89074,491793,779445,64236,174169,1174958,1308315,769536,384005,641746,2744297,121923,113262,163503,717392,613589,392817,359310,126913,368044,164315,41806,262799,226406,398455,556055,320481,1209932,603859,256145,1375933,24537,555959,155229,578143,6512804,227419,18052,451640,564554,320520,590833,284854
4,2014,31769322,861143,330421,236530,412848,1859203,431776,85921,7260,87476,466723,781878,64558,178290,1230456,1329615,769088,378200,664891,2770604,133167,114943,165681,751963,672048,399721,364761,126940,363815,182936,43179,259397,230243,395920,553177,337087,1237748,611563,254673,1421780,25257,554259,157162,598038,6359977,236054,20820,456915,577447,319722,609605,307999
5,2013,31589715,850439,334286,213634,412235,1884895,415087,88143,7151,90725,479455,752752,65419,177849,1218054,1321379,755501,370686,716399,2724395,144030,110853,250494,738577,645479,400501,355291,127150,374881,170555,42820,271076,220821,396149,568947,299009,1207619,591625,249829,1346038,25562,538971,156013,582326,6418640,243656,20533,447411,573658,296131,599666,314342
6,2012,31050448,835514,339183,220120,405144,1747060,421180,83352,7014,92276,473873,726326,65113,180791,1210146,1294839,716038,375046,823208,2799399,146809,126566,249673,710521,646506,417467,356072,126589,382149,166621,40058,274978,226028,356211,574109,283415,1219035,582289,246792,1229353,23138,536929,150733,630841,6050511,235311,21734,447246,582720,287038,579200,324199
7,2011,30969547,804046,331420,224978,421820,1784583,421232,86015,6816,85081,478130,754966,67545,178557,1212331,1306008,741530,368196,818985,2843186,148899,138883,249307,711614,655032,410248,351055,121153,367974,164970,40228,276945,223188,365370,570543,271952,1220053,561464,245348,1230648,22131,538266,151413,635923,5860322,220813,26619,447647,583244,290041,592831,328895
8,2010,30647721,774098,326937,208272,410689,1740127,455480,88602,7275,50473,501511,758769,68068,181584,1209919,1289953,744629,370850,843351,2832919,147980,144505,248319,688886,653769,412619,366833,128301,351724,173174,39217,271319,214491,359588,571832,244231,1228308,549876,233864,1164665,25010,528792,150462,631178,5805989,210259,28476,450713,578510,284427,594522,308548
9,2009,28451553,711199,334430,197015,365081,1713404,414088,87157,7139,58909,466630,707159,69087,167397,1098458,1188829,696284,351945,823705,2738365,136647,149782,235768,610075,567541,375107,344659,146908,304598,171169,36822,263184,210928,358775,525485,214200,1113115,510751,233887,1058098,24900,505762,138686,580137,5161411,200627,25750,445342,525488,255012,554453,294017
10,2008,31335396,876097,317535,232755,421531,1846322,412273,81049,3645,90123,518118,777325,65843,189282,1223259,1324342,671810,380593,885062,2937526,179470,173044,165154,733856,633266,410284,398852,175194,308296,182066,42240,316726,229467,398726,604512,215959,1326567,569019,267559,1239043,26773,564862,130706,713336,5491399,216727,24124,519228,526033,339294,617199,301152
11,2007,32386212,915657,356533,221076,440996,1894789,405162,107395,4197,90639,525469,853354,69038,190130,1218749,1361509,622407,429736,882116,2945527,157167,181135,180817,776944,606103,445625,432211,187098,280401,186774,43603,366890,250591,462574,609637,207398,1329481,571534,271861,1253631,20887,595322,109344,728427,6006890,218417,26619,545606,509658,339520,635263,289111
12,2006,32344390,933217,353673,226196,441382,1908391,396319,111351,3821,92197,551744,881249,71564,186674,1203382,1332223,571212,385354,899362,2779273,146281,183075,188766,826012,584984,439975,442243,164409,256395,197213,46242,365106,227343,428197,644703,205679,1300671,590127,284522,1270527,23915,627449,98362,752582,6086623,218340,28086,549105,567785,319033,637985,253287
13,2005,32422792,930987,418115,220120,431591,1937656,387747,118448,4020,97921,535556,886636,72369,189493,1239192,1352389,552069,361515,878069,2598298,148753,387946,190079,871859,581408,422722,431867,151302,240774,189095,51690,390565,223823,498522,658670,195652,1333999,558679,273642,1275709,24289,635388,91969,755357,6034756,227682,28137,573677,521097,286005,671736,239560
14,2004,33469433,941966,389872,224216,435855,1997588,376686,116461,4516,95307,530146,919986,68904,191486,1253519,1391281,530765,407531,875830,2737592,152761,388431,188587,872191,584583,444492,406700,145860,238931,181718,54173,386626,226458,505476,670262,189048,1344785,546828,265191,1293449,24648,646927,82711,750520,6742684,210318,29543,564372,476433,298752,687521,241183
15,2003,32508274,877629,402842,198138,444429,1928700,371668,122066,4763,109899,544761,884294,68832,173676,1202139,1346427,476168,408336,841653,2529739,137634,445783,191359,912084,563178,416761,380177,131699,225230,169033,52118,396163,216061,500466,673158,188843,1341018,514573,258023,1272803,24422,625626,71586,737143,6657950,202061,24674,542319,451507,288385,663451,246317
16,2002,32598811,857704,411348,204137,456906,1953103,356356,107708,4514,113831,531592,931985,70728,167417,1176302,1323190,488757,391786,877543,2642970,174528,383611,246031,844357,538671,412278,388955,135288,212571,161019,47723,425522,200533,540786,686302,190585,1324264,485478,276774,1262316,22245,634192,63943,734239,6682014,181947,25662,520245,434334,323615,674042,236105
17,2001,32610905,849465,409960,213987,447636,2089449,378721,114029,4441,113066,559778,845079,69465,181630,1190442,1270441,483224,382177,787157,2559118,179885,261263,244358,874319,528344,407846,392723,117451,209486,171342,53319,442134,203276,568554,719342,202747,1438376,504366,282086,1274008,23277,621217,56746,755091,6561397,226033,26465,542576,517309,298767,690360,237914
18,2000,34591023,990428,401675,225886,476543,2094271,312254,124719,3906,112954,559871,911983,77944,205793,1250011,1340873,511871,399960,748869,2920857,202074,257315,241454,959870,631562,465604,373101,170683,206417,167933,57848,411502,211854,609630,752283,192258,1614125,521933,344472,1287237,25933,660947,69966,731073,6833893,254196,27250,580574,746492,301593,712477,231442
19,1999,34650376,989463,394489,236743,465189,2101744,283318,122124,4182,109513,582066,908401,78028,209437,1319060,1312090,516471,402467,784499,2734834,183376,256236,231822,982378,625023,471207,401108,174632,202427,168450,51805,567832,195684,628352,738758,190360,1654103,531280,357884,1269508,52438,647116,66022,736057,6731586,233859,23699,587731,860336,296110,693914,227474
20,1998,34751281,961836,413864,237132,466438,2084657,310029,121721,3644,104812,575949,904877,80641,206393,1323470,1259678,489710,392414,747799,2731271,177714,263261,217601,918863,615198,402712,369418,169500,211898,168333,51164,533920,197292,686813,761989,180089,1610403,545747,358298,1314265,61617,661345,61326,724893,7089283,261977,23435,577721,832368,321958,660430,237020
21,1997,35242171,958015,403305,243771,467265,2068606,284222,130907,3874,106285,587393,935206,88664,204474,1351898,1249059,474292,414107,781104,3016249,204273,284045,219996,938221,624039,435057,369005,140514,194601,162067,53419,553307,206993,711824,780733,176551,1646165,571176,366327,1424184,43568,674188,63309,676010,7132144,241900,30688,569528,726712,297016,674797,234675
22,1996,34881242,998737,429716,238835,451337,1932957,289718,134650,3573,104820,615404,921812,95447,204607,1340151,1247199,478140,401508,806023,2885965,213584,263896,223507,924790,624564,458353,372292,169212,181662,159520,56210,534385,220645,725506,774756,169308,1650922,560005,360905,1427920,47369,626161,63729,870902,6868900,249254,24337,567243,706403,306559,643698,231333
23,1995,33954871,993667,413570,231628,447946,1895886,276344,132267,3774,106733,598102,882632,92871,185675,1331230,1190657,467368,402135,779520,2792764,206832,256848,224137,896722,598789,454613,362544,170802,176076,154621,51805,549659,204259,699050,788779,176243,1644114,558267,337256,1438012,60591,619137,59350,862284,6361400,243550,23262,569231,743002,325052,626017,226737
24,1994,33487206,956647,350616,211329,417749,1938353,278312,132301,3932,105515,582726,825577,93640,175657,1319576,1173749,454558,472212,751853,2772159,224548,366115,226000,854861,561333,447894,358365,155984,162973,141827,51252,537689,195850,704951,750200,175245,1646534,570578,325035,1408188,69551,594714,61152,850075,6259504,211637,23791,555457,743298,331613,601608,244592
25,1993,32568797,890373,356750,199543,398321,1915449,253493,134718,37242,104816,577826,802902,92241,169020,1274574,1200679,430931,424182,701706,2683332,212036,381868,242384,821152,546230,443931,338210,153430,151942,128229,64583,550297,193802,717955,743143,165846,1544450,571830,320804,1379670,34836,588176,60843,836283,6054943,210935,23936,534619,744077,316308,577268,239575
26,1992,32520099,857406,366172,206257,370651,1980407,236739,137668,37078,103056,548779,792458,93630,169985,1276005,1163889,404009,431952,702763,2635790,214759,368444,241087,953411,540873,444696,324406,149199,135557,120914,67326,515404,193313,729906,738717,169900,1586801,545869,323962,1378278,77366,572998,56507,823919,6030272,206774,26408,537554,770276,310499,548659,266727
27,1991,31340960,798639,340479,192036,328693,1969390,233130,136219,37786,90621,525040,777758,89025,166501,1256016,1156135,388811,412501,644780,2518620,196693,394979,214950,924983,527748,433710,316860,156393,134921,112067,59273,446220,187735,698048,678184,160501,1532032,532312,320852,1329848,50059,551996,56034,737555,5880015,214245,26844,535493,765332,317782,541897,233532
28,1990,31766360,789692,306883,189258,348701,1926139,212730,132491,37200,101832,532595,787233,98939,163718,1239217,1195614,371705,417263,657040,2555888,181602,432380,224448,998826,539339,435900,325516,154330,135815,113358,69974,443635,191818,718493,709517,156916,1600968,580716,322833,1425468,37769,546290,59039,730290,5857598,208447,22765,545209,798289,352060,534371,243467
29,1989,31291811,804679,303443,193835,374559,1906598,205152,137465,33724,89365,544632,758876,93794,159174,1210455,1180638,364601,400065,625264,2539317,212163,436595,233466,924466,504837,384747,325948,152822,135591,105297,66854,469159,155203,714484,678406,161174,1609599,542012,331239,1426146,37878,537497,57837,732537,5756248,207104,31206,519473,754624,365968,542207,222986
30,1988,30678444,818320,276499,184572,326034,1852544,196685,149218,31431,86184,485507,689334,88781,138588,1337840,1186934,403734,421355,567873,2396315,207933,416937,250198,939495,485912,338582,336279,148544,133212,83550,75631,476353,148966,726313,656299,151647,1549556,519003,351538,1419125,42868,535394,54414,735155,5599184,193780,36179,500584,762596,353175,560785,211956
31,1987,29339446,766314,234311,169574,264910,1916019,179563,150500,30461,84020,445842,663183,79590,131005,1288605,1134419,372818,402013,546440,2400370,188780,411781,280554,851503,457138,309991,322317,144805,126322,74689,79676,482289,152317,698411,642522,156388,1505046,527320,338494,1365463,42091,516100,50459,700886,5214395,144005,35336,492135,692056,326048,527852,213693
32,1986,28258580,727345,211960,197047,304023,1762901,181566,145419,29947,85791,449811,641661,76867,124212,1232775,1050293,361224,372365,528494,2311014,203984,391549,287386,937033,430746,314909,321368,145393,114813,67323,77897,458464,134690,671637,625966,150113,1447165,474644,310900,1257655,39596,492010,50067,699094,5005719,154872,39101,475357,655018,318843,531263,196046
33,1985,28820137,768192,215539,194599,332572,1852772,171756,151202,29245,86247,471866,682269,67345,127758,1204711,1116683,337860,401023,578108,2215593,202571,396235,255708,925056,429648,324329,346500,151949,122299,68675,70835,461671,154370,733503,604644,140242,1542554,522970,314395,1361750,47989,457023,41914,721549,5011345,180631,38149,470400,637915,303083,580789,207599
