,Date,AL,AK,AR,CA,CO,FL,IL,KS,KY,LA,MI,MS,MT,NE,NM,ND,OH,OK,PA,TN,TX,UT,WV,WY
0,2019,5240,39104,287,1207,46892,261,646,1128,227,22822,940,748,527,0,46460,19412,3043,43392,3102,123.0,217381,2794,11201,22016
1,2018,4943,40545,277,1218,37611,253,643,987,203,24694,1015,701,508,0,43798,17306,4578,46758,3156,59.0,175653,3200,15234,22800
2,2017,5372,38757,293,1400,38054,228,624,990,198,25509,760,783,560,0,43656,14028,5011,40883,2427,64.0,166479,3657,11909,21370
3,2016,6344,37370,570,1545,38215,265,582,1925,137,27918,759,930,588,0,37653,11718,3542,38707,3868,71.0,169360,4930,9068,23127
4,2015,6436,37615,783,1861,35981,265,533,2052,178,34488,839,1286,639,0,36789,11380,3464,37692,3478,125.0,183429,5409,7685,24712
5,2014,6462,36707,871,2361,30873,272,288,1983,278,30527,1152,1310,657,0,35269,5736,468,36231,11602,128.0,184723,4782,6776,25782
6,2013,6804,36638,797,2834,25806,0,4917,2189,280,34179,1071,1103,645,0,33121,6707,202,32119,9200,142.0,178682,5996,3429,27935
7,2012,6616,37397,622,2417,29383,0,4896,2268,641,42123,1174,1111,612,0,37195,5887,127,27809,2529,150.0,171359,3031,1812,29157
8,2011,6939,35339,423,2253,28265,0,4917,2246,278,42633,1303,1042,604,0,38331,5473,0,24938,963,145.0,155358,3063,1153,28582
9,2010,6441,37316,529,2370,25090,0,4559,2102,772,40814,1684,1155,800,0,35289,4294,0,23238,881,148.0,151818,1616,810,27104
10,2009,6470,39447,489,2611,21288,0,41,2126,391,39002,1686,1150,771,0,36827,4521,0,24089,599,0.0,152948,1573,698,25282
11,2008,6858,40286,470,2318,18613,83,48,2331,587,42957,1982,1140,788,0,36571,4283,0,27161,575,0.0,142476,2206,283,23574
12,2007,6269,41197,404,2540,16218,671,45,5439,691,51499,2076,1196,816,0,35600,4323,5,28213,495,0.0,139262,2779,309,25276
13,2006,6028,38938,509,2475,16347,796,45,7541,653,46205,2363,1138,820,0,33435,4364,8,28435,549,0.0,140414,3739,315,23868
14,2005,3740,43386,433,2875,15641,286,56,8100,698,45837,2318,1018,697,0,35508,4816,12,27380,483,0.0,133306,3914,281,24408
15,2004,3914,44016,490,2760,17093,102,63,6460,617,55970,2419,895,606,0,42601,4602,18,27818,395,0.0,127356,3370,723,24053
16,2003,3293,44762,504,2568,15927,112,58,9706,536,56018,2798,251,512,0,37620,4548,17,26276,343,0.0,123383,4481,1361,28829
17,2002,4148,44008,890,2781,15904,124,66,11723,535,63031,2445,758,249,0,38973,5141,37,25525,251,0.0,133427,4534,2186,25767
18,2001,3491,42243,653,2893,13871,127,60,10928,475,63137,2587,722,396,0,39501,3874,40,28266,272,0.0,128836,5436,2342,20991
19,2000,5377,42519,441,3572,13064,157,73,16664,419,69174,2455,786,218,0,41863,4738,43,25934,208,0.0,144971,8276,2505,20602
20,1999,5336,41149,405,4212,12863,147,83,19321,641,68393,2912,638,235,0,39345,4553,42,25055,274,0.0,144544,7880,2209,19272
21,1998,2391,39601,405,4511,12200,129,84,20921,548,63368,3073,363,208,0,41926,4471,40,26034,222,0.0,153966,7985,2344,16524
22,1997,2468,40706,508,4796,12435,113,80,26205,641,71155,2674,372,188,7,45982,4420,39,30370,253,3.0,157013,8141,2710,15597
23,1996,2827,40334,451,4520,14894,125,75,30444,682,69235,3011,382,168,3,63850,4283,37,35236,217,6.0,153039,8549,2262,15409
24,1995,3806,39116,468,4287,13560,145,90,28510,702,75845,3337,399,168,2,36455,4542,32,34900,181,0.0,154721,8492,3199,14896
25,1994,3747,37347,467,6388,12482,167,101,28988,611,66600,3367,463,206,3,36310,5059,36,35432,116,0.0,158826,9951,3272,13939
26,1993,4453,35503,352,7096,11863,1241,106,36294,689,74925,3282,538,295,0,36826,4734,20,39211,235,0.0,165507,9285,3316,13051
27,1992,4477,36741,268,8008,12233,1315,98,26312,707,86623,3096,573,423,9,38892,4753,16,39700,341,0.0,170734,8745,3290,13217
28,1991,3720,36088,188,7809,9081,1338,132,30800,702,83733,3343,708,518,14,32940,4777,14,42166,159,0.0,172035,9141,3391,14154
29,1990,3710,27720,637,7958,8455,1466,109,22499,657,82828,3212,621,557,0,33316,4835,14,39249,156,0.0,166120,9146,3204,12182
30,1989,1875,2537,7646,8521,6591,8734,17,29665,627,134132,4141,280,519,13,21396,2005,87,38392,218,,128759,9615,3679,19820
31,1988,1634,2390,6646,8408,5541,7034,24,29357,830,121936,3896,298,474,21,18418,2112,88,40508,191,,118683,8919,3326,17446
32,1987,1564,4278,6270,8780,5715,7250,3378,28804,852,123008,4365,385,449,31,19180,2737,96,35751,205,,126712,8701,3355,16249
33,1986,1303,1582,4709,7105,4406,5878,3944,25616,4056,102185,3831,591,437,19,15118,1957,69,29705,171,,113093,6514,2809,13633
34,1985,1249,1807,7077,7699,5243,6782,4198,27297,6940,104292,4142,641,542,30,19415,2216,71,31121,148,,113937,2715,2920,17090
35,1984,1178,1736,966,7715,5060,7425,4379,25873,7165,123993,4136,830,457,35,20875,2165,63,31237,171,,122272,2754,2855,16185
36,1983,1129,1225,982,7662,5057,7852,4844,25430,7025,121848,3995,855,439,34,21399,2086,50,29750,158,,123847,2732,2106,12572
